energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,3.19583797,0.97987411,1.84857527,0.01692841,0.08652584,0.01500195,0.91627382,0.89401781,0.19270212
-5.99399700,3.11324723,0.96338224,1.79757214,0.01604221,0.08510682,0.01447378,0.89302199,0.87726563,0.18842413
-5.98799400,3.03202435,0.94831394,1.74644268,0.01515516,0.08377778,0.01394360,0.87071373,0.86141834,0.18418897
-5.98199100,2.95225093,0.93444487,1.69541023,0.01427438,0.08252245,0.01341506,0.84928859,0.84633721,0.17999914
-5.97598799,2.87387263,0.92149730,1.64462657,0.01340660,0.08131998,0.01289107,0.82864196,0.83183744,0.17584890
-5.96998499,2.79670481,0.90914772,1.59417111,0.01255793,0.08014556,0.01237382,0.80862895,0.81769480,0.17172459
-5.96398199,2.72044571,0.89703726,1.54405443,0.01173375,0.07897127,0.01186480,0.78907043,0.80365447,0.16760553
-5.95797899,2.64469684,0.88478442,1.49422600,0.01093858,0.07776724,0.01136480,0.76976103,0.78944152,0.16346520
-5.95197599,2.56898929,0.87199951,1.44458561,0.01017606,0.07650287,0.01087401,0.75047872,0.77477268,0.15927293
-5.94597299,2.49281458,0.85830016,1.39499778,0.00944891,0.07514819,0.01039214,0.73099544,0.75936873,0.15499575
-5.93996998,2.41565847,0.84332692,1.34530831,0.00875897,0.07367522,0.00991855,0.71108833,0.74296704,0.15060051
-5.93396698,2.33703564,0.82675841,1.29536200,0.00810727,0.07205925,0.00945233,0.69055089,0.72533356,0.14605599
-5.92796398,2.25652340,0.80832500,1.24502044,0.00749413,0.07027998,0.00899250,0.66920350,0.70627363,0.14133497
-5.92196098,2.17379268,0.78782041,1.19417892,0.00691925,0.06832250,0.00853812,0.64690279,0.68564111,0.13641615
-5.91595798,2.08863429,0.76511070,1.14278144,0.00638188,0.06617800,0.00808839,0.62354930,0.66334549,0.13128572
-5.90995498,2.00097948,0.74014012,1.09083312,0.00588091,0.06384418,0.00764274,0.59909307,0.63935636,0.12593865
-5.90395198,1.91091348,0.71293359,1.03840922,0.00541504,0.06132543,0.00720094,0.57353697,0.61370536,0.12037940
-5.89794897,1.81868156,0.68359585,0.98566055,0.00498287,0.05863264,0.00676312,0.54693753,0.58648538,0.11462229
-5.89194597,1.72468748,0.65230722,0.93281491,0.00458304,0.05578279,0.00632978,0.51940336,0.55784715,0.10869129
-5.88594297,1.62948450,0.61931642,0.88017465,0.00421432,0.05279826,0.00590178,0.49109127,0.52799350,0.10261942
-5.87993997,1.53375971,0.58493080,0.82811064,0.00387562,0.04970597,0.00548035,0.46220037,0.49717152,0.09644763
-5.87393697,1.43831265,0.54950456,0.77705291,0.00356614,0.04653628,0.00506697,0.43296451,0.46566329,0.09022344
-5.86793397,1.34402928,0.51342557,0.72747865,0.00328528,0.04332194,0.00466335,0.40364350,0.43377536,0.08399923
-5.86193097,1.25185297,0.47710151,0.67989813,0.00303273,0.04009686,0.00427133,0.37451352,0.40182785,0.07783040
-5.85592796,1.16275358,0.44094589,0.63483915,0.00280839,0.03689494,0.00389281,0.34585731,0.37014350,0.07177343
-5.84992496,1.07769637,0.40536466,0.59283089,0.00261238,0.03374903,0.00352964,0.31795447,0.33903709,0.06588399
-5.84392196,0.99761170,0.37074390,0.55438760,0.00244497,0.03068992,0.00318358,0.29107242,0.30880599,0.06021512
-5.83791896,0.92336692,0.33743905,0.51999278,0.00230650,0.02774551,0.00285621,0.26545826,0.27972180,0.05481563
-5.83191596,0.85574111,0.30576598,0.49008449,0.00219735,0.02494014,0.00254887,0.24133183,0.25202361,0.04972872
-5.82591296,0.79540363,0.27599414,0.46504190,0.00211787,0.02229415,0.00226263,0.21888023,0.22591293,0.04499087
-5.81990995,0.74289658,0.24834191,0.44517371,0.00206826,0.01982355,0.00199827,0.19825379,0.20155041,0.04063110
-5.81390695,0.69862181,0.22297397,0.43070842,0.00204858,0.01753992,0.00175624,0.17956359,0.17905424,0.03667042
