energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.32805920,0.01939468,0.09019896,0.42941211,0.19545270,0.00815712,0.60287757,0.40949931,0.09802347
-5.99399700,1.33385413,0.01852506,0.09064623,0.42393396,0.19615091,0.00848744,0.60594270,0.41624647,0.09868146
-5.98799400,1.34456594,0.01777000,0.09144376,0.42016892,0.19757725,0.00884034,0.61125931,0.42494524,0.09983058
-5.98199100,1.36020817,0.01712850,0.09258172,0.41812747,0.19974060,0.00921597,0.61883597,0.43553834,0.10146998
-5.97598799,1.38060333,0.01659650,0.09403534,0.41775537,0.20262195,0.00961342,0.62859606,0.44790190,0.10358273
-5.96998499,1.40538092,0.01616695,0.09576564,0.41893562,0.20617402,0.01003053,0.64037628,0.46184642,0.10613564
-5.96398199,1.43398372,0.01583010,0.09772074,0.42149296,0.21032210,0.01046384,0.65392877,0.47712038,0.10907978
-5.95797899,1.46568191,0.01557392,0.09983767,0.42520085,0.21496598,0.01090854,0.66892692,0.49341652,0.11235159
-5.95197599,1.49959479,0.01538449,0.10204467,0.42979056,0.21998288,0.01135851,0.68497464,0.51038042,0.11587455
-5.94597299,1.53471911,0.01524659,0.10426393,0.43496192,0.22523144,0.01180642,0.70161875,0.52762119,0.11956149
-5.93996998,1.56996304,0.01514420,0.10641447,0.44039538,0.23055642,0.01224391,0.71836400,0.54472376,0.12331723
-5.93396698,1.60418416,0.01506118,0.10841534,0.44576478,0.23579401,0.01266185,0.73469001,0.56126231,0.12704167
-5.92796398,1.63623005,0.01498172,0.11018866,0.45075034,0.24077749,0.01305059,0.75006958,0.57681427,0.13063301
-5.92196098,1.66497948,0.01489096,0.11166272,0.45505114,0.24534305,0.01340033,0.76398737,0.59097429,0.13399113
-5.91595798,1.68938263,0.01477541,0.11277466,0.45839676,0.24933547,0.01370147,0.77595823,0.60336760,0.13702087
-5.90995498,1.70849828,0.01462338,0.11347289,0.46055733,0.25261335,0.01394497,0.78554432,0.61366209,0.13963518
-5.90395198,1.72152646,0.01442527,0.11371895,0.46135175,0.25505385,0.01412267,0.79237025,0.62157878,0.14175783
-5.89794897,1.72783512,0.01417383,0.11348884,0.46065355,0.25655650,0.01422770,0.79613558,0.62689998,0.14332582
-5.89194597,1.72697955,0.01386425,0.11277372,0.45839423,0.25704616,0.01425466,0.79662416,0.62947505,0.14429112
-5.88594297,1.71871398,0.01349421,0.11157988,0.45456397,0.25647483,0.01419994,0.79370982,0.62922341,0.14462189
-5.87993997,1.70299475,0.01306375,0.10992817,0.44920967,0.25482238,0.01406180,0.78735842,0.62613473,0.14430299
-5.87393697,1.67997532,0.01257522,0.10785271,0.44243046,0.25209612,0.01384049,0.77762603,0.62026650,0.14333591
-5.86793397,1.64999344,0.01203293,0.10539914,0.43437105,0.24832939,0.01353823,0.76465361,0.61173898,0.14173793
-5.86193097,1.61355142,0.01144294,0.10262238,0.42521312,0.24357911,0.01315914,0.74865845,0.60072803,0.13954085
-5.85592796,1.57129066,0.01081271,0.09958403,0.41516540,0.23792263,0.01270911,0.72992296,0.58745612,0.13678917
-5.84992496,1.52396187,0.01015070,0.09634966,0.40445284,0.23145392,0.01219553,0.70878141,0.57218212,0.13353782
-5.84392196,1.47239258,0.00946603,0.09298594,0.39330551,0.22427935,0.01162710,0.68560533,0.55519027,0.12984974
-5.83791896,1.41745361,0.00876814,0.08955791,0.38194771,0.21651340,0.01101347,0.66078839,0.53677904,0.12579324
-5.83191596,1.36002624,0.00806638,0.08612646,0.37058794,0.20827428,0.01036494,0.63473143,0.51725024,0.12143944
-5.82591296,1.30097141,0.00736975,0.08274607,0.35941015,0.19967988,0.00969215,0.60782845,0.49689900,0.11685973
-5.81990995,1.24110254,0.00668664,0.07946304,0.34856654,0.19084406,0.00900573,0.58045405,0.47600497,0.11212358
-5.81390695,1.18116279,0.00602456,0.07631416,0.33817253,0.18187355,0.00831603,0.55295295,0.45482502,0.10729663
-5.80790395,1.12180777,0.00539006,0.07332594,0.32830365,0.17286547,0.00763288,0.52563185,0.43358775,0.10243922
-5.80190095,1.06359394,0.00478854,0.07051433,0.31899483,0.16390553,0.00696537,0.49875395,0.41248979,0.09760537
-5.79589795,1.00697291,0.00422427,0.06788501,0.31024167,0.15506696,0.00632169,0.47253610,0.39169403,0.09284221
-5.78989495,0.95229149,0.00370036,0.06543412,0.30200376,0.14641017,0.00570905,0.44714856,0.37132956,0.08818999
-5.78389195,0.89979685,0.00321879,0.06314941,0.29420970,0.13798300,0.00513367,0.42271720,0.35149325,0.08368238
-5.77788894,0.84964624,0.00278050,0.06101173,0.28676344,0.12982155,0.00460074,0.39932774,0.33225263,0.07934734
-5.77188594,0.80192026,0.00238553,0.05899676,0.27955159,0.12195141,0.00411456,0.37703167,0.31364985,0.07520821
-5.76588294,0.75663885,0.00203310,0.05707684,0.27245127,0.11438932,0.00367862,0.35585349,0.29570635,0.07128512
-5.75987994,0.71377872,0.00172176,0.05522283,0.26533804,0.10714490,0.00329578,0.33579863,0.27842797,0.06759651
-5.75387694,0.67329143,0.00144959,0.05340599,0.25809351,0.10022262,0.00296842,0.31686172,0.26181015,0.06416080
-5.74787394,0.63512106,0.00121428,0.05159957,0.25061227,0.09362360,0.00269866,0.29903475,0.24584296,0.06099799
-5.74187094,0.59922054,0.00101328,0.04978031,0.24280784,0.08734744,0.00248856,0.28231463,0.23051573,0.05813121
-5.73586793,0.56556607,0.00084398,0.04792956,0.23461734,0.08139372,0.00234030,0.26670987,0.21582105,0.05558809
-5.72986493,0.53416890,0.00070377,0.04603415,0.22600483,0.07576342,0.00225639,0.25224617,0.20175808,0.05340183
-5.72386193,0.50508427,0.00059015,0.04408693,0.21696311,0.07045983,0.00223980,0.23897055,0.18833502,0.05161205
-5.71785893,0.47841707,0.00050084,0.04208691,0.20751412,0.06548940,0.00229407,0.22695405,0.17557070,0.05026521
-5.71185593,0.45432420,0.00043380,0.04003918,0.19770793,0.06086204,0.00242343,0.21629290,0.16349539,0.04941466
-5.70585293,0.43301374,0.00038731,0.03795450,0.18762051,0.05659133,0.00263278,0.20710803,0.15215081,0.04912032
-5.69984992,0.41474098,0.00035998,0.03584865,0.17735043,0.05269428,0.00292768,0.19954319,0.14158938,0.04944779
-5.69384692,0.39980162,0.00035079,0.03374160,0.16701479,0.04919093,0.00331429,0.19376152,0.13187290,0.05046712
-5.68784392,0.38852232,0.00035905,0.03165654,0.15674453,0.04610372,0.00379917,0.18994093,0.12307074,0.05225113
-5.68184092,0.38124918,0.00038441,0.02961885,0.14667945,0.04345668,0.00438911,0.18826823,0.11525754,0.05487321
-5.67583792,0.37833431,0.00042686,0.02765504,0.13696309,0.04127442,0.00509085,0.18893236,0.10851069,0.05840489
-5.66983492,0.38012107,0.00048663,0.02579167,0.12773780,0.03958110,0.00591078,0.19211680,0.10290757,0.06291291
-5.66383192,0.38692830,0.00056418,0.02405437,0.11914006,0.03839927,0.00685451,0.19799139,0.09852263,0.06845616
