energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.38070583,0.00677365,0.03685109,0.16865423,0.13904446,0.03137779,0.69069608,0.30175952,0.46174132
-5.99399700,1.40749195,0.00629459,0.03733701,0.16605977,0.13894088,0.03268514,0.70514936,0.30235340,0.47656284
-5.98799400,1.43530417,0.00590597,0.03825235,0.16537625,0.13937850,0.03382863,0.71984287,0.30483039,0.48983662
-5.98199100,1.46350034,0.00560592,0.03958471,0.16655400,0.14032378,0.03478565,0.73444720,0.30917634,0.50126754
-5.97598799,1.49141162,0.00539079,0.04131266,0.16950445,0.14173153,0.03553695,0.74862498,0.31533253,0.51059165
-5.96998499,1.51835969,0.00525541,0.04340598,0.17410232,0.14354560,0.03606723,0.76203964,0.32319454,0.51758471
-5.96398199,1.54367298,0.00519322,0.04582608,0.18018855,0.14569987,0.03636568,0.77436371,0.33261224,0.52206920
-5.95797899,1.56670149,0.00519655,0.04852658,0.18757375,0.14811935,0.03642627,0.78528613,0.34339093,0.52391964
-5.95197599,1.58683015,0.00525681,0.05145416,0.19604236,0.15072154,0.03624797,0.79451877,0.35529397,0.52306594
-5.94597299,1.60349039,0.00536472,0.05454956,0.20535733,0.15341792,0.03583475,0.80180175,0.36804686,0.51949479
-5.93996998,1.61617019,0.00551052,0.05774886,0.21526551,0.15611574,0.03519540,0.80690799,0.38134281,0.51324896
-5.93396698,1.62442256,0.00568421,0.06098490,0.22550350,0.15871999,0.03434322,0.80964667,0.39484984,0.50442474
-5.92796398,1.62787271,0.00587575,0.06418889,0.23580401,0.16113557,0.03329551,0.80986602,0.40821915,0.49316763
-5.92196098,1.62622397,0.00607528,0.06729221,0.24590257,0.16326958,0.03207303,0.80745528,0.42109469,0.47966660
-5.91595798,1.61926287,0.00627332,0.07022826,0.25554443,0.16503374,0.03069924,0.80234623,0.43312355,0.46414726
-5.90995498,1.60686312,0.00646099,0.07293437,0.26449143,0.16634692,0.02919958,0.79451409,0.44396682,0.44686418
-5.90395198,1.58898879,0.00663016,0.07535364,0.27252869,0.16713747,0.02760074,0.78397808,0.45331057,0.42809297
-5.89794897,1.56569660,0.00677362,0.07743671,0.27947070,0.16734553,0.02592979,0.77080152,0.46087631,0.40812213
-5.89194597,1.53713695,0.00688524,0.07914333,0.28516682,0.16692507,0.02421354,0.75509147,0.46643073,0.38724533
-5.88594297,1.50355386,0.00696006,0.08044364,0.28950562,0.16584554,0.02247784,0.73699790,0.46979409,0.36575417
-5.87993997,1.46528317,0.00699441,0.08131918,0.29241815,0.16409318,0.02074698,0.71671222,0.47084682,0.34393176
-5.87393697,1.42274918,0.00698594,0.08176340,0.29387969,0.16167175,0.01904326,0.69446518,0.46953420,0.32204720
-5.86793397,1.37645907,0.00693363,0.08178189,0.29391003,0.15860269,0.01738659,0.67052395,0.46586865,0.30035109
-5.86193097,1.32699538,0.00683779,0.08139202,0.29257217,0.15492474,0.01579425,0.64518840,0.45992973,0.27907214
-5.85592796,1.27500618,0.00670002,0.08062224,0.28996942,0.15069291,0.01428077,0.61878648,0.45186157,0.25841477
-5.84992496,1.22119319,0.00652307,0.07951088,0.28624106,0.14597690,0.01285789,0.59166875,0.44186811,0.23855769
-5.84392196,1.16629803,0.00631078,0.07810466,0.28155668,0.14085898,0.01153464,0.56420228,0.43020617,0.21965340
-5.83791896,1.11108687,0.00606787,0.07645685,0.27610952,0.13543147,0.01031747,0.53676377,0.41717686,0.20182836
