energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,0.40411129,0.00812291,0.01483283,0.07001681,0.05337768,0.15014031,0.12070369,0.00726899,0.18395983
-5.99399700,0.44797189,0.00947100,0.01599955,0.07835386,0.05874079,0.16944144,0.13238358,0.00808136,0.20560947
-5.98799400,0.50091049,0.01097285,0.01749516,0.08821821,0.06522815,0.19198908,0.14697551,0.00905440,0.23142217
-5.98199100,0.56297189,0.01262970,0.01932872,0.09964317,0.07285327,0.21785380,0.16440963,0.01018432,0.26143046
-5.97598799,0.63409920,0.01443978,0.02150528,0.11264189,0.08161449,0.24706011,0.18459526,0.01146569,0.29561945
-5.96998499,0.71411381,0.01639786,0.02402522,0.12720363,0.09149261,0.27957831,0.20741504,0.01289108,0.33391724
-5.96398199,0.80269670,0.01849495,0.02688358,0.14329026,0.10244874,0.31531708,0.23271936,0.01445076,0.37618589
-5.95797899,0.89937218,0.02071806,0.03006945,0.16083324,0.11442247,0.35411704,0.26032158,0.01613248,0.42221362
-5.95197599,1.00349545,0.02305007,0.03356543,0.17973128,0.12733057,0.39574601,0.28999441,0.01792130,0.47170881
-5.94597299,1.11424494,0.02546981,0.03734722,0.19984877,0.14106621,0.43989606,0.32146785,0.01979952,0.52429630
-5.93996998,1.23062061,0.02795219,0.04138340,0.22101532,0.15549899,0.48618299,0.35442905,0.02174675,0.57951645
-5.93396698,1.35144895,0.03046859,0.04563534,0.24302641,0.17047573,0.53414848,0.38852425,0.02374006,0.63682743
-5.92796398,1.47539529,0.03298732,0.05005746,0.26564531,0.18582217,0.58326498,0.42336312,0.02575426,0.69561091
-5.92196098,1.60098364,0.03547432,0.05459769,0.28860630,0.20134561,0.63294372,0.45852531,0.02776238,0.75518138
-5.91595798,1.72662406,0.03789393,0.05919814,0.31161931,0.21683837,0.68254552,0.49356942,0.02973615,0.81479891
-5.90995498,1.85064686,0.04020976,0.06379623,0.33437567,0.23208221,0.73139438,0.52804391,0.03164665,0.87368527
-5.90395198,1.97134305,0.04238569,0.06832588,0.35655507,0.24685338,0.77879350,0.56149984,0.03346503,0.93104286
-5.89794897,2.08700953,0.04438688,0.07271910,0.37783338,0.26092831,0.82404312,0.59350488,0.03516323,0.98607597
-5.89194597,2.19599763,0.04618077,0.07690764,0.39789115,0.27408964,0.86645979,0.62365817,0.03671479,1.03801362
-5.88594297,2.29676317,0.04773801,0.08082492,0.41642241,0.28613248,0.90539619,0.65160535,0.03809558,1.08613307
-5.87993997,2.38791602,0.04903335,0.08440787,0.43314355,0.29687052,0.94026081,0.67705315,0.03928453,1.12978321
-5.87393697,2.46826707,0.05004642,0.08759890,0.44780175,0.30614186,0.97053666,0.69978295,0.04026419,1.16840670
-5.86793397,2.53687075,0.05076222,0.09034770,0.46018275,0.31381426,0.99579832,0.71966256,0.04102132,1.20156005
-5.86193097,2.59306102,0.05117161,0.09261287,0.47011764,0.31978959,1.01572640,0.73665578,0.04154723,1.22893071
-5.85592796,2.63647923,0.05127146,0.09436338,0.47748815,0.32400724,1.03011902,0.75082906,0.04183801,1.25035033
-5.84992496,2.66709254,0.05106467,0.09557958,0.48223054,0.32644642,1.03889957,0.76235502,0.04189461,1.26580364
-5.84392196,2.68520185,0.05055994,0.09625401,0.48433761,0.32712721,1.04212047,0.77151245,0.04172278,1.27543245
-5.83791896,2.69143868,0.04977141,0.09639159,0.48385887,0.32611019,1.03996282,0.77868265,0.04133277,1.27953443
-5.83191596,2.68675102,0.04871810,0.09600957,0.48089892,0.32349487,1.03273170,0.78434207,0.04073901,1.27855674
-5.82591296,2.67237826,0.04742320,0.09513693,0.47561386,0.31941671,1.02084752,0.78905151,0.03995956,1.27308452
-5.81990995,2.64981622,0.04591334,0.09381339,0.46820616,0.31404316,1.00483342,0.79344186,0.03901552,1.26382467
