energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,2.81101767,0.00329863,0.63247989,0.65982635,0.28973583,0.01737455,0.95321675,1.84964905,0.67508335
-5.99399700,2.84792966,0.00347754,0.63736693,0.67320267,0.29676806,0.01659391,0.97022908,1.87592579,0.68446782
-5.98799400,2.88527086,0.00366084,0.64149046,0.68638041,0.30469832,0.01585251,0.98885523,1.89975107,0.69312630
-5.98199100,2.92199136,0.00384520,0.64463918,0.69904797,0.31343299,0.01516052,1.00873005,1.92028614,0.70077103
-5.97598799,2.95713230,0.00402718,0.64663715,0.71092020,0.32287535,0.01452617,1.02949434,1.93680516,0.70715389
-5.96998499,2.98987729,0.00420335,0.64735391,0.72175300,0.33293158,0.01395566,1.05081380,1.94873151,0.71207852
-5.96398199,3.01959882,0.00437036,0.64671288,0.73135675,0.34351681,0.01345317,1.07239745,1.95566822,0.71541054
-5.95797899,3.04589711,0.00452508,0.64469744,0.73960785,0.35456100,0.01302087,1.09401439,1.95742110,0.71708532
-5.95197599,3.06862935,0.00466468,0.64135443,0.74645769,0.36601436,0.01265908,1.11550816,1.95401324,0.71711286
-5.94597299,3.08792758,0.00478672,0.63679479,0.75193862,0.37785188,0.01236642,1.13680786,1.94569020,0.71557954
-5.93996998,3.10420413,0.00488923,0.63119132,0.75616635,0.39007675,0.01213996,1.15793539,1.93291529,0.71264657
-5.93396698,3.11814382,0.00497075,0.62477347,0.75933865,0.40272243,0.01197547,1.17900827,1.91635528,0.70854511
-5.92796398,3.13068303,0.00503039,0.61781953,0.76173018,0.41585312,0.01186765,1.20023764,1.89685669,0.70356834
-5.92196098,3.14297615,0.00506781,0.61064639,0.76368364,0.42956245,0.01181036,1.22192154,1.87541383,0.69806069
-5.91595798,3.15635057,0.00508325,0.60359734,0.76559751,0.44397046,0.01179683,1.24443318,1.85312977,0.69240468
-5.90995498,3.17225193,0.00507748,0.59702849,0.76791071,0.45921881,0.01181992,1.26820498,1.83117191,0.68700602
-5.90395198,3.19218179,0.00505174,0.59129428,0.77108504,0.47546423,0.01187231,1.29370851,1.81072408,0.68227744
-5.89794897,3.21763039,0.00500769,0.58673293,0.77558591,0.49287066,0.01194666,1.32143139,1.79293716,0.67862213
-5.89194597,3.25000721,0.00494733,0.58365220,0.78186239,0.51160006,0.01203579,1.35185184,1.77888049,0.67641731
-5.88594297,3.29057258,0.00487290,0.58231629,0.79032732,0.53180253,0.01213286,1.38541222,1.76949616,0.67599876
-5.87993997,3.34037313,0.00478678,0.58293448,0.80133856,0.55360594,0.01223137,1.42249254,1.76555828,0.67764695
-5.87393697,3.40018440,0.00469141,0.58565182,0.81518207,0.57710562,0.01232535,1.46338532,1.76763905,0.68157531
-5.86793397,3.47046296,0.00458917,0.59054253,0.83205785,0.60235470,0.01240938,1.50827297,1.77608313,0.68792117
-5.86193097,3.55131072,0.00448233,0.59760629,0.85206926,0.62935539,0.01247861,1.55720899,1.79099170,0.69673978
-5.85592796,3.64245313,0.00437295,0.60676755,0.87521634,0.65805192,0.01252882,1.61010388,1.81221670,0.70800157
-5.84992496,3.74323254,0.00426285,0.61787804,0.90139348,0.68832539,0.01255640,1.66671678,1.83936580,0.72159288
-5.84392196,3.85261750,0.00415357,0.63072223,0.93039154,0.71999100,0.01255837,1.72665337,1.87181774,0.73732000
-5.83791896,3.96922770,0.00404635,0.64502553,0.96190450,0.75279791,0.01253235,1.78937047,1.90874740,0.75491635
