energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,4.64151174,1.30873926,2.69558176,0.00600201,0.39224621,1.01328220,0.81378748,0.01992513,0.48054584
-5.99399700,4.65334187,1.31239692,2.70435101,0.00574172,0.39813918,1.02571862,0.81032038,0.01974105,0.48254597
-5.98799400,4.66089021,1.31547841,2.70967940,0.00549885,0.40347893,1.03710043,0.80647399,0.01956031,0.48443841
-5.98199100,4.66370421,1.31766987,2.71140641,0.00527605,0.40814071,1.04720586,0.80221351,0.01937881,0.48614928
-5.97598799,4.66129781,1.31864852,2.70937505,0.00507507,0.41200033,1.05580440,0.79748583,0.01919172,0.48759367
-5.96998499,4.65317219,1.31809775,2.70343827,0.00489683,0.41493862,1.06266559,0.79222313,0.01899366,0.48867790
-5.96398199,4.63883921,1.31572189,2.69346628,0.00474147,0.41684599,1.06756851,0.78634721,0.01877899,0.48930238
-5.95797899,4.61784631,1.31125985,2.67935456,0.00460842,0.41762694,1.07031157,0.77977472,0.01854200,0.48936493
-5.95197599,4.58980163,1.30449706,2.66103202,0.00449651,0.41720431,1.07072192,0.77242267,0.01827725,0.48876430
-5.94597299,4.55439776,1.29527518,2.63846861,0.00440408,0.41552295,1.06866423,0.76421407,0.01797987,0.48740406
-5.93996998,4.51143279,1.28349905,2.61168203,0.00432913,0.41255265,1.06404807,0.75508337,0.01764575,0.48519622
-5.93396698,4.46082713,1.26914059,2.58074266,0.00426941,0.40829024,1.05683359,0.74498124,0.01727187,0.48206483
-5.92796398,4.40263519,1.25223955,2.54577656,0.00422256,0.40276065,1.04703511,0.73387856,0.01685647,0.47794907
-5.92196098,4.33705093,1.23290098,2.50696584,0.00418619,0.39601685,1.03472237,0.72176935,0.01639920,0.47280586
-5.91595798,4.26440706,1.21128975,2.46454655,0.00415798,0.38813879,1.02001940,0.70867242,0.01590124,0.46661165
-5.90995498,4.18516780,1.18762222,2.41880390,0.00413575,0.37923124,1.00310097,0.69463188,0.01536531,0.45936357
-5.90395198,4.09991572,1.16215582,2.37006507,0.00411752,0.36942076,0.98418687,0.67971633,0.01479569,0.45107963
-5.89794897,4.00933370,1.13517690,2.31869021,0.00410152,0.35885195,0.96353437,0.66401699,0.01419810,0.44179816
-5.89194597,3.91418301,1.10698765,2.26506194,0.00408620,0.34768319,0.94142926,0.64764498,0.01357960,0.43157648
-5.88594297,3.81527936,1.07789286,2.20957432,0.00407024,0.33608201,0.91817608,0.63072792,0.01294842,0.42048888
-5.87993997,3.71346827,1.04818723,2.15262199,0.00405257,0.32422051,0.89408803,0.61340614,0.01231373,0.40862416
-5.87393697,3.60960158,1.01814383,2.09459021,0.00403227,0.31227089,0.86947718,0.59582894,0.01168542,0.39608276
-5.86793397,3.50451663,0.98800462,2.03584661,0.00400862,0.30040142,0.84464557,0.57815094,0.01107385,0.38297375
