energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,1.46629846,0.27044303,0.83277749,0.00069452,0.07040960,0.35035505,0.19084997,0.00516375,0.39449036
-5.99399700,1.41008192,0.26415383,0.80186392,0.00064266,0.06859594,0.33800343,0.18076063,0.00517961,0.37712820
-5.98799400,1.35546473,0.25770983,0.77156959,0.00059309,0.06683054,0.32588963,0.17138446,0.00515980,0.36057846
-5.98199100,1.30225720,0.25103413,0.74183366,0.00054559,0.06507021,0.31398902,0.16267140,0.00510457,0.34478311
-5.97598799,1.25031529,0.24406861,0.71262848,0.00050007,0.06328053,0.30227798,0.15456949,0.00501499,0.32968268
-5.96998499,1.19954109,0.23677325,0.68395922,0.00045653,0.06143537,0.29073398,0.14702614,0.00489287,0.31521736
-5.96398199,1.14988253,0.22912523,0.65586305,0.00041505,0.05951632,0.27933581,0.13998938,0.00474075,0.30132817
-5.95797899,1.10133272,0.22111793,0.62840804,0.00037573,0.05751210,0.26806412,0.13340883,0.00456176,0.28795795
-5.95197599,1.05392882,0.21275980,0.60169175,0.00033872,0.05541791,0.25690217,0.12723662,0.00435956,0.27505249
-5.94597299,1.00775069,0.20407311,0.57583981,0.00030417,0.05323474,0.24583666,0.12142814,0.00413819,0.26256151
-5.93996998,0.96291924,0.19509262,0.55100420,0.00027223,0.05096872,0.23485874,0.11594269,0.00390195,0.25043964
-5.93396698,0.91959451,0.18586415,0.52736148,0.00024300,0.04863034,0.22396494,0.11074406,0.00365526,0.23864737
-5.92796398,0.87797337,0.17644307,0.50511067,0.00021660,0.04623386,0.21315798,0.10580102,0.00340259,0.22715189
-5.92196098,0.83828674,0.16689269,0.48447086,0.00019310,0.04379654,0.20244753,0.10108776,0.00314825,0.21592781
-5.91595798,0.80079617,0.15728254,0.46567832,0.00017255,0.04133798,0.19185057,0.09658421,0.00289637,0.20495781
-5.90995498,0.76578962,0.14768663,0.44898298,0.00015497,0.03887947,0.18139159,0.09227640,0.00265077,0.19423302
-5.90395198,0.73357631,0.13818166,0.43464417,0.00014034,0.03644327,0.17110236,0.08815665,0.00241486,0.18375336
-5.89794897,0.70448049,0.12884515,0.42292550,0.00012865,0.03405207,0.16102138,0.08422372,0.00219164,0.17352749
-5.89194597,0.67883405,0.11975368,0.41408884,0.00011984,0.03172828,0.15119307,0.08048284,0.00198361,0.16357271
-5.88594297,0.65696805,0.11098112,0.40838731,0.00011384,0.02949356,0.14166650,0.07694570,0.00179281,0.15391447
-5.87993997,0.63920314,0.10259695,0.40605740,0.00011056,0.02736824,0.13249404,0.07363022,0.00162073,0.14458585
-5.87393697,0.62583913,0.09466482,0.40731039,0.00010990,0.02537089,0.12372968,0.07056031,0.00146839,0.13562663
-5.86793397,0.61714394,0.08724118,0.41232313,0.00011174,0.02351788,0.11542731,0.06776542,0.00133635,0.12708240
-5.86193097,0.61334230,0.08037418,0.42122874,0.00011596,0.02182310,0.10763899,0.06528007,0.00122471,0.11900337
-5.85592796,0.61460471,0.07410283,0.43410738,0.00012240,0.02029770,0.10041314,0.06314319,0.00113316,0.11144319
-5.84992496,0.62103701,0.06845642,0.45097768,0.00013089,0.01894990,0.09379307,0.06139745,0.00106105,0.10445769
-5.84392196,0.63267134,0.06345423,0.47178928,0.00014124,0.01778493,0.08781547,0.06008851,0.00100739,0.09810359
-5.83791896,0.64945878,0.05910550,0.49641700,0.00015326,0.01680500,0.08250933,0.05926417,0.00097093,0.09243732
-5.83191596,0.67126442,0.05540971,0.52465703,0.00016672,0.01600943,0.07789508,0.05897361,0.00095019,0.08751383
-5.82591296,0.69786514,0.05235711,0.55622576,0.00018137,0.01539476,0.07398403,0.05926646,0.00094349,0.08338552
-5.81990995,0.72895052,0.04992945,0.59076143,0.00019694,0.01495501,0.07077819,0.06019203,0.00094904,0.08010126
-5.81390695,0.76412709,0.04810094,0.62782886,0.00021316,0.01468193,0.06827035,0.06179844,0.00096491,0.07770553
-5.80790395,0.80292592,0.04683934,0.66692739,0.00022970,0.01456537,0.06644448,0.06413177,0.00098913,0.07623765
-5.80190095,0.84481345,0.04610713,0.70750191,0.00024627,0.01459359,0.06527639,0.06723522,0.00101971,0.07573107
-5.79589795,0.88920513,0.04586277,0.74895663,0.00026253,0.01475367,0.06473460,0.07114824,0.00105465,0.07621272
-5.78989495,0.93548150,0.04606195,0.79067127,0.00027817,0.01503190,0.06478133,0.07590565,0.00109203,0.07770237
-5.78389195,0.98300593,0.04665877,0.83201893,0.00029287,0.01541412,0.06537359,0.08153665,0.00112996,0.08021203
-5.77788894,1.03114313,0.04760684,0.87238492,0.00030632,0.01588613,0.06646437,0.08806387,0.00116671,0.08374531
-5.77188594,1.07927774,0.04886030,0.91118575,0.00031825,0.01643393,0.06800371,0.09550229,0.00120067,0.08829671
-5.76588294,1.12683181,0.05037460,0.94788718,0.00032839,0.01704404,0.06993980,0.10385809,0.00123039,0.09385094
-5.75987994,1.17328044,0.05210718,0.98202065,0.00033654,0.01770371,0.07221988,0.11312750,0.00125463,0.10038218
-5.75387694,1.21816463,0.05401791,1.01319699,0.00034252,0.01840108,0.07479107,0.12329563,0.00127235,0.10785336
-5.74787394,1.26110059,0.05606940,1.04111682,0.00034621,0.01912525,0.07760104,0.13433527,0.00128273,0.11621545
-5.74187094,1.30178526,0.05822708,1.06557696,0.00034755,0.01986637,0.08059846,0.14620583,0.00128521,0.12540690
-5.73586793,1.33999733,0.06045913,1.08647247,0.00034652,0.02061561,0.08373338,0.15885233,0.00127946,0.13535321
-5.72986493,1.37559419,0.06273635,1.10379429,0.00034318,0.02136508,0.08695741,0.17220469,0.00126538,0.14596670
-5.72386193,1.40850470,0.06503182,1.11762243,0.00033764,0.02210778,0.09022385,0.18617722,0.00124312,0.15714663
-5.71785893,1.43871849,0.06732062,1.12811524,0.00033006,0.02283745,0.09348774,0.20066853,0.00121302,0.16877963
-5.71185593,1.46627243,0.06957948,1.13549524,0.00032067,0.02354847,0.09670582,0.21556178,0.00117564,0.18074058
-5.70585293,1.49123520,0.07178645,1.14003247,0.00030974,0.02423571,0.09983664,0.23072554,0.00113171,0.19289392
-5.69984992,1.51369104,0.07392070,1.14202616,0.00029759,0.02489442,0.10284058,0.24601504,0.00108209,0.20509547
-5.69384692,1.53372380,0.07596233,1.14178599,0.00028457,0.02552018,0.10568004,0.26127413,0.00102778,0.21719472
-5.68784392,1.55140229,0.07789241,1.13961386,0.00027107,0.02610884,0.10831975,0.27633766,0.00096984,0.22903755
-5.68184092,1.56676810,0.07969309,1.13578729,0.00025749,0.02665651,0.11072719,0.29103456,0.00090940,0.24046943
-5.67583792,1.57982663,0.08134788,1.13054547,0.00024427,0.02715961,0.11287312,0.30519127,0.00084759,0.25133890
-5.66983492,1.59054205,0.08284208,1.12407854,0.00023184,0.02761501,0.11473229,0.31863576,0.00078556,0.26150127
-5.66383192,1.59883656,0.08416329,1.11652090,0.00022063,0.02802011,0.11628421,0.33120166,0.00072443,0.27082250
-5.65782891,1.60459398,0.08530210,1.10794867,0.00021107,0.02837308,0.11751403,0.34273284,0.00066526,0.27918303
-5.65182591,1.60766763,0.08625272,1.09838136,0.00020360,0.02867307,0.11841343,0.35308781,0.00060906,0.28648141
-5.64582291,1.60789185,0.08701369,1.08778766,0.00019861,0.02892038,0.11898144,0.36214412,0.00055676,0.29263767
-5.63981991,1.60509653,0.08758850,1.07609466,0.00019650,0.02911676,0.11922529,0.36980247,0.00050923,0.29759618
-5.63381691,1.59912357,0.08798614,1.06319993,0.00019760,0.02926558,0.11916099,0.37599027,0.00046727,0.30132790
-5.62781391,1.58984437,0.08822142,1.04898559,0.00020226,0.02937198,0.11881383,0.38066463,0.00043160,0.30383190
-5.62181091,1.57717688,0.08831518,1.03333343,0.00021075,0.02944305,0.11821855,0.38381452,0.00040291,0.30513605
-5.61580790,1.56110133,0.08829417,1.01613990,0.00022330,0.02948780,0.11741923,0.38546194,0.00038184,0.30529676
-5.60980490,1.54167326,0.08819067,0.99733026,0.00024011,0.02951720,0.11646891,0.38566206,0.00036898,0.30439776
-5.60380190,1.51903309,0.08804181,0.97687076,0.00026128,0.02954397,0.11542884,0.38450229,0.00036495,0.30254792
-5.59779890,1.49341132,0.08788864,0.95477823,0.00028687,0.02958245,0.11436731,0.38210006,0.00037034,0.29987812
-5.59179590,1.46512898,0.08777482,0.93112644,0.00031685,0.02964819,0.11335831,0.37859959,0.00038580,0.29653724
-5.58579290,1.43459311,0.08774516,0.90604892,0.00035112,0.02975761,0.11247973,0.37416757,0.00041199,0.29268746
-5.57978989,1.40228724,0.08784390,0.87973807,0.00038948,0.02992745,0.11181139,0.36898784,0.00044963,0.28849888
-5.57378689,1.36875751,0.08811288,0.85244076,0.00043162,0.03017426,0.11143287,0.36325538,0.00049948,0.28414381
-5.56778389,1.33459482,0.08858966,0.82445063,0.00047716,0.03051376,0.11142119,0.35716978,0.00056237,0.27979079
-5.56178089,1.30041418,0.08930569,0.79609764,0.00052561,0.03096024,0.11184843,0.35092839,0.00063915,0.27559871
-5.55577789,1.26683211,0.09028454,0.76773560,0.00057637,0.03152596,0.11277943,0.34471947,0.00073076,0.27171120
-5.54977489,1.23444342,0.09154044,0.73972832,0.00062877,0.03222052,0.11426957,0.33871571,0.00083810,0.26825148
-5.54377189,1.20379845,0.09307708,0.71243521,0.00068204,0.03305038,0.11636275,0.33306820,0.00096210,0.26531804
-5.53776888,1.17538209,0.09488674,0.68619720,0.00073537,0.03401841,0.11908968,0.32790146,0.00110365,0.26298120
-5.53176588,1.14959553,0.09694999,0.66132363,0.00078786,0.03512357,0.12246647,0.32330935,0.00126355,0.26128082
-5.52576288,1.12674168,0.09923577,0.63808082,0.00083861,0.03636074,0.12649360,0.31935245,0.00144246,0.26022519
-5.51975988,1.10701498,0.10170201,0.61668282,0.00088669,0.03772061,0.13115540,0.31605674,0.00164089,0.25979128
-5.51375688,1.09049596,0.10429673,0.59728471,0.00093120,0.03918987,0.13641988,0.31341384,0.00185909,0.25992619
-5.50775388,1.07715082,0.10695969,0.57997873,0.00097127,0.04075135,0.14223910,0.31138271,0.00209702,0.26054995
-5.50175088,1.06683598,0.10962434,0.56479318,0.00100610,0.04238452,0.14854993,0.30989276,0.00235430,0.26155938
-5.49574787,1.05930709,0.11222022,0.55169420,0.00103499,0.04406595,0.15527533,0.30884823,0.00263010,0.26283296
-5.48974487,1.05423233,0.11467553,0.54059000,0.00105734,0.04576996,0.16232598,0.30813367,0.00292318,0.26423647
-5.48374187,1.05120896,0.11691990,0.53133736,0.00107270,0.04746938,0.16960227,0.30762016,0.00323176,0.26562916
-5.47773887,1.04978254,0.11888714,0.52375001,0.00108077,0.04913636,0.17699663,0.30717224,0.00355356,0.26687014
-5.47173587,1.04946793,0.12051797,0.51760838,0.00108140,0.05074317,0.18439615,0.30665489,0.00388576,0.26782488
-5.46573287,1.04977109,0.12176246,0.51267033,0.00107463,0.05226312,0.19168539,0.30594067,0.00422499,0.26837132
-5.45972986,1.05021093,0.12258228,0.50868238,0.00106065,0.05367137,0.19874929,0.30491634,0.00456741,0.26840560
-5.45372686,1.05034037,0.12295246,0.50539107,0.00103984,0.05494577,0.20547626,0.30348903,0.00490872,0.26784698
-5.44772386,1.04976592,0.12286278,0.50255400,0.00101273,0.05606756,0.21176126,0.30159154,0.00524427,0.26664195
-5.44172086,1.04816519,0.12231859,0.49995030,0.00097997,0.05702208,0.21750876,0.29918666,0.00556912,0.26476724
-5.43571786,1.04530189,0.12134117,0.49739023,0.00094238,0.05779930,0.22263568,0.29627037,0.00587819,0.26223177
-5.42971486,1.04103794,0.11996751,0.49472363,0.00090086,0.05839425,0.22707407,0.29287387,0.00616639,0.25907750
-5.42371186,1.03534243,0.11824960,0.49184717,0.00085639,0.05880734,0.23077349,0.28906432,0.00642877,0.25537900
-5.41770885,1.02829725,0.11625320,0.48871010,0.00081002,0.05904447,0.23370310,0.28494445,0.00666065,0.25124210
-5.41170585,1.02009943,0.11405620,0.48531859,0.00076283,0.05911707,0.23585318,0.28065089,0.00685781,0.24680137
-5.40570285,1.01106003,0.11174663,0.48173831,0.00071591,0.05904195,0.23723618,0.27635151,0.00701664,0.24221674
-5.39969985,1.00159963,0.10942027,0.47809543,0.00067035,0.05884091,0.23788717,0.27224160,0.00713424,0.23766935
-5.39369685,0.99224059,0.10717808,0.47457583,0.00062720,0.05854034,0.23786353,0.26853934,0.00720856,0.23335664
-5.38769385,0.98359612,0.10512344,0.47142259,0.00058745,0.05817055,0.23724395,0.26548030,0.00723853,0.22948696
-5.38169085,0.97635631,0.10335930,0.46893157,0.00055203,0.05776498,0.23612670,0.26331147,0.00722404,0.22627374
-5.37568784,0.97127140,0.10198522,0.46744532,0.00052181,0.05735936,0.23462713,0.26228462,0.00716603,0.22392948
-5.36968484,0.96913252,0.10109458,0.46734520,0.00049754,0.05699063,0.23287440,0.26264944,0.00706648,0.22265950
-5.36368184,0.97075027,0.10077181,0.46904193,0.00047987,0.05669593,0.23100769,0.26464636,0.00692834,0.22265585
-5.35767884,0.97693166,0.10108982,0.47296452,0.00046937,0.05651141,0.22917184,0.26849936,0.00675547,0.22409133
-5.35167584,0.98845585,0.10210773,0.47954816,0.00046647,0.05647118,0.22751253,0.27440897,0.00655253,0.22711386
-5.34567284,1.00604945,0.10386887,0.48922089,0.00047148,0.05660618,0.22617143,0.28254549,0.00632488,0.23184134
-5.33966983,1.03036195,0.10639918,0.50238981,0.00048458,0.05694317,0.22528125,0.29304280,0.00607837,0.23835721
-5.33366683,1.06194229,0.10970618,0.51942696,0.00050582,0.05750394,0.22496100,0.30599284,0.00581926,0.24670679
-5.32766383,1.10121722,0.11377828,0.54065542,0.00053512,0.05830451,0.22531181,0.32144107,0.00555399,0.25689458
-5.32166083,1.14847237,0.11858485,0.56633608,0.00057224,0.05935476,0.22641327,0.33938297,0.00528904,0.26888270
-5.31565783,1.20383685,0.12407678,0.59665555,0.00061680,0.06065814,0.22832069,0.35976194,0.00503079,0.28259052
-5.30965483,1.26727201,0.13018770,0.63171577,0.00066829,0.06221171,0.23106336,0.38246855,0.00478538,0.29789563
-5.30365183,1.33856510,0.13683585,0.67152551,0.00072604,0.06400646,0.23464386,0.40734134,0.00455858,0.31463617
