energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.26597979,0.03403081,0.06313478,0.66864169,0.72501356,0.01871596,1.31854024,0.65491854,0.14614128
-5.99399700,2.25784226,0.03191384,0.06305504,0.66944544,0.71736897,0.01872563,1.31649022,0.65835756,0.14617942
-5.98799400,2.25056028,0.02984515,0.06284717,0.67054841,0.70965887,0.01876306,1.31520632,0.66191317,0.14632443
-5.98199100,2.24448983,0.02784328,0.06251265,0.67203483,0.70201507,0.01883816,1.31491572,0.66561214,0.14660361
-5.97598799,2.24002245,0.02592503,0.06205442,0.67400504,0.69458513,0.01896040,1.31586555,0.66950236,0.14704494
-5.96998499,2.23758185,0.02410523,0.06147696,0.67657514,0.68753170,0.01913847,1.31832006,0.67365311,0.14767669
-5.96398199,2.23761594,0.02239655,0.06078620,0.67987484,0.68103031,0.01938002,1.32255508,0.67815348,0.14852687
-5.95797899,2.24058410,0.02080932,0.05998945,0.68404376,0.67526546,0.01969136,1.32884960,0.68310870,0.14962232
-5.95197599,2.24693998,0.01935142,0.05909520,0.68922593,0.67042518,0.02007720,1.33747479,0.68863467,0.15098774
-5.94597299,2.25711034,0.01802823,0.05811291,0.69556282,0.66669422,0.02054041,1.34868064,0.69485079,0.15264437
-5.93996998,2.27147073,0.01684252,0.05705268,0.70318506,0.66424593,0.02108181,1.36268078,0.70187145,0.15460862
-5.93396698,2.29031922,0.01579452,0.05592494,0.71220327,0.66323351,0.02170004,1.37963633,0.70979664,0.15689057
-5.92796398,2.31384947,0.01488198,0.05474010,0.72269837,0.66378072,0.02239143,1.39963936,0.71870224,0.15949245
-5.92196098,2.34212481,0.01410029,0.05350817,0.73471206,0.66597285,0.02314996,1.42269718,0.72863045,0.16240727
-5.91595798,2.37505473,0.01344264,0.05223845,0.74823785,0.66984822,0.02396724,1.44871820,0.73958110,0.16561752
-5.90995498,2.41237576,0.01290027,0.05093922,0.76321338,0.67539089,0.02483264,1.47750059,0.75150436,0.16909425
-5.90395198,2.45363784,0.01246272,0.04961752,0.77951454,0.68252507,0.02573343,1.50872449,0.76429531,0.17279642
-5.89794897,2.49819779,0.01211817,0.04827899,0.79695184,0.69111159,0.02665494,1.54194860,0.77779096,0.17667076
-5.89194597,2.54522075,0.01185371,0.04692783,0.81526956,0.70094691,0.02758093,1.57661177,0.79176999,0.18065208
-5.88594297,2.59369020,0.01165574,0.04556680,0.83414786,0.71176479,0.02849387,1.61204002,0.80595532,0.18466415
-5.87993997,2.64242685,0.01151035,0.04419736,0.85320805,0.72324086,0.02937537,1.64745896,0.82001972,0.18862107
-5.87393697,2.69011595,0.01140359,0.04281984,0.87202093,0.73499989,0.03020662,1.68201155,0.83359416,0.19242923
-5.86793397,2.73534242,0.01132192,0.04143372,0.89011808,0.74662579,0.03096886,1.71478060,0.84627879,0.19598968
-5.86193097,2.77663257,0.01125245,0.04003797,0.90700561,0.75767380,0.03164389,1.74481544,0.85765592,0.19920095
-5.85592796,2.81250067,0.01118326,0.03863135,0.92217996,0.76768454,0.03221453,1.77116145,0.86730464,0.20196207
-5.84992496,2.84149860,0.01110366,0.03721277,0.93514500,0.77619932,0.03266514,1.79289158,0.87481628,0.20417590
-5.84392196,2.86226632,0.01100437,0.03578165,0.94542968,0.78277598,0.03298204,1.80913820,0.87981001,0.20575236
-5.83791896,2.87358093,0.01087768,0.03433814,0.95260549,0.78700467,0.03315391,1.81912407,0.88194792,0.20661158
-5.83191596,2.87440201,0.01071753,0.03288343,0.95630280,0.78852276,0.03317213,1.82219088,0.88094868,0.20668684
-5.82591296,2.86391115,0.01051962,0.03141985,0.95622528,0.78702820,0.03303106,1.81782405,0.87659932,0.20592706
-5.81990995,2.84154381,0.01028131,0.02995100,0.95216185,0.78229077,0.03272814,1.80567269,0.86876435,0.20429882
-5.81390695,2.80701194,0.01000161,0.02848170,0.94399529,0.77416063,0.03226406,1.78556360,0.85739189,0.20178771
-5.80790395,2.76031632,0.00968111,0.02701795,0.93170741,0.76257383,0.03164268,1.75750885,0.84251652,0.19839907
-5.80190095,2.70174809,0.00932174,0.02556676,0.91538017,0.74755452,0.03087093,1.72170640,0.82425861,0.19415796
-5.79589795,2.63187939,0.00892671,0.02413592,0.89519304,0.72921380,0.02995861,1.67853383,0.80282030,0.18910848
-5.78989495,2.55154368,0.00850021,0.02273375,0.87141648,0.70774532,0.02891809,1.62853558,0.77847832,0.18331234
