energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.09830741,-2.09830691,0.01755978,-0.01755976,0.21670901,-0.21670894,1.01768427,-1.01768428,0.43332752,-0.43332734,0.62083305,-0.62083297,0.00000000,-0.00000000,0.02763484,-0.02763481,1.04238615,-1.04238595
-5.99399700,2.11181460,-2.11181413,0.01947650,-0.01947647,0.21924068,-0.21924061,1.00458530,-1.00458532,0.44085966,-0.44085950,0.62214242,-0.62214234,0.00000000,-0.00000000,0.02932325,-0.02932322,1.04639138,-1.04639118
-5.98799400,2.12005768,-2.12005724,0.02151276,-0.02151273,0.22089104,-0.22089099,0.98804052,-0.98804056,0.44675790,-0.44675775,0.62225906,-0.62225898,0.00000000,-0.00000000,0.03108307,-0.03108305,1.04828773,-1.04828753
-5.98199100,2.12337516,-2.12337475,0.02365087,-0.02365084,0.22167051,-0.22167047,0.96851058,-0.96851063,0.45101178,-0.45101166,0.62133210,-0.62133203,0.00000000,-0.00000000,0.03290302,-0.03290299,1.04830480,-1.04830461
-5.97598799,2.12220547,-2.12220509,0.02586902,-0.02586899,0.22161113,-0.22161110,0.94651723,-0.94651728,0.45365450,-0.45365440,0.61953055,-0.61953047,0.00000000,-0.00000000,0.03476843,-0.03476841,1.04670301,-1.04670283
-5.96998499,2.11706008,-2.11705973,0.02814148,-0.02814145,0.22076615,-0.22076613,0.92262248,-0.92262254,0.45476204,-0.45476196,0.61703195,-0.61703187,0.00000000,-0.00000000,0.03666117,-0.03666114,1.04375606,-1.04375588
-5.96398199,2.10849575,-2.10849544,0.03043880,-0.03043877,0.21920916,-0.21920915,0.89740712,-0.89740719,0.45445137,-0.45445131,0.61401115,-0.61401107,0.00000000,-0.00000000,0.03855960,-0.03855957,1.03973373,-1.03973356
-5.95797899,2.09708755,-2.09708728,0.03272832,-0.03272829,0.21703270,-0.21703270,0.87144966,-0.87144973,0.45287746,-0.45287742,0.61062969,-0.61062961,0.00000000,-0.00000000,0.04043884,-0.04043882,1.03488600,-1.03488583
-5.95197599,2.08340410,-2.08340385,0.03497478,-0.03497475,0.21434657,-0.21434658,0.84530674,-0.84530681,0.45022945,-0.45022943,0.60702642,-0.60702635,0.00000000,-0.00000000,0.04227115,-0.04227112,1.02942926,-1.02942910
-5.94597299,2.06798614,-2.06798593,0.03714110,-0.03714107,0.21127572,-0.21127573,0.81949561,-0.81949568,0.44672608,-0.44672607,0.60330994,-0.60330987,0.00000000,-0.00000000,0.04402649,-0.04402646,1.02353551,-1.02353535
-5.93996998,2.05132954,-2.05132935,0.03918932,-0.03918929,0.20795785,-0.20795786,0.79447959,-0.79447965,0.44261043,-0.44261043,0.59955310,-0.59955303,0.00000000,-0.00000000,0.04567329,-0.04567326,1.01732478,-1.01732464
-5.93396698,2.03387288,-2.03387272,0.04108163,-0.04108160,0.20454076,-0.20454077,0.77065658,-0.77065663,0.43814428,-0.43814428,0.59578984,-0.59578978,0.00000000,-0.00000000,0.04717935,-0.04717933,1.01086140,-1.01086128
