energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.66846471,-1.66846473,0.01186459,-0.01186459,0.17457506,-0.17457505,0.65088057,-0.65088060,0.69585217,-0.69585215,0.39264758,-0.39264759,0.09957780,-0.09957780,0.01316724,-0.01316724,0.75213031,-0.75213032
-5.99399700,1.62652550,-1.62652550,0.01037394,-0.01037394,0.17529913,-0.17529913,0.61945363,-0.61945366,0.70023034,-0.70023031,0.37572589,-0.37572589,0.09623898,-0.09623898,0.01215304,-0.01215304,0.72399866,-0.72399867
-5.98799400,1.59768714,-1.59768712,0.00902323,-0.00902323,0.17790509,-0.17790508,0.59387258,-0.59387260,0.70997487,-0.70997483,0.36166652,-0.36166652,0.09341863,-0.09341863,0.01125799,-0.01125799,0.70117301,-0.70117301
-5.98199100,1.58055292,-1.58055289,0.00781088,-0.00781088,0.18215968,-0.18215966,0.57362666,-0.57362667,0.72431788,-0.72431784,0.35021981,-0.35021981,0.09106488,-0.09106488,0.01047664,-0.01047664,0.68316003,-0.68316004
-5.97598799,1.57350300,-1.57350296,0.00673270,-0.00673270,0.18779942,-0.18779940,0.55811401,-0.55811402,0.74240168,-0.74240163,0.34108462,-0.34108462,0.08911630,-0.08911630,0.00980141,-0.00980141,0.66937199,-0.66937199
-5.96998499,1.57475063,-1.57475058,0.00578235,-0.00578235,0.19453736,-0.19453734,0.54666597,-0.54666598,0.76330120,-0.76330115,0.33392168,-0.33392168,0.08750462,-0.08750462,0.00922301,-0.00922301,0.65915119,-0.65915118
-5.96398199,1.58239977,-1.58239971,0.00495186,-0.00495186,0.20207034,-0.20207032,0.53857130,-0.53857131,0.78604787,-0.78604782,0.32836717,-0.32836717,0.08615748,-0.08615748,0.00873095,-0.00873095,0.65179467,-0.65179467
-5.95797899,1.59450285,-1.59450280,0.00423211,-0.00423211,0.21008659,-0.21008657,0.53309964,-0.53309965,0.80965425,-0.80965420,0.32404585,-0.32404585,0.08500103,-0.08500103,0.00831400,-0.00831400,0.64657853,-0.64657852
-5.95197599,1.60911744,-1.60911738,0.00361324,-0.00361324,0.21827358,-0.21827356,0.52952374,-0.52952374,0.83313923,-0.83313918,0.32058369,-0.32058369,0.08396241,-0.08396241,0.00796061,-0.00796061,0.64278113,-0.64278112
-5.94597299,1.62436062,-1.62436057,0.00308509,-0.00308509,0.22632595,-0.22632593,0.52713999,-0.52713999,0.85555324,-0.85555319,0.31761947,-0.31761947,0.08297205,-0.08297205,0.00765931,-0.00765931,0.63970488,-0.63970487
-5.93996998,1.63846020,-1.63846015,0.00263749,-0.00263749,0.23395342,-0.23395341,0.52528707,-0.52528707,0.87600292,-0.87600287,0.31481523,-0.31481523,0.08196570,-0.08196570,0.00739909,-0.00739909,0.63669603,-0.63669602
-5.93396698,1.64980151,-1.64980147,0.00226063,-0.00226063,0.24088843,-0.24088842,0.52336220,-0.52336220,0.89367476,-0.89367472,0.31186542,-0.31186542,0.08088624,-0.08088625,0.00716965,-0.00716965,0.63316217,-0.63316217
-5.92796398,1.65696906,-1.65696904,0.00194522,-0.00194522,0.24689334,-0.24689332,0.52083497,-0.52083497,0.90785697,-0.90785694,0.30850447,-0.30850447,0.07968517,-0.07968518,0.00696172,-0.00696172,0.62858720,-0.62858720
-5.92196098,1.65878212,-1.65878211,0.00168270,-0.00168270,0.25176701,-0.25176700,0.51725855,-0.51725855,0.91795912,-0.91795910,0.30451280,-0.30451280,0.07832379,-0.07832380,0.00676719,-0.00676719,0.62254345,-0.62254346
-5.91595798,1.65432346,-1.65432346,0.00146539,-0.00146539,0.25535059,-0.25535058,0.51227812,-0.51227813,0.92352874,-0.92352873,0.29972120,-0.29972121,0.07677413,-0.07677413,0.00657933,-0.00657933,0.61470095,-0.61470096
-5.90995498,1.64296086,-1.64296087,0.00128657,-0.00128657,0.25753217,-0.25753216,0.50563660,-0.50563661,0.92426463,-0.92426463,0.29401357,-0.29401358,0.07501951,-0.07501951,0.00639287,-0.00639287,0.60483364,-0.60483366
-5.90395198,1.62436078,-1.62436081,0.00114048,-0.00114048,0.25825036,-0.25825036,0.49717754,-0.49717756,0.92002612,-0.92002613,0.28732800,-0.28732801,0.07305486,-0.07305486,0.00620404,-0.00620404,0.59282266,-0.59282268
-5.89794897,1.59849426,-1.59849430,0.00102245,-0.00102245,0.25749659,-0.25749659,0.48684544,-0.48684546,0.91083829,-0.91083831,0.27965638,-0.27965640,0.07088671,-0.07088671,0.00601063,-0.00601063,0.57865667,-0.57865669
-5.89194597,1.56563481,-1.56563487,0.00092878,-0.00092878,0.25531588,-0.25531589,0.47468345,-0.47468347,0.89689264,-0.89689266,0.27104261,-0.27104262,0.06853292,-0.06853293,0.00581196,-0.00581196,0.56242948,-0.56242951
-5.88594297,1.52634889,-1.52634896,0.00085683,-0.00085683,0.25180644,-0.25180645,0.46082882,-0.46082885,0.87854349,-0.87854352,0.26157946,-0.26157947,0.06602219,-0.06602219,0.00560883,-0.00560883,0.54433509,-0.54433512
-5.87993997,1.48147920,-1.48147928,0.00080494,-0.00080494,0.24711767,-0.24711768,0.44550622,-0.44550625,0.85630005,-0.85630009,0.25140443,-0.25140444,0.06339329,-0.06339329,0.00540349,-0.00540349,0.52466049,-0.52466052
-5.87393697,1.43212166,-1.43212174,0.00077239,-0.00077239,0.24144695,-0.24144696,0.42901926,-0.42901929,0.83081453,-0.83081458,0.24069469,-0.24069471,0.06069416,-0.06069416,0.00519950,-0.00519950,0.50377658,-0.50377661
-5.86793397,1.37959680,-1.37959689,0.00075946,-0.00075946,0.23503521,-0.23503522,0.41174055,-0.41174058,0.80286666,-0.80286671,0.22966133,-0.22966135,0.05798083,-0.05798084,0.00500171,-0.00500171,0.48212737,-0.48212741
-5.86193097,1.32541662,-1.32541672,0.00076729,-0.00076729,0.22816139,-0.22816140,0.39410061,-0.39410064,0.77334518,-0.77334524,0.21854310,-0.21854311,0.05531619,-0.05531620,0.00481606,-0.00481606,0.46021818,-0.46021822
-5.85592796,1.27124776,-1.27124786,0.00079797,-0.00079797,0.22113596,-0.22113597,0.37657594,-0.37657597,0.74322682,-0.74322687,0.20759985,-0.20759987,0.05276869,-0.05276869,0.00464956,-0.00464956,0.43860281,-0.43860285
-5.84992496,1.21887210,-1.21887218,0.00085445,-0.00085445,0.21429371,-0.21429372,0.35967654,-0.35967657,0.71355334,-0.71355339,0.19710593,-0.19710595,0.05041093,-0.05041093,0.00451007,-0.00451007,0.41787030,-0.41787033
-5.84392196,1.17014556,-1.17014564,0.00094055,-0.00094055,0.20798594,-0.20798595,0.34393322,-0.34393325,0.68540732,-0.68540737,0.18734350,-0.18734352,0.04831827,-0.04831828,0.00440626,-0.00440627,0.39863142,-0.39863145
-5.83791896,1.12695608,-1.12695615,0.00106095,-0.00106094,0.20257220,-0.20257221,0.32988487,-0.32988489,0.65988712,-0.65988716,0.17859606,-0.17859607,0.04656733,-0.04656733,0.00434744,-0.00434744,0.38150529,-0.38150532
-5.83191596,1.09118119,-1.09118124,0.00122116,-0.00122115,0.19841174,-0.19841174,0.31806582,-0.31806584,0.63808151,-0.63808154,0.17114218,-0.17114219,0.04523451,-0.04523451,0.00434339,-0.00434339,0.36710604,-0.36710606
-5.82591296,1.06464591,-1.06464595,0.00142749,-0.00142749,0.19585480,-0.19585480,0.30899361,-0.30899362,0.62104447,-0.62104450,0.16524949,-0.16524950,0.04439447,-0.04439447,0.00440426,-0.00440426,0.35602995,-0.35602997
-5.81990995,1.04908132,-1.04908134,0.00168700,-0.00168700,0.19523387,-0.19523387,0.30315697,-0.30315697,0.60977042,-0.60977043,0.16116902,-0.16116903,0.04411863,-0.04411863,0.00454040,-0.00454040,0.34884287,-0.34884288
-5.81390695,1.04608397,-1.04608397,0.00200742,-0.00200742,0.19685499,-0.19685499,0.30100432,-0.30100432,0.60517009,-0.60517009,0.15912976,-0.15912976,0.04447361,-0.04447361,0.00476215,-0.00476215,0.34606811,-0.34606811
-5.80790395,1.05707658,-1.05707655,0.00239706,-0.00239706,0.20098924,-0.20098923,0.30293270,-0.30293269,0.60804750,-0.60804748,0.15933356,-0.15933356,0.04551968,-0.04551968,0.00507967,-0.00507967,0.34817467,-0.34817467
-5.80190095,1.08327008,-1.08327002,0.00286463,-0.00286463,0.20786445,-0.20786444,0.30927717,-0.30927715,0.61907800,-0.61907797,0.16195027,-0.16195026,0.04730920,-0.04730920,0.00550271,-0.00550271,0.35556597,-0.35556596
-5.79589795,1.12562749,-1.12562740,0.00341913,-0.00341913,0.21765741,-0.21765739,0.32030081,-0.32030079,0.63878788,-0.63878783,0.16711318,-0.16711318,0.04988504,-0.04988504,0.00604034,-0.00604034,0.36856890,-0.36856888
-5.78989495,1.18482995,-1.18482983,0.00406955,-0.00406955,0.23048655,-0.23048652,0.33618536,-0.33618532,0.66753562,-0.66753555,0.17491474,-0.17491473,0.05327899,-0.05327899,0.00670070,-0.00670070,0.38742340,-0.38742337
-5.78389195,1.26124558,-1.26124543,0.00482465,-0.00482465,0.24640543,-0.24640540,0.35702263,-0.35702259,0.70549541,-0.70549532,0.18540257,-0.18540255,0.05751030,-0.05751029,0.00749071,-0.00749071,0.41227267,-0.41227263
-5.77788894,1.35490196,-1.35490178,0.00569263,-0.00569263,0.26539717,-0.26539712,0.38280705,-0.38280700,0.75264319,-0.75264308,0.19857593,-0.19857591,0.06258416,-0.06258415,0.00841571,-0.00841571,0.44315412,-0.44315407
-5.77188594,1.46546326,-1.46546305,0.00668079,-0.00668079,0.28737005,-0.28737000,0.41342941,-0.41342935,0.80874586,-0.80874574,0.21438277,-0.21438274,0.06849044,-0.06849043,0.00947917,-0.00947917,0.47999150,-0.47999145
-5.76588294,1.59221316,-1.59221293,0.00779512,-0.00779512,0.31215469,-0.31215464,0.44867231,-0.44867225,0.87335433,-0.87335419,0.23271732,-0.23271729,0.07520254,-0.07520253,0.01068234,-0.01068234,0.52258842,-0.52258836
-5.75987994,1.73404492,-1.73404466,0.00903991,-0.00903991,0.33950286,-0.33950280,0.48820763,-0.48820756,0.94580090,-0.94580075,0.25341870,-0.25341868,0.08267653,-0.08267651,0.01202394,-0.01202393,0.57062370,-0.57062364
-5.75387694,1.88945985,-1.88945957,0.01041733,-0.01041733,0.36908836,-0.36908830,0.53159632,-0.53159624,1.02520183,-1.02520167,0.27627052,-0.27627048,0.09085059,-0.09085058,0.01349984,-0.01349984,0.62364913,-0.62364906
-5.74787394,2.05657553,-2.05657524,0.01192703,-0.01192703,0.40051016,-0.40051009,0.57829104,-0.57829096,1.11046557,-1.11046540,0.30100164,-0.30100161,0.09964491,-0.09964489,0.01510287,-0.01510286,0.68108992,-0.68108984
