energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.28839675,0.49817022,0.75136119,0.00604252,0.06207562,0.00117236,0.21778548,0.17308648,0.14515459
-5.99399700,1.34162460,0.51114292,0.79410860,0.00611775,0.06367802,0.00133646,0.22161931,0.17092667,0.14805921
-5.98799400,1.39522308,0.52363585,0.83839138,0.00618676,0.06505529,0.00151879,0.22515272,0.16813397,0.15052819
-5.98199100,1.44903678,0.53568969,0.88399347,0.00625169,0.06619903,0.00171962,0.22844102,0.16480118,0.15256123
-5.97598799,1.50289252,0.54734287,0.93066065,0.00631461,0.06710534,0.00193894,0.23154606,0.16103111,0.15416516
-5.96998499,1.55659430,0.55862823,0.97809878,0.00637739,0.06777480,0.00217643,0.23453452,0.15693399,0.15535349
-5.96398199,1.60992098,0.56957090,1.02597446,0.00644160,0.06821232,0.00243142,0.23747645,0.15262504,0.15614578
-5.95797899,1.66262711,0.58018735,1.07391861,0.00650836,0.06842691,0.00270284,0.24044418,0.14822215,0.15656711
-5.95197599,1.71444721,0.59048607,1.12153293,0.00657830,0.06843127,0.00298922,0.24351154,0.14384381,0.15664752
-5.94597299,1.76510353,0.60046955,1.16839920,0.00665148,0.06824143,0.00328869,0.24675354,0.13960734,0.15642153
-5.93996998,1.81431722,0.61013776,1.21409147,0.00672736,0.06787629,0.00359898,0.25024634,0.13562737,0.15592773
-5.93396698,1.86182249,0.61949284,1.25819043,0.00680479,0.06735708,0.00391747,0.25406759,0.13201478,0.15520854
-5.92796398,1.90738316,0.62854477,1.30029971,0.00688206,0.06670691,0.00424124,0.25829688,0.12887585,0.15430997
-5.92196098,1.95081080,0.63731779,1.34006322,0.00695696,0.06595033,0.00456715,0.26301650,0.12631182,0.15328154
-5.91595798,1.99198363,0.64585693,1.37718285,0.00702685,0.06511288,0.00489190,0.26831207,0.12441866,0.15217631
-5.90995498,2.03086488,0.65423459,1.41143561,0.00708880,0.06422073,0.00521216,0.27427316,0.12328704,0.15105091
-5.90395198,2.06751971,0.66255634,1.44268925,0.00713974,0.06330042,0.00552465,0.28099367,0.12300247,0.14996559
-5.89794897,2.10212940,0.67096572,1.47091558,0.00717659,0.06237856,0.00582628,0.28857187,0.12364547,0.14898424
-5.89194597,2.13500179,0.67964758,1.49620046,0.00719643,0.06148171,0.00611423,0.29711004,0.12529173,0.14817432
-5.88594297,2.16657704,0.68882952,1.51875001,0.00719665,0.06063620,0.00638607,0.30671362,0.12801212,0.14760660
-5.87993997,2.19742786,0.69878122,1.53889216,0.00717513,0.05986799,0.00663985,0.31748975,0.13187264,0.14735475
-5.87393697,2.22825375,0.70981132,1.55707342,0.00713031,0.05920257,0.00687416,0.32954528,0.13693395,0.14749461
-5.86793397,2.25986878,0.72226200,1.57385052,0.00706138,0.05866480,0.00708819,0.34298423,0.14325079,0.14810320
-5.86193097,2.29318315,0.73650094,1.58987702,0.00696827,0.05827872,0.00728175,0.35790460,0.15087090,0.14925740
-5.85592796,2.32917845,0.75291107,1.60588512,0.00685177,0.05806725,0.00745528,0.37439479,0.15983374,0.15103229
-5.84992496,2.36887746,0.77187815,1.62266319,0.00671347,0.05805189,0.00760981,0.39252961,0.17016873,0.15349920
-5.84392196,2.41330911,0.79377664,1.64102956,0.00655579,0.05825227,0.00774689,0.41236595,0.18189329,0.15672345
-5.83791896,2.46346971,0.81895424,1.66180355,0.00638184,0.05868563,0.00786853,0.43393828,0.19501053,0.16076188
-5.83191596,2.52028163,0.84771559,1.68577456,0.00619539,0.05936625,0.00797707,0.45725420,0.20950675,0.16566024
-5.82591296,2.58455089,0.88030579,1.71367030,0.00600067,0.06030480,0.00807509,0.48229000,0.22534890,0.17145054
-5.81990995,2.65692514,0.91689422,1.74612540,0.00580226,0.06150767,0.00816523,0.50898661,0.24248200,0.17814839
-5.81390695,2.73785365,0.95755946,1.78365126,0.00560489,0.06297628,0.00825008,0.53724592,0.26082672,0.18575059
-5.80790395,2.82755075,1.00227587,1.82660865,0.00541325,0.06470647,0.00833206,0.56692777,0.28027730,0.19423298
-5.80190095,2.92596457,1.05090241,1.87518376,0.00523184,0.06668796,0.00841321,0.59784774,0.30069983,0.20354871
-5.79589795,3.03275226,1.10317437,1.92936901,0.00506477,0.06890391,0.00849518,0.62977590,0.32193125,0.21362708
-5.78989495,3.14726328,1.15869857,1.98894933,0.00491559,0.07133064,0.00857904,0.66243665,0.34377903,0.22437298
