energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.42222257,0.00667682,0.00502800,0.23425785,0.05912461,0.21349659,0.06173119,0.00093950,0.31422995
-5.99399700,0.42941308,0.00582685,0.00564711,0.23388902,0.06147583,0.21831180,0.06242252,0.00094990,0.32021073
-5.98799400,0.43723789,0.00509184,0.00635013,0.23312683,0.06387312,0.22295409,0.06328214,0.00098887,0.32646100
-5.98199100,0.44576212,0.00446946,0.00714528,0.23196367,0.06633598,0.22742835,0.06431943,0.00105910,0.33301954
-5.97598799,0.45509971,0.00395654,0.00804115,0.23042819,0.06889190,0.23175887,0.06555183,0.00116351,0.33996043
-5.96998499,0.46540643,0.00354937,0.00904651,0.22858302,0.07157502,0.23598570,0.06700395,0.00130522,0.34738777
-5.96398199,0.47687101,0.00324385,0.01017003,0.22652120,0.07442447,0.24016039,0.06870618,0.00148748,0.35542897
-5.95797899,0.48970453,0.00303570,0.01142001,0.22436136,0.07748251,0.24434126,0.07069313,0.00171363,0.36422688
-5.95197599,0.50412848,0.00292051,0.01280413,0.22224197,0.08079255,0.24858822,0.07300166,0.00198697,0.37393109
-5.94597299,0.52036181,0.00289390,0.01432912,0.22031465,0.08439699,0.25295768,0.07566885,0.00231068,0.38468855
-5.93996998,0.53860763,0.00295148,0.01600047,0.21873703,0.08833511,0.25749756,0.07872968,0.00268766,0.39663416
-5.93396698,0.55903995,0.00308887,0.01782210,0.21766530,0.09264095,0.26224285,0.08221479,0.00312037,0.40988148
-5.92796398,0.58179110,0.00330166,0.01979607,0.21724683,0.09734137,0.26721179,0.08614816,0.00361066,0.42451417
-5.92196098,0.60694039,0.00358528,0.02192231,0.21761313,0.10245420,0.27240306,0.09054505,0.00415957,0.44057848
-5.91595798,0.63450461,0.00393498,0.02419829,0.21887352,0.10798681,0.27779404,0.09541005,0.00476717,0.45807712
-5.90995498,0.66443071,0.00434565,0.02661883,0.22110971,0.11393487,0.28334023,0.10073556,0.00543237,0.47696499
-5.90395198,0.69659115,0.00481177,0.02917589,0.22437157,0.12028160,0.28897596,0.10650058,0.00615276,0.49714680
-5.89794897,0.73078231,0.00532729,0.03185842,0.22867435,0.12699738,0.29461632,0.11267003,0.00692446,0.51847694
-5.89194597,0.76672594,0.00588557,0.03465227,0.23399731,0.13403987,0.30016020,0.11919454,0.00774207,0.54076156
-5.88594297,0.80407395,0.00647937,0.03754023,0.24028402,0.14135458,0.30549436,0.12601093,0.00859858,0.56376294
