energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,3.64423958,0.01076831,0.55900548,0.20275761,2.30081569,1.00073757,0.06801587,1.60362376
-5.99399700,3.67104396,0.01095338,0.57446438,0.19869307,2.31853685,1.02494053,0.06820308,1.59805353
-5.98799400,3.68611102,0.01109760,0.58932573,0.19396335,2.32663809,1.04830680,0.06808082,1.58567204
-5.98199100,3.68960511,0.01119708,0.60358168,0.18860938,2.32512221,1.07088607,0.06764502,1.56662040
-5.97598799,3.68184841,0.01124868,0.61721810,0.18268559,2.31416054,1.09271383,0.06689607,1.54114990
-5.96998499,3.66331053,0.01125016,0.63021114,0.17625834,2.29408598,1.11380491,0.06583900,1.50961937
-5.96398199,3.63459516,0.01120031,0.64252423,0.16940429,2.26538157,1.13414802,0.06448359,1.47249014
-5.95797899,3.59642438,0.01109911,0.65410566,0.16220867,2.22866488,1.15370166,0.06284437,1.43031875
-5.95197599,3.54962088,0.01094783,0.66488692,0.15476344,2.18466899,1.17239158,0.06094047,1.38374730
-5.94597299,3.49508866,0.01074909,0.67478205,0.14716556,2.13422074,1.19010999,0.05879530,1.33349163
-5.93996998,3.43379277,0.01050686,0.68368797,0.13951513,2.07821723,1.20671659,0.05643613,1.28032765
-5.93396698,3.36673855,0.01022642,0.69148595,0.13191362,2.01760137,1.22204146,0.05389357,1.22507592
-5.92796398,3.29495114,0.00991431,0.69804411,0.12446208,1.95333753,1.23588961,0.05120090,1.16858494
-5.92196098,3.21945552,0.00957814,0.70322101,0.11725943,1.88638817,1.24804707,0.04839333,1.11171366
-5.91595798,3.14125779,0.00922649,0.70687007,0.11040070,1.81769213,1.25828828,0.04550720,1.05531349
-5.90995498,3.06132793,0.00886864,0.70884472,0.10397540,1.74814531,1.26638432,0.04257917,1.00021042
-5.90395198,2.98058448,0.00851432,0.70900409,0.09806592,1.67858426,1.27211174,0.03964539,0.94718764
-5.89794897,2.89988118,0.00817351,0.70721882,0.09274599,1.60977284,1.27526142,0.03674073,0.89696925
-5.89194597,2.81999576,0.00785611,0.70337695,0.08807928,1.54239219,1.27564717,0.03389802,0.85020528
-5.88594297,2.74162096,0.00757166,0.69738937,0.08411807,1.47703395,1.27311345,0.03114747,0.80745868
-5.87993997,2.66535758,0.00732909,0.68919471,0.08090215,1.41419637,1.26754214,0.02851611,0.76919429
-5.87393697,2.59170958,0.00713645,0.67876341,0.07845788,1.35428329,1.25885776,0.02602739,0.73577033
-5.86793397,2.52108108,0.00700066,0.66610065,0.07679748,1.29760528,1.24703112,0.02370096,0.70743245
-5.86193097,2.45377514,0.00692733,0.65124823,0.07591859,1.24438269,1.23208118,0.02155251,0.68431046
-5.85592796,2.38999421,0.00692054,0.63428508,0.07580420,1.19475021,1.21407508,0.01959378,0.66641791
-5.84992496,2.32984222,0.00698275,0.61532652,0.07642286,1.14876236,1.19312653,0.01783274,0.65365443
-5.84392196,2.27332832,0.00711468,0.59452225,0.07772925,1.10639979,1.16939259,0.01627380,0.64581082
-5.83791896,2.22037213,0.00731527,0.57205326,0.07966521,1.06757601,1.14306910,0.01491817,0.64257670
-5.83191596,2.17081068,0.00758168,0.54812772,0.08216104,1.03214431,1.11438519,0.01376427,0.64355059
-5.82591296,2.12440697,0.00790933,0.52297607,0.08513726,0.99990499,1.08359699,0.01280824,0.64825218
-5.81990995,2.08086009,0.00829202,0.49684565,0.08850664,0.97061268,1.05098106,0.01204435,0.65613642
-5.81390695,2.03981699,0.00872202,0.46999485,0.09217652,0.94398382,1.01682780,0.01146557,0.66660913
-5.80790395,2.00088551,0.00919031,0.44268733,0.09605138,0.91970448,0.98143514,0.01106401,0.67904368
-5.80190095,1.96364866,0.00968677,0.41518633,0.10003546,0.89743841,0.94510273,0.01083133,0.69279825
-5.79589795,1.92767974,0.01020046,0.38774923,0.10403548,0.87683548,0.90812688,0.01075912,0.70723324
-5.78989495,1.89255776,0.01071985,0.36062282,0.10796329,0.85754052,0.87079636,0.01083921,0.72172819
-5.78389195,1.85788288,0.01123319,0.33403903,0.11173825,0.83920249,0.83338903,0.01106380,0.73569778
-5.77788894,1.82329114,0.01172877,0.30821156,0.11528949,0.82148388,0.79616942,0.01142566,0.74860635
-5.77188594,1.78846796,0.01219525,0.28333322,0.11855764,0.80407022,0.75938706,0.01191808,0.75998051
-5.76588294,1.75315988,0.01262198,0.25957412,0.12149621,0.78667938,0.72327558,0.01253482,0.76941931
-5.75987994,1.71718397,0.01299926,0.23708074,0.12407243,0.76907056,0.68805231,0.01326999,0.77660184
-5.75387694,1.68043463,0.01331860,0.21597566,0.12626754,0.75105244,0.65391844,0.01411781,0.78129191
-5.74787394,1.64288733,0.01357294,0.19635803,0.12807661,0.73249043,0.62105932,0.01507236,0.78333977
-5.74187094,1.60459934,0.01375683,0.17830467,0.12950776,0.71331251,0.58964505,0.01612735,0.78268091
-5.73586793,1.56570733,0.01386653,0.16187160,0.13058094,0.69351340,0.55983109,0.01727578,0.77933213
-5.72986493,1.52642216,0.01390007,0.14709598,0.13132640,0.67315698,0.53175883,0.01850975,0.77338515
-5.72386193,1.48702113,0.01385729,0.13399830,0.13178277,0.65237655,0.50555613,0.01982025,0.76499821
-5.71785893,1.44783811,0.01373977,0.12258471,0.13199505,0.63137302,0.48133776,0.02119701,0.75438603
-5.71185593,1.40925220,0.01355072,0.11284937,0.13201244,0.61041088,0.45920569,0.02262844,0.74180886
-5.70585293,1.37167536,0.01329485,0.10477668,0.13188629,0.58981197,0.43924936,0.02410174,0.72756089
-5.69984992,1.33553973,0.01297818,0.09834333,0.13166817,0.56994732,0.42154577,0.02560298,0.71195883
-5.69384692,1.30128492,0.01260781,0.09352007,0.13140816,0.55122707,0.40615952,0.02711737,0.69533100
-5.68784392,1.26934597,0.01219171,0.09027312,0.13115337,0.53408879,0.39314274,0.02862958,0.67800725
-5.68184092,1.24014211,0.01173843,0.08856515,0.13094688,0.51898455,0.38253489,0.03012416,0.66031024
-5.67583792,1.21406660,0.01125687,0.08835580,0.13082691,0.50636699,0.37436236,0.03158597,0.64254801
-5.66983492,1.19147760,0.01075603,0.08960178,0.13082633,0.49667473,0.36863797,0.03300063,0.62500818
-5.66383192,1.17269023,0.01024478,0.09225639,0.13097238,0.49031770,0.36536005,0.03435500,0.60795345
