energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,3.64214805,0.01571197,0.52310115,0.75928783,0.57466426,1.01825271,1.28360089,0.02798200,1.60124788
-5.99399700,3.69339552,0.01678992,0.52264602,0.78854065,0.58371033,1.04429668,1.28741325,0.02767440,1.63749374
-5.98799400,3.73051702,0.01786272,0.51956175,0.81568702,0.59097389,1.06669752,1.28506840,0.02724185,1.66846466
-5.98199100,3.75325728,0.01891940,0.51392136,0.84041218,0.59643266,1.08523455,1.27666935,0.02669289,1.69384867
-5.97598799,3.76164927,0.01994886,0.50584976,0.86244535,0.60009890,1.09976485,1.26244252,0.02603762,1.71344283
-5.96998499,3.75601085,0.02094014,0.49552091,0.88156582,0.60201818,1.11022675,1.24273241,0.02528740,1.72715627
-5.96398199,3.73693392,0.02188256,0.48315368,0.89760790,0.60226721,1.11664118,1.21799278,0.02445457,1.73501052
-5.95797899,3.70526655,0.02276595,0.46900636,0.91046448,0.60095111,1.11911087,1.18877474,0.02355215,1.73713722
-5.95197599,3.66208870,0.02358081,0.45337011,0.92008927,0.59820001,1.11781744,1.15571209,0.02259358,1.73377331
-5.94597299,3.60868240,0.02431849,0.43656160,0.92649735,0.59416514,1.11301646,1.11950455,0.02159243,1.72525378
-5.93996998,3.54649725,0.02497127,0.41891501,0.92976419,0.58901456,1.10503060,1.08089938,0.02056217,1.71200210
-5.93396698,3.47711233,0.02553252,0.40077385,0.93002297,0.58292847,1.09424122,1.04067217,0.01951598,1.69451866
-5.92796398,3.40219544,0.02599672,0.38248263,0.92746025,0.57609446,1.08107839,0.99960726,0.01846656,1.67336727
-5.92196098,3.32346072,0.02635957,0.36437890,0.92231000,0.56870249,1.06600994,0.95847856,0.01742594,1.64916009
-5.91595798,3.24262588,0.02661795,0.34678566,0.91484625,0.56093994,1.04952950,0.91803120,0.01640537,1.62254118
-5.90995498,3.16136985,0.02676995,0.33000452,0.90537433,0.55298676,1.03214416,0.87896462,0.01541517,1.59416922
-5.90395198,3.08129199,0.02681484,0.31430970,0.89422114,0.54501078,1.01436184,0.84191744,0.01446466,1.56469952
-5.89794897,3.00387376,0.02675306,0.29994293,0.88172460,0.53716333,0.99667884,0.80745441,0.01356206,1.53476606
-5.89194597,2.93044389,0.02658614,0.28710951,0.86822275,0.52957537,0.97956779,0.77605583,0.01271441,1.50496381
-5.88594297,2.86214771,0.02631667,0.27597530,0.85404282,0.52235406,0.96346643,0.74810939,0.01192753,1.47583213
-5.87993997,2.79992159,0.02594820,0.26666484,0.83949069,0.51558004,0.94876736,0.72390470,0.01120597,1.44783953
-5.87393697,2.74447322,0.02548525,0.25926053,0.82484121,0.50930543,0.93580917,0.70363031,0.01055300,1.42137060
-5.86793397,2.69626804,0.02493316,0.25380268,0.81032980,0.50355267,0.92486904,0.68737335,0.00997056,1.39671547
-5.86193097,2.65552266,0.02429804,0.25029057,0.79614566,0.49831432,0.91615714,0.67512162,0.00945934,1.37406239
-5.85592796,2.62220524,0.02358673,0.24868413,0.78242692,0.49355370,0.90981288,0.66676787,0.00901875,1.35349372
-5.84992496,2.59604308,0.02280663,0.24890653,0.76925802,0.48920659,0.90590314,0.66211626,0.00864699,1.33498569
-5.84392196,2.57653721,0.02196571,0.25084718,0.75666937,0.48518381,0.90442256,0.66089062,0.00834114,1.31841196
-5.83791896,2.56298369,0.02107230,0.25436538,0.74463945,0.48137473,0.90529571,0.66274436,0.00809723,1.30355104
-5.83191596,2.55450101,0.02013507,0.25929428,0.73309905,0.47765147,0.90838135,0.66727174,0.00791036,1.29009724
-5.82591296,2.55006260,0.01916286,0.26544528,0.72193773,0.47387388,0.91347824,0.67402014,0.00777484,1.27767486
-5.81990995,2.54853363,0.01816455,0.27261259,0.71101186,0.46989491,0.92033265,0.68250309,0.00768433,1.26585498
-5.81390695,2.54871052,0.01714900,0.28057796,0.70015410,0.46556624,0.92864702,0.69221365,0.00763203,1.25417424
-5.80790395,2.54936201,0.01612483,0.28911556,0.68918366,0.46074410,0.93808959,0.70263786,0.00761079,1.24215465
-5.80190095,2.54927010,0.01510038,0.29799676,0.67791694,0.45529480,0.94830461,0.71326783,0.00761337,1.22932382
-5.79589795,2.54726938,0.01408354,0.30699482,0.66617784,0.44909992,0.95892275,0.72361415,0.00763255,1.21523435
-5.78989495,2.54228334,0.01308168,0.31588945,0.65380742,0.44206093,0.96957127,0.73321729,0.00766138,1.19948185
-5.78389195,2.53335612,0.01210151,0.32447099,0.64067227,0.43410297,0.97988370,0.74165774,0.00769326,1.18172063
-5.77788894,2.51967890,0.01114908,0.33254429,0.62667130,0.42517770,0.98950867,0.74856447,0.00772217,1.16167638
-5.77188594,2.50060972,0.01022966,0.33993204,0.61174058,0.41526514,0.99811753,0.75362166,0.00774279,1.13915550
-5.76588294,2.47568643,0.00934771,0.34647762,0.59585617,0.40437436,1.00541076,0.75657357,0.00775060,1.11405058
-5.75987994,2.44463253,0.00850692,0.35204739,0.57903472,0.39254309,1.01112290,0.75722736,0.00774202,1.08634214
-5.75387694,2.40735607,0.00771016,0.35653232,0.56133212,0.37983629,1.01502603,0.75545402,0.00771445,1.05609655
-5.74787394,2.36394213,0.00695953,0.35984899,0.54284028,0.36634380,1.01693194,0.75118750,0.00766637,1.02346058
-5.74187094,2.31463978,0.00625640,0.36194003,0.52368236,0.35217718,1.01669306,0.74442217,0.00759735,0.98865307
-5.73586793,2.25984452,0.00560146,0.36277394,0.50400689,0.33746605,1.01420238,0.73520889,0.00750806,0.95195423
-5.72986493,2.20007758,0.00499477,0.36234450,0.48398110,0.32235396,1.00939268,0.72365001,0.00740028,0.91369336
-5.72386193,2.13596331,0.00443588,0.36066967,0.46378404,0.30699420,1.00223529,0.70989362,0.00727685,0.87423576
-5.71785893,2.06820610,0.00392386,0.35779028,0.44359984,0.29154565,0.99273874,0.69412732,0.00714166,0.83396954
-5.71185593,1.99756805,0.00345739,0.35376840,0.42361158,0.27616893,0.98094747,0.67657194,0.00699959,0.79329298
-5.70585293,1.92484851,0.00303488,0.34868573,0.40399597,0.26102296,0.96694089,0.65747544,0.00685640,0.75260320
-5.69984992,1.85086628,0.00265447,0.34264184,0.38491927,0.24626215,0.95083295,0.63710715,0.00671872,0.71228636
-5.69384692,1.77644512,0.00231417,0.33575251,0.36653443,0.23203413,0.93277220,0.61575274,0.00659391,0.67270996
-5.68784392,1.70240276,0.00201191,0.32814819,0.34897961,0.21847829,0.91294234,0.59370970,0.00648997,0.63421715
-5.68184092,1.62954341,0.00174558,0.31997250,0.33237796,0.20572483,0.89156324,0.57128369,0.00641543,0.59712327
-5.67583792,1.55865338,0.00151310,0.31138086,0.31683848,0.19389442,0.86889202,0.54878539,0.00637920,0.56171432
-5.66983492,1.49049920,0.00131247,0.30253919,0.30245778,0.18309838,0.84522419,0.52652800,0.00639044,0.52824713
-5.66383192,1.42582748,0.00114180,0.29362252,0.28932252,0.17343906,0.82089427,0.50482500,0.00645840,0.49695080
-5.65782891,1.36536562,0.00099935,0.28481361,0.27751198,0.16501043,0.79627570,0.48398808,0.00659217,0.46802912
-5.65182591,1.30982232,0.00088354,0.27630131,0.26710068,0.15789860,0.77177967,0.46432507,0.00680055,0.44166328
-5.64582291,1.25988697,0.00079299,0.26827866,0.25816056,0.15218218,0.74785252,0.44613742,0.00709171,0.41801461
-5.63981991,1.21622711,0.00072650,0.26094059,0.25076256,0.14793233,0.72497137,0.42971738,0.00747301,0.39722683
-5.63381691,1.17948336,0.00068307,0.25448124,0.24497722,0.14521228,0.70363799,0.41534439,0.00795070,0.37942749
-5.62781391,1.15026117,0.00066187,0.24909073,0.24087432,0.14407644,0.68437059,0.40328090,0.00852957,0.36472830
-5.62181091,1.12911949,0.00066226,0.24495151,0.23852137,0.14456891,0.66769360,0.39376732,0.00921274,0.35322433
-5.61580790,1.11655621,0.00068371,0.24223416,0.23798098,0.14672149,0.65412562,0.38701641,0.01000130,0.34499182
-5.60980490,1.11299094,0.00072580,0.24109286,0.23930724,0.15055122,0.64416575,0.38320707,0.01089409,0.34008497
-5.60380190,1.11874570,0.00078819,0.24166062,0.24254127,0.15605766,0.63827852,0.38247785,0.01188742,0.33853157
-5.59779890,1.13402446,0.00087052,0.24404429,0.24770619,0.16321992,0.63687814,0.38492039,0.01297494,0.34032802
