energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,3.45048727,0.02302144,0.43840165,0.91563889,0.55748579,1.00109260,1.06886389,0.01597282,1.63984875
-5.99399700,3.44208896,0.02330984,0.44326343,0.91080226,0.55629838,1.00462392,1.07430347,0.01493493,1.62947227
-5.98799400,3.42969532,0.02348855,0.44684087,0.90532922,0.55456440,1.00569345,1.07757809,0.01396131,1.61809744
-5.98199100,3.41335871,0.02355597,0.44900674,0.89939396,0.55230295,1.00433161,1.07851841,0.01305638,1.60592624
-5.97598799,3.39314592,0.02351197,0.44966238,0.89314857,0.54953248,1.00059854,1.07699473,0.01222281,1.59312974
-5.96998499,3.36913389,0.02335781,0.44874024,0.88671627,0.54627046,0.99458101,1.07291992,0.01146167,1.57984096
-5.96398199,3.34140506,0.02309614,0.44620562,0.88018563,0.54253295,0.98638900,1.06625109,0.01077261,1.56614896
-5.95797899,3.31004292,0.02273090,0.44205760,0.87360643,0.53833412,0.97615211,1.05699000,0.01015408,1.55209444
-5.95197599,3.27512843,0.02226722,0.43632905,0.86698722,0.53368576,0.96401617,1.04518225,0.00960350,1.53766758
-5.94597299,3.23673768,0.02171135,0.42908588,0.86029500,0.52859684,0.95014019,1.03091538,0.00911743,1.52280813
-5.93996998,3.19494155,0.02107052,0.42042534,0.85345703,0.52307330,0.93469382,1.01431615,0.00869180,1.50740831
-5.93396698,3.14980735,0.02035281,0.41047381,0.84636484,0.51711808,0.91785548,0.99554694,0.00832203,1.49131828
-5.92796398,3.10140292,0.01956701,0.39938374,0.83888024,0.51073141,0.89981123,0.97480183,0.00800317,1.47435429
-5.92196098,3.04980288,0.01872249,0.38733019,0.83084313,0.50391149,0.88075424,0.95230219,0.00773010,1.45630913
-5.91595798,2.99509691,0.01782903,0.37450695,0.82208074,0.49665543,0.86088485,0.92829222,0.00749762,1.43696443
-5.90995498,2.93739949,0.01689667,0.36112230,0.81241774,0.48896061,0.84041108,0.90303443,0.00730057,1.41610429
-5.90395198,2.87686045,0.01593556,0.34739463,0.80168691,0.48082614,0.81954926,0.87680531,0.00713396,1.39352950
-5.89794897,2.81367555,0.01495577,0.33354794,0.78973958,0.47225460,0.79852458,0.84989109,0.00699302,1.36907158
-5.89194597,2.74809617,0.01396715,0.31980735,0.77645539,0.46325377,0.77757139,0.82258369,0.00687337,1.34260585
-5.88594297,2.68043720,0.01297918,0.30639468,0.76175085,0.45383831,0.75693275,0.79517688,0.00677100,1.31406282
-5.87993997,2.61108224,0.01200081,0.29352420,0.74558620,0.44403124,0.73685925,0.76796255,0.00668238,1.28343715
-5.87393697,2.54048545,0.01104036,0.28139846,0.72797018,0.43386509,0.71760669,0.74122700,0.00660452,1.25079367
-5.86793397,2.46916938,0.01010538,0.27020449,0.70896253,0.42338267,0.69943264,0.71524726,0.00653495,1.21626998
-5.86193097,2.39771855,0.00920255,0.26011018,0.68867396,0.41263731,0.68259175,0.69028735,0.00647178,1.18007560
-5.85592796,2.32676864,0.00833767,0.25126098,0.66726377,0.40169251,0.66732997,0.66659438,0.00641367,1.14248736
-5.84992496,2.25699161,0.00751554,0.24377701,0.64493508,0.39062103,0.65387762,0.64439461,0.00635981,1.10384152
-5.84392196,2.18907719,0.00674000,0.23775046,0.62192809,0.37950347,0.64244185,0.62388944,0.00630989,1.06452279
-5.83791896,2.12371167,0.00601392,0.23324361,0.59851166,0.36842628,0.63319857,0.60525142,0.00626401,1.02495098
-5.83191596,2.06155493,0.00533921,0.23028723,0.57497366,0.35747939,0.62628442,0.58862046,0.00622270,0.98556576
-5.82591296,2.00321694,0.00471692,0.22887967,0.55161075,0.34675355,0.62178919,0.57410039,0.00618673,0.94681061
-5.81990995,1.94923515,0.00414726,0.22898665,0.52871794,0.33633757,0.61974915,0.56175609,0.00615716,0.90911657
-5.81390695,1.90005400,0.00362976,0.23054177,0.50657856,0.32631558,0.62014195,0.55161139,0.00613517,0.87288675
-5.80790395,1.85600789,0.00316329,0.23344787,0.48545518,0.31676448,0.62288334,0.54364799,0.00612205,0.83848239
-5.80190095,1.81730885,0.00274622,0.23757929,0.46558181,0.30775176,0.62782626,0.53780564,0.00611915,0.80621118
-5.79589795,1.78403952,0.00237654,0.24278501,0.44715779,0.29933386,0.63476259,0.53398358,0.00612784,0.77631842
-5.78989495,1.75615245,0.00205193,0.24889273,0.43034358,0.29155510,0.64342763,0.53204353,0.00614949,0.74898132
-5.78389195,1.73347560,0.00176988,0.25571378,0.41525850,0.28444729,0.65350756,0.53181412,0.00618549,0.72430685
-5.77788894,1.71572420,0.00152781,0.26304875,0.40198051,0.27803011,0.66464951,0.53309673,0.00623731,0.70233293
-5.77188594,1.70251826,0.00132312,0.27069383,0.39054786,0.27231208,0.67647412,0.53567258,0.00630651,0.68303295
-5.76588294,1.69340505,0.00115328,0.27844746,0.38096228,0.26729224,0.68859017,0.53931081,0.00639484,0.66632314
-5.75987994,1.68788521,0.00101590,0.28611727,0.37319360,0.26296224,0.70061059,0.54377722,0.00650430,0.65207224
-5.75387694,1.68544109,0.00090874,0.29352689,0.36718518,0.25930882,0.71216917,0.54884333,0.00663724,0.64011302
-5.74787394,1.68556583,0.00082977,0.30052245,0.36285993,0.25631643,0.72293736,0.55429519,0.00679643,0.63025460
-5.74187094,1.68779133,0.00077714,0.30697844,0.36012641,0.25396977,0.73264009,0.55994166,0.00698513,0.62229505
-5.73586793,1.69171360,0.00074923,0.31280263,0.35888461,0.25225617,0.74107009,0.56562155,0.00720708,0.61603346
-5.72986493,1.69701394,0.00074460,0.31793986,0.35903107,0.25116744,0.74809960,0.57120938,0.00746657,0.61128066
-5.72386193,1.70347462,0.00076195,0.32237436,0.36046307,0.25070120,0.75368922,0.57661930,0.00776834,0.60786817
-5.71785893,1.71098827,0.00080013,0.32613065,0.36308168,0.25086146,0.75789292,0.58180696,0.00811753,0.60565481
-5.71185593,1.71956015,0.00085804,0.32927267,0.36679356,0.25165838,0.76085924,0.58676929,0.00851952,0.60453064
