energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.10968283,0.00252222,0.17703916,0.61979675,0.31027703,0.01131836,0.37842855,0.36705642,0.04731735
-5.99399700,1.00635608,0.00222996,0.15828969,0.55775736,0.27858702,0.01005418,0.34541007,0.33829840,0.04268373
-5.98799400,0.91115677,0.00197574,0.14084036,0.49966883,0.24969944,0.00892730,0.31514077,0.31149295,0.03849970
-5.98199100,0.82484789,0.00176003,0.12474770,0.44591192,0.22375338,0.00793428,0.28796102,0.28699825,0.03479224
-5.97598799,0.74807219,0.00158284,0.11004667,0.39677432,0.20085557,0.00707161,0.26416889,0.26514109,0.03158309
-5.96998499,0.68135582,0.00144387,0.09675224,0.35245518,0.18108331,0.00633566,0.24402043,0.24621486,0.02888912
-5.96398199,0.62511393,0.00134254,0.08486137,0.31307185,0.16448774,0.00572268,0.22773040,0.23047810,0.02672275
-5.95797899,0.57965752,0.00127804,0.07435548,0.27866791,0.15109727,0.00522877,0.21547353,0.21815344,0.02509240
-5.95197599,0.54520048,0.00124944,0.06520295,0.24922232,0.14092083,0.00484982,0.20738563,0.20942660,0.02400279
-5.94597299,0.52186607,0.00125564,0.05736179,0.22465874,0.13395059,0.00458156,0.20356446,0.20444544,0.02345524
-5.93996998,0.50969201,0.00129546,0.05078213,0.20485489,0.13016413,0.00441945,0.20407012,0.20331865,0.02344781
-5.93396698,0.50863387,0.00136759,0.04540868,0.18965130,0.12952565,0.00435872,0.20892467,0.20611420,0.02397527
-5.92796398,0.51856635,0.00147060,0.04118276,0.17885936,0.13198637,0.00439428,0.21811105,0.21285730,0.02502902
-5.92196098,0.53928233,0.00160293,0.03804414,0.17226827,0.13748397,0.00452071,0.23157123,0.22352802,0.02659681
-5.91595798,0.57049016,0.00176281,0.03593248,0.16965100,0.14594113,0.00473221,0.24920387,0.23805859,0.02866246
-5.90995498,0.61180925,0.00194830,0.03478839,0.17076912,0.15726348,0.00502257,0.27086151,0.25633058,0.03120538
-5.90395198,0.66276490,0.00215721,0.03455418,0.17537664,0.17133681,0.00538511,0.29634771,0.27817222,0.03420021
-5.89794897,0.72278292,0.00238709,0.03517420,0.18322297,0.18802416,0.00581273,0.32541462,0.30335607,0.03761639
-5.89194597,0.79118500,0.00263522,0.03659500,0.19405516,0.20716286,0.00629785,0.35776103,0.33159755,0.04141784
-5.88594297,0.86718577,0.00289861,0.03876518,0.20761975,0.22856178,0.00683246,0.39303165,0.36255439,0.04556279
-5.87993997,0.94989228,0.00317403,0.04163505,0.22366414,0.25199924,0.00740819,0.43081783,0.39582766,0.05000372
-5.87393697,1.03830687,0.00345805,0.04515621,0.24193799,0.27722180,0.00801637,0.47065995,0.43096438,0.05468757
-5.86793397,1.13133377,0.00374709,0.04928103,0.26219443,0.30394411,0.00864816,0.51205185,0.46746208,0.05955616
-5.86193097,1.22779001,0.00403752,0.05396212,0.28419144,0.33185007,0.00929468,0.55444735,0.50477543,0.06454685
-5.85592796,1.32642066,0.00432572,0.05915182,0.30769322,0.36059543,0.00994717,0.59726883,0.54232487,0.06959346
-5.84992496,1.42591817,0.00460827,0.06480175,0.33247165,0.38981182,0.01059715,0.63991768,0.57950726,0.07462742
-5.84392196,1.52494543,0.00488199,0.07086239,0.35830754,0.41911221,0.01123664,0.68178643,0.61570813,0.07957909
-5.83791896,1.62216168,0.00514413,0.07728280,0.38499186,0.44809758,0.01185829,0.72227209,0.65031540,0.08437928
-5.83191596,1.71625035,0.00539247,0.08401041,0.41232641,0.47636470,0.01245557,0.76079014,0.68273393,0.08896076
-5.82591296,1.80594765,0.00562542,0.09099084,0.44012413,0.50351460,0.01302288,0.79678866,0.71240041,0.09325990
-5.81990995,1.89007049,0.00584217,0.09816784,0.46820865,0.52916144,0.01355566,0.82976194,0.73879800,0.09721816
-5.81390695,1.96754266,0.00604270,0.10548325,0.49641311,0.55294145,0.01405046,0.85926282,0.76147004,0.10078350
