energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,1.42155280,0.00423334,0.24513952,0.18813816,0.16166700,0.63928816,0.52713474,0.00654274,0.51285981
-5.99399700,1.42173494,0.00451352,0.24490367,0.19184766,0.16265603,0.65528567,0.52257150,0.00679962,0.51371294
-5.98799400,1.43254913,0.00486583,0.24626196,0.19750916,0.16499400,0.67540748,0.52209933,0.00709496,0.51856919
-5.98199100,1.45437448,0.00529823,0.24910496,0.20530758,0.16881049,0.69974749,0.52559557,0.00743385,0.52780556
-5.97598799,1.48742896,0.00581809,0.25331157,0.21539836,0.17420745,0.72835107,0.53289165,0.00782151,0.54172073
-5.96998499,1.53176797,0.00643187,0.25875415,0.22790292,0.18125590,0.76121531,0.54378048,0.00826324,0.56052726
-5.96398199,1.58728518,0.00714490,0.26530322,0.24290496,0.18999345,0.79828920,0.55802352,0.00876443,0.58434600
-5.95797899,1.65371549,0.00796110,0.27283126,0.26044748,0.20042256,0.83947368,0.57535731,0.00933052,0.61320276
-5.95197599,1.73063977,0.00888275,0.28121579,0.28053071,0.21250976,0.88462133,0.59549924,0.00996691,0.64702726
-5.94597299,1.81749114,0.00991028,0.29034135,0.30311085,0.22618563,0.93353558,0.61815248,0.01067892,0.68565427
-5.93996998,1.91356264,0.01104201,0.30010058,0.32809969,0.24134575,0.98596956,0.64300988,0.01147161,0.72882691
-5.93396698,2.01801595,0.01227402,0.31039432,0.35536512,0.25785250,1.04162457,0.66975704,0.01234961,0.77620187
-5.92796398,2.12989127,0.01359997,0.32113073,0.38473238,0.27553767,1.10014840,0.69807438,0.01331694,0.82735633
-5.92196098,2.24811793,0.01501108,0.33222376,0.41598610,0.29420580,1.16113385,0.72763855,0.01437672,0.88179633
-5.91595798,2.37152613,0.01649606,0.34359097,0.44887308,0.31363825,1.22411766,0.75812314,0.01553092,0.93896636
-5.90995498,2.49885933,0.01804116,0.35515104,0.48310564,0.33359772,1.28858041,0.78919906,0.01678004,0.99825984
