energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.76035530,0.02052315,0.30615698,1.83437475,0.97522872,0.01311138,1.03920119,0.48558194,0.31927217
-5.99399700,2.83226260,0.02208656,0.31019611,1.84808440,0.98927218,0.01430766,1.07962947,0.50501387,0.33497058
-5.98799400,2.90063340,0.02366854,0.31427816,1.85993608,1.00170317,0.01556599,1.11880914,0.52415726,0.35010534
-5.98199100,2.96519861,0.02525471,0.31837841,1.86980343,1.01255627,0.01687631,1.15656033,0.54301298,0.36452622
-5.97598799,3.02583292,0.02683042,0.32248309,1.87767775,1.02192491,0.01822662,1.19275623,0.56160926,0.37809535
-5.96998499,3.08254327,0.02838105,0.32658813,1.88366254,1.02995383,0.01960311,1.22732023,0.57999737,0.39068972
-5.96398199,3.13545040,0.02989223,0.33069701,1.88796183,1.03682888,0.02099032,1.26022043,0.59824570,0.40220313
-5.95797899,3.18476468,0.03135007,0.33481806,1.89086305,1.04276465,0.02237144,1.29146192,0.61643252,0.41254770
-5.95197599,3.23075752,0.03274134,0.33896125,1.89271556,1.04799074,0.02372860,1.32107720,0.63463780,0.42165481
-5.94597299,3.27373045,0.03405364,0.34313483,1.89390638,1.05273745,0.02504325,1.34911546,0.65293450,0.42947556
-5.93996998,3.31398357,0.03527547,0.34734202,1.89483440,1.05722163,0.02629664,1.37563121,0.67137986,0.43598065
-5.93396698,3.35178526,0.03639638,0.35157800,1.89588474,1.06163364,0.02747022,1.40067308,0.69000724,0.44115988
-5.92796398,3.38734504,0.03740696,0.35582737,1.89740468,1.06612584,0.02854622,1.42427345,0.70881888,0.44502124
-5.92196098,3.42079102,0.03829893,0.36006237,1.89968249,1.07080355,0.02950807,1.44643938,0.72778022,0.44758962
-5.91595798,3.45215323,0.03906511,0.36424190,1.90293023,1.07571866,0.03034093,1.46714568,0.74681593,0.44890531
-5.90995498,3.48135367,0.03969944,0.36831142,1.90727144,1.08086618,0.03103207,1.48633019,0.76580819,0.44902230
-5.90395198,3.50820346,0.04019700,0.37220380,1.91273403,1.08618397,0.03157129,1.50389181,0.78459709,0.44800649
-5.89794897,3.53240716,0.04055402,0.37584101,1.91924876,1.09155544,0.03195118,1.51969125,0.80298350,0.44593374
-5.89194597,3.55357374,0.04076787,0.37913660,1.92665293,1.09681489,0.03216737,1.53355444,0.82073396,0.44288797
-5.88594297,3.57123334,0.04083710,0.38199881,1.93469889,1.10175536,0.03221858,1.54527842,0.83758771,0.43895928
-5.87993997,3.58485890,0.04076149,0.38433411,1.94306669,1.10613815,0.03210664,1.55463938,0.85326523,0.43424203
-5.87393697,3.59389090,0.04054205,0.38605094,1.95137976,1.10970370,0.03183641,1.56140224,0.86747806,0.42883302
-5.86793397,3.59776413,0.04018110,0.38706357,1.95922269,1.11218307,0.03141554,1.56533133,0.87993929,0.42282970
-5.86193097,3.59593460,0.03968226,0.38729561,1.96615998,1.11330949,0.03085420,1.56620156,0.89037426,0.41632841
-5.85592796,3.58790535,0.03905051,0.38668329,1.97175451,1.11282930,0.03016467,1.56380933,0.89853082,0.40942276
-5.84992496,3.57324962,0.03829214,0.38517806,1.97558500,1.11051193,0.02936098,1.55798285,0.90418890,0.40220200
-5.84392196,3.55163051,0.03741473,0.38274855,1.97726130,1.10615837,0.02845836,1.54859102,0.90716864,0.39474956
-5.83791896,3.52281610,0.03642709,0.37938184,1.97643714,1.09960795,0.02747280,1.53555079,0.90733692,0.38714166
-5.83191596,3.48668972,0.03533915,0.37508377,1.97281976,1.09074319,0.02642059,1.51883243,0.90461204,0.37944614
-5.82591296,3.44325511,0.03416179,0.36987864,1.96617641,1.07949267,0.02531781,1.49846277,0.89896629,0.37172150
-5.81990995,3.39263661,0.03290673,0.36380803,1.95633759,1.06583204,0.02417995,1.47452612,0.89042653,0.36401615
-5.81390695,3.33507501,0.03158627,0.35692917,1.94319760,1.04978329,0.02302153,1.44716325,0.87907278,0.35636804
-5.80790395,3.27091948,0.03021310,0.34931264,1.92671267,1.03141253,0.02185584,1.41656839,0.86503504,0.34880466
-5.80190095,3.20061673,0.02880005,0.34103986,1.90689733,1.01082658,0.02069466,1.38298471,0.84848867,0.34134333
-5.79589795,3.12469810,0.02735989,0.33220036,1.88381969,0.98816871,0.01954820,1.34669861,0.82964856,0.33399204
-5.78989495,3.04376580,0.02590509,0.32288899,1.85759631,0.96361388,0.01842495,1.30803313,0.80876258,0.32675063
-5.78389195,2.95847897,0.02444761,0.31320340,1.82838724,0.93736377,0.01733176,1.26734107,0.78610466,0.31961235
-5.77788894,2.86954060,0.02299876,0.30324159,1.79639171,0.90964189,0.01627385,1.22499799,0.76196780,0.31256584
