energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up
-6.00000000,3.67474257,0.76374528,2.80724200,0.00485141,0.12032373,0.23691212,0.01486377,0.47535094
-5.99399700,3.56949820,0.70702275,2.75240654,0.00477358,0.11068563,0.22800172,0.01396285,0.45268223
-5.98799400,3.47079916,0.65330904,2.70108713,0.00470081,0.10157554,0.21954444,0.01312531,0.43169080
-5.98199100,3.37991506,0.60317016,2.65404814,0.00463345,0.09309358,0.21162269,0.01235724,0.41261898
-5.97598799,3.29791389,0.55706672,2.61194627,0.00457171,0.08532299,0.20429923,0.01166377,0.39566422
-5.96998499,3.22567451,0.51535455,2.57534162,0.00451563,0.07833005,0.19761772,0.01104914,0.38098027
-5.96398199,3.16390451,0.47828858,2.54471115,0.00446522,0.07216444,0.19160400,0.01051671,0.36867963
-5.95797899,3.11316073,0.44602919,2.52046278,0.00442046,0.06686012,0.18626769,0.01006907,0.35883685
-5.95197599,3.07387017,0.41865042,2.50294847,0.00438141,0.06243634,0.18160410,0.00970809,0.35149250
-5.94597299,3.04634883,0.39614915,2.49247466,0.00434824,0.05889896,0.17759634,0.00943504,0.34665713
-5.93996998,3.03081674,0.37845476,2.48930882,0.00432132,0.05624174,0.17421738,0.00925063,0.34431509
-5.93396698,3.02740757,0.36543853,2.49368129,0.00430121,0.05444769,0.17143203,0.00915506,0.34442787
-5.92796398,3.03617210,0.35692234,2.50578201,0.00428874,0.05349029,0.16919875,0.00914808,0.34693661
-5.92196098,3.05707524,0.35268644,2.52575207,0.00428497,0.05333454,0.16747128,0.00922891,0.35176385
-5.91595798,3.08998710,0.35247603,2.55367087,0.00429115,0.05393792,0.16619991,0.00939630,0.35881439
-5.90995498,3.13466904,0.35600657,2.58953955,0.00430876,0.05525113,0.16533267,0.00964835,0.36797528
-5.90395198,3.19075627,0.36296809,2.63326235,0.00433937,0.05721867,0.16481615,0.00998250,0.37911516
-5.89794897,3.25773893,0.37302854,2.68462735,0.00438458,0.05977932,0.16459626,0.01039539,0.39208311
-5.89194597,3.33494380,0.38583645,2.74328831,0.00444599,0.06286658,0.16461879,0.01088271,0.40670730
-5.88594297,3.42151889,0.40102342,2.80874967,0.00452502,0.06640904,0.16482995,0.01143911,0.42279375
-5.87993997,3.51642312,0.41820650,2.88035609,0.00462291,0.07033082,0.16517689,0.01205808,0.44012544
-5.87393697,3.61842287,0.43699106,2.95728830,0.00474054,0.07455212,0.16560823,0.01273187,0.45846215
-5.86793397,3.72609704,0.45697413,3.03856605,0.00487842,0.07898993,0.16607466,0.01345144,0.47754123
-5.86193097,3.83785150,0.47774866,3.12305909,0.00503661,0.08355883,0.16652969,0.01420648,0.49707947
-5.85592796,3.95194323,0.49890867,3.20950614,0.00521467,0.08817216,0.16693034,0.01498543,0.51677631
-5.84992496,4.06651389,0.52005534,3.29654153,0.00541165,0.09274324,0.16723810,0.01577564,0.53631831
-5.84392196,4.17963176,0.54080389,3.38272858,0.00562610,0.09718685,0.16741976,0.01656355,0.55538487
-5.83791896,4.28934047,0.56079124,3.46659822,0.00585610,0.10142089,0.16744837,0.01733488,0.57365509
-5.83191596,4.39371231,0.57968391,3.54669112,0.00609931,0.10536811,0.16730407,0.01807503,0.59081549
-5.82591296,4.49090364,0.59718612,3.62160128,0.00635309,0.10895786,0.16697493,0.01876933,0.60656835
-5.81990995,4.57920963,0.61304749,3.69001860,0.00661453,0.11212790,0.16645754,0.01940350,0.62064022
-5.81390695,4.65711551,0.62707005,3.75076856,0.00688062,0.11482597,0.16575746,0.01996405,0.63279031
-5.80790395,4.72334171,0.63911424,3.80284653,0.00714833,0.11701125,0.16488942,0.02043866,0.64281835
-5.80190095,4.77688054,0.64910334,3.84544533,0.00741473,0.11865553,0.16387726,0.02081664,0.65057139
-5.79589795,4.81702264,0.65702635,3.87797436,0.00767712,0.11974401,0.16275360,0.02108925,0.65594942
-5.78989495,4.84337196,0.66293876,3.90006979,0.00793312,0.12027574,0.16155917,0.02125009,0.65890935
-5.78389195,4.85584873,0.66696142,3.91159530,0.00818074,0.12026358,0.16034200,0.02129535,0.65946723
-5.77788894,4.85468071,0.66927717,3.91263404,0.00841845,0.11973372,0.15915619,0.02122396,0.65769853
-5.77188594,4.84038357,0.67012560,3.90347232,0.00864525,0.11872478,0.15806070,0.02103780,0.65373662
-5.76588294,4.81373196,0.66979583,3.88457692,0.00886067,0.11728646,0.15711780,0.02074167,0.64776930
-5.75987994,4.77572336,0.66861773,3.85656729,0.00906477,0.11547776,0.15639156,0.02034323,0.64003376
-5.75387694,4.72753692,0.66695190,3.82018506,0.00925814,0.11336500,0.15594628,0.01985294,0.63081017
-5.74787394,4.67049004,0.66517863,3.77626263,0.00944186,0.11101949,0.15584492,0.01928376,0.62041411
-5.74187094,4.60599510,0.66368642,3.72569307,0.00961746,0.10851511,0.15614763,0.01865093,0.60918827
-5.73586793,4.53551848,0.66286035,3.66940286,0.00978689,0.10592583,0.15691040,0.01797166,0.59749386
-5.72986493,4.46054411,0.66307075,3.60832908,0.00995244,0.10332327,0.15818385,0.01726468,0.58570177
-5.72386193,4.38254253,0.66466246,3.54340182,0.01011673,0.10077439,0.16001214,0.01654995,0.57418417
-5.71785893,4.30294669,0.66794511,3.47553229,0.01028263,0.09833948,0.16243215,0.01584815,0.56330647
-5.71185593,4.22313424,0.67318462,3.40560656,0.01045322,0.09607032,0.16547268,0.01518035,0.55342005
-5.70585293,4.14441629,0.68059604,3.33448416,0.01063178,0.09400884,0.16915390,0.01456752,0.54485566
-5.69984992,4.06803138,0.69033803,3.26300060,0.01082173,0.09218614,0.17348680,0.01403016,0.53791781
-5.69384692,3.99514334,0.70250881,3.19197237,0.01102660,0.09062188,0.17847285,0.01358793,0.53287982
-5.68784392,3.92684154,0.71714383,3.12220279,0.01124996,0.08932419,0.18410359,0.01325924,0.52997969
