energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
-6.00000000,1.26828809,0.07020466,0.08345158,0.59879311,0.18866513,0.61965062,0.00000000,0.04337036,0.52960260
-5.99399700,1.25032749,0.06841110,0.08075593,0.58888307,0.18239766,0.60595366,0.00000000,0.04265189,0.53138859
-5.98799400,1.23622270,0.06693833,0.07803510,0.57997007,0.17687871,0.59429328,0.00000000,0.04221406,0.53482278
-5.98199100,1.22614650,0.06580317,0.07529843,0.57207759,0.17217135,0.58478012,0.00000000,0.04209113,0.53988727
-5.97598799,1.22013536,0.06500992,0.07255397,0.56518165,0.16831257,0.57744451,0.00000000,0.04231026,0.54651000
-5.96998499,1.21809470,0.06455061,0.06980918,0.55921496,0.16531360,0.57223941,0.00000000,0.04289099,0.55456799
-5.96398199,1.21980749,0.06440560,0.06707149,0.55407206,0.16316088,0.56904539,0.00000000,0.04384488,0.56389176
-5.95797899,1.22494563,0.06454450,0.06434874,0.54961504,0.16181762,0.56767765,0.00000000,0.04517541,0.57427103
-5.95197599,1.23308370,0.06492744,0.06164945,0.54567984,0.16122587,0.56789452,0.00000000,0.04687806,0.58546120
-5.94597299,1.24371441,0.06550656,0.05898297,0.54208271,0.16130908,0.56940722,0.00000000,0.04894049,0.59719057
-5.93996998,1.25626530,0.06622772,0.05635935,0.53862682,0.16197494,0.57189057,0.00000000,0.05134294,0.60916797
-5.93396698,1.27011624,0.06703242,0.05378918,0.53510882,0.16311848,0.57499426,0.00000000,0.05405867,0.62109069
-5.92796398,1.28461710,0.06785969,0.05128326,0.53132520,0.16462538,0.57835434,0.00000000,0.05705451,0.63265231
-5.92196098,1.29910538,0.06864813,0.04885221,0.52707840,0.16637534,0.58160468,0.00000000,0.06029150,0.64355042
-5.91595798,1.31292323,0.06933787,0.04650596,0.52218252,0.16824548,0.58438798,0.00000000,0.06372554,0.65349395
-5.90995498,1.32543360,0.06987241,0.04425339,0.51646859,0.17011362,0.58636617,0.00000000,0.06730809,0.66220986
-5.90395198,1.33603505,0.07020039,0.04210186,0.50978921,0.17186151,0.58722977,0.00000000,0.07098696,0.66944919
