energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,2.21478565,0.00533245,0.18615242,0.78284836,0.34417873,0.87850087,0.52621358,0.01001409,1.07813849
-5.99399700,2.27038199,0.00559235,0.19668546,0.80243313,0.35354080,0.89696723,0.54295868,0.01023851,1.10037642
-5.98799400,2.33062391,0.00586337,0.20836113,0.82305204,0.36383037,0.91644412,0.56118039,0.01051343,1.12380652
-5.98199100,2.39607082,0.00614389,0.22119845,0.84489569,0.37512056,0.93710725,0.58104285,0.01084656,1.14868258
-5.97598799,2.46717783,0.00643200,0.23519617,0.86812034,0.38746185,0.95910669,0.60268282,0.01124441,1.17521999
-5.96998499,2.54424940,0.00672548,0.25032930,0.89283104,0.40087521,0.98255047,0.62619777,0.01171195,1.20357367
-5.96398199,2.62739646,0.00702172,0.26654595,0.91906620,0.41534598,1.00748887,0.65163469,0.01225220,1.23381766
-5.95797899,2.71649950,0.00731783,0.28376485,0.94678448,0.43081880,1.03390050,0.67898040,0.01286594,1.26592756
-5.95197599,2.81117970,0.00761053,0.30187372,0.97585498,0.44719408,1.06168110,0.70815368,0.01355147,1.29976699
-5.94597299,2.91078039,0.00789629,0.32072861,1.00605128,0.46432611,1.09063586,0.73899993,0.01430444,1.33507889
-5.93996998,3.01436019,0.00817133,0.34015453,1.03705006,0.48202310,1.12047594,0.77128861,0.01511780,1.37148251
-5.93396698,3.12069892,0.00843170,0.35994724,1.06843444,0.50004919,1.15081973,0.80471380,0.01598179,1.40847636
-5.92796398,3.22831682,0.00867337,0.37987648,1.09970219,0.51812856,1.18119894,0.83889804,0.01688418,1.44544736
-5.92196098,3.33550667,0.00889233,0.39969038,1.13027863,0.53595149,1.21106949,0.87339938,0.01781043,1.48168604
-5.91595798,3.44037807,0.00908469,0.41912121,1.15953375,0.55318217,1.23982698,0.90772162,0.01874411,1.51640707
-5.90995498,3.54091222,0.00924684,0.43789199,1.18680278,0.56946815,1.26682589,0.94132731,0.01966731,1.54877465
-5.90395198,3.63502521,0.00937551,0.45572405,1.21140949,0.58445091,1.29140191,0.97365311,0.02056120,1.57793136
-5.89794897,3.72063719,0.00946791,0.47234501,1.23269101,0.59777726,1.31289625,1.00412703,0.02140660,1.60302940
-5.89194597,3.79574449,0.00952184,0.48749696,1.25002313,0.60911113,1.33068070,1.03218675,0.02218459,1.62326281
-5.88594297,3.85849152,0.00953578,0.50094449,1.26284477,0.61814512,1.34418241,1.05729844,0.02287714,1.63789912
-5.87993997,3.90723944,0.00950895,0.51248218,1.27068069,0.62461154,1.35290693,1.07897516,0.02346776,1.64630898
-5.87393697,3.94062841,0.00944137,0.52194126,1.27316110,0.62829230,1.35645853,1.09679426,0.02394201,1.64799257
-5.86793397,3.95763075,0.00933391,0.52919503,1.27003754,0.62902729,1.35455674,1.11041282,0.02428807,1.64260140
-5.86193097,3.95759271,0.00918827,0.53416290,1.26119408,0.62672093,1.34704834,1.11958077,0.02449711,1.62995466
-5.85592796,3.94026295,0.00900695,0.53681283,1.24665359,0.62134653,1.33391416,1.12415082,0.02456359,1.61004948
-5.84992496,3.90580674,0.00879324,0.53716199,1.22657867,0.61294835,1.31527057,1.12408500,0.02448553,1.58306452
-5.84392196,3.85480532,0.00855113,0.53527569,1.20126740,0.60164127,1.29136544,1.11945752,0.02426449,1.54935713
-5.83791896,3.78824053,0.00828519,0.53126459,1.17114418,0.58760807,1.26256916,1.11045367,0.02390556,1.50945406
-5.83191596,3.70746576,0.00800052,0.52528039,1.13674616,0.57109443,1.22936089,1.09736500,0.02341716,1.46403641
-5.82591296,3.61416445,0.00770261,0.51751014,1.09870591,0.55240203,1.19231117,1.08058089,0.02281076,1.41391954
-5.81990995,3.51029831,0.00739719,0.50816942,1.05773124,0.53187982,1.15206148,1.06057688,0.02210049,1.36002892
-5.81390695,3.39804728,0.00709015,0.49749486,1.01458313,0.50991403,1.10930202,1.03790026,0.02130267,1.30337300
-5.80790395,3.27974408,0.00678736,0.48573618,0.97005261,0.48691721,1.06474866,1.01315345,0.02043529,1.24501431
-5.80190095,3.15780578,0.00649461,0.47314811,0.92493757,0.46331682,1.01912010,0.98697586,0.01951747,1.18603989
-5.79589795,3.03466508,0.00621743,0.45998263,0.88002055,0.43954372,0.97311629,0.96002491,0.01856886,1.12753220
-5.78989495,2.91270381,0.00596106,0.44648178,0.83604799,0.41602096,0.92739887,0.93295689,0.01760915,1.07054145
-5.78389195,2.79419078,0.00573032,0.43287120,0.79371187,0.39315337,0.88257439,0.90640827,0.01665746,1.01606022
-5.77788894,2.68122583,0.00552956,0.41935477,0.75363404,0.37131805,0.83918076,0.88097823,0.01573193,0.96500113
-5.77188594,2.57569162,0.00536259,0.40611039,0.71635371,0.35085622,0.79767724,0.85721277,0.01484928,0.91817781
-5.76588294,2.47921418,0.00523261,0.39328696,0.68231815,0.33206643,0.75843800,0.83559096,0.01402445,0.87628972
-5.75987994,2.39313283,0.00514222,0.38100267,0.65187681,0.31519936,0.72174935,0.81651377,0.01327029,0.83991084
-5.75387694,2.31847984,0.00509337,0.36934443,0.62527851,0.30045424,0.68781013,0.80029552,0.01259742,0.80948211
-5.74787394,2.25596959,0.00508730,0.35836844,0.60267182,0.28797685,0.65673508,0.78715832,0.01201400,0.78530773
-5.74187094,2.20599709,0.00512456,0.34810176,0.58410804,0.27785898,0.62856069,0.77722952,0.01152572,0.76755482
-5.73586793,2.16864502,0.00520500,0.33854460,0.56954668,0.27013948,0.60325298,0.77054205,0.01113576,0.75625633
-5.72986493,2.14369881,0.00532771,0.32967342,0.55886293,0.26480645,0.58071661,0.76703762,0.01084484,0.75131684
