energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Se_s_up,Se_p_up
-6.00000000,0.83820425,0.05591980,0.66518954,0.00014799,0.00315750,0.04149178,0.06481293,0.00010922,0.14857499
-5.99399700,0.83944302,0.05607971,0.66661695,0.00017426,0.00314588,0.04212164,0.06426758,0.00012451,0.14876011
-5.98799400,0.83743135,0.05601734,0.66555942,0.00020439,0.00312208,0.04259075,0.06342677,0.00014324,0.14827070
-5.98199100,0.83216555,0.05573363,0.66201180,0.00023851,0.00308551,0.04288489,0.06230170,0.00016543,0.14709735
-5.97598799,0.82370271,0.05523346,0.65601702,0.00027670,0.00303596,0.04299372,0.06090780,0.00019107,0.14524204
-5.96998499,0.81215609,0.05452525,0.64766216,0.00031897,0.00297351,0.04291089,0.05926419,0.00022016,0.14271808
-5.96398199,0.79768970,0.05362060,0.63707377,0.00036527,0.00289854,0.04263412,0.05739321,0.00025264,0.13954964
-5.95797899,0.78051193,0.05253385,0.62441262,0.00041544,0.00281174,0.04216515,0.05531982,0.00028844,0.13577128
-5.95197599,0.76086866,0.05128163,0.60986785,0.00046923,0.00271400,0.04150963,0.05307103,0.00032739,0.13142708
-5.94597299,0.73903576,0.04988234,0.59365087,0.00052627,0.00260646,0.04067688,0.05067535,0.00036930,0.12656970
-5.93996998,0.71531124,0.04835562,0.57598894,0.00058610,0.00249045,0.03967958,0.04816219,0.00041388,0.12125922
-5.93396698,0.69000731,0.04672192,0.55711867,0.00064810,0.00236746,0.03853335,0.04556130,0.00046078,0.11556178
-5.92796398,0.66344245,0.04500191,0.53727974,0.00071159,0.00223911,0.03725633,0.04290227,0.00050957,0.10954814
-5.92196098,0.63593381,0.04321607,0.51670882,0.00077574,0.00210717,0.03586867,0.04021403,0.00055976,0.10329216
-5.91595798,0.60779008,0.04138424,0.49563403,0.00083966,0.00197346,0.03439200,0.03752437,0.00061081,0.09686916
-5.90995498,0.57930524,0.03952526,0.47427006,0.00090239,0.00183992,0.03284891,0.03485959,0.00066214,0.09035440
