energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.15897710,0.00569868,0.09102611,0.46901695,0.68513556,0.00000000,0.32513345,0.14390460
-5.99399700,1.17352337,0.00506711,0.09017976,0.46999768,0.69906677,0.00000000,0.33413096,0.14270041
-5.98799400,1.18572472,0.00452046,0.08908625,0.46991812,0.71163620,0.00000000,0.34247050,0.14121987
-5.98199100,1.19509615,0.00404910,0.08774646,0.46863950,0.72249389,0.00000000,0.34993689,0.13943172
-5.97598799,1.20124198,0.00364380,0.08616907,0.46605751,0.73134098,0.00000000,0.35634104,0.13731715
-5.96998499,1.20386583,0.00329594,0.08437022,0.46210430,0.73793750,0.00000000,0.36152597,0.13487011
-5.96398199,1.20277732,0.00299770,0.08237303,0.45674902,0.74210834,0.00000000,0.36537172,0.13209736
-5.95797899,1.19789550,0.00274217,0.08020688,0.44999728,0.74374704,0.00000000,0.36779928,0.12901803
-5.95197599,1.18924881,0.00252341,0.07790660,0.44188937,0.74281736,0.00000000,0.36877330,0.12566289
-5.94597299,1.17697199,0.00233647,0.07551156,0.43249752,0.73935279,0.00000000,0.36830347,0.12207344
-5.93996998,1.16129985,0.00217743,0.07306470,0.42192232,0.73345381,0.00000000,0.36644458,0.11830064
-5.93396698,1.14255842,0.00204331,0.07061154,0.41028844,0.72528328,0.00000000,0.36329526,0.11440357
-5.92796398,1.12115379,0.00193202,0.06819924,0.39773986,0.71506007,0.00000000,0.35899550,0.11044796
-5.92196098,1.09755907,0.00184232,0.06587560,0.38443481,0.70305120,0.00000000,0.35372292,0.10650459
-5.91595798,1.07230002,0.00177369,0.06368822,0.37054058,0.68956298,0.00000000,0.34768808,0.10264768
-5.90995498,1.04593985,0.00172625,0.06168364,0.35622850,0.67493132,0.00000000,0.34112895,0.09895331
-5.90395198,1.01906372,0.00170066,0.05990653,0.34166909,0.65951172,0.00000000,0.33430466,0.09549774
-5.89794897,0.99226334,0.00169798,0.05839897,0.32702775,0.64366926,0.00000000,0.32748887,0.09235585
-5.89194597,0.96612230,0.00171959,0.05719979,0.31246087,0.62776895,0.00000000,0.32096278,0.08959958
-5.88594297,0.94120231,0.00176702,0.05634388,0.29811276,0.61216671,0.00000000,0.31500811,0.08729643
-5.87993997,0.91803070,0.00184190,0.05586157,0.28411313,0.59720115,0.00000000,0.30990010,0.08550805
-5.87393697,0.89708943,0.00194577,0.05577806,0.27057543,0.58318646,0.00000000,0.30590079,0.08428884
-5.86793397,0.87880561,0.00208000,0.05611282,0.25759583,0.57040627,0.00000000,0.30325253,0.08368469
-5.86193097,0.86354367,0.00224567,0.05687908,0.24525289,0.55910867,0.00000000,0.30217197,0.08373179
-5.85592796,0.85159900,0.00244344,0.05808326,0.23360781,0.54950233,0.00000000,0.30284450,0.08445558
-5.84992496,0.84319322,0.00267347,0.05972456,0.22270509,0.54175352,0.00000000,0.30541931,0.08586979
