energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.24377159,0.01703102,0.08253225,1.32280011,0.00000000,0.95139512,0.25188972,1.80248034,0.05337033
-5.99399700,2.18760446,0.01725777,0.07940983,1.28961002,0.00000000,0.91342798,0.24682532,1.75569700,0.05224145
-5.98799400,2.12323406,0.01740329,0.07606733,1.25154314,0.00000000,0.87334003,0.24057617,1.70225097,0.05093655
-5.98199100,2.05185347,0.01747095,0.07255652,1.20930805,0.00000000,0.83181835,0.23325040,1.64312658,0.04948284
-5.97598799,1.97475687,0.01746614,0.06892905,1.16367441,0.00000000,0.78954383,0.22497449,1.57938846,0.04791001
-5.96998499,1.89330861,0.01739605,0.06523543,1.11545467,0.00000000,0.74717676,0.21589006,1.51215698,0.04624945
-5.96398199,1.80891028,0.01726933,0.06152403,1.06548441,0.00000000,0.70534365,0.20615023,1.44258200,0.04453349
-5.95797899,1.72296657,0.01709576,0.05784025,1.01460211,0.00000000,0.66462508,0.19591563,1.37181574,0.04279447
-5.95197599,1.63685098,0.01688576,0.05422569,0.96362868,0.00000000,0.62554523,0.18535023,1.30098561,0.04106395
-5.94597299,1.55187258,0.01664994,0.05071757,0.91334768,0.00000000,0.58856289,0.17461712,1.23116775,0.03937176
-5.93996998,1.46924484,0.01639869,0.04734814,0.86448668,0.00000000,0.55406438,0.16387441,1.16336224,0.03774528
-5.93396698,1.39005755,0.01614165,0.04414429,0.81770049,0.00000000,0.52235832,0.15327137,1.09847069,0.03620866
-5.92796398,1.31525297,0.01588734,0.04112736,0.77355684,0.00000000,0.49367241,0.14294499,1.03727702,0.03478217
-5.92196098,1.24560683,0.01564280,0.03831299,0.73252488,0.00000000,0.46815217,0.13301701,0.98043197,0.03348177
-5.91595798,1.18171497,0.01541331,0.03571117,0.69496700,0.00000000,0.44586180,0.12359164,0.92844199,0.03231868
-5.90995498,1.12398602,0.01520222,0.03332648,0.66113428,0.00000000,0.42678693,0.11475385,0.88166262,0.03129924
-5.90395198,1.07264030,0.01501083,0.03115843,0.63116541,0.00000000,0.41083921,0.10656848,0.84029674,0.03042490
-5.89794897,1.02771490,0.01483846,0.02920192,0.60508946,0.00000000,0.39786279,0.09907991,0.80439752,0.02969233
-5.89194597,0.98907464,0.01468251,0.02744785,0.58283195,0.00000000,0.38764222,0.09231258,0.77387592,0.02909381
-5.88594297,0.95642843,0.01453871,0.02588383,0.56422423,0.00000000,0.37991170,0.08627203,0.74851239,0.02861763
-5.87993997,0.92935032,0.01440140,0.02449498,0.54901556,0.00000000,0.37436549,0.08094653,0.72797224,0.02824875
-5.87393697,0.90730423,0.01426385,0.02326472,0.53688751,0.00000000,0.37066897,0.07630915,0.71182403,0.02796950
-5.86793397,0.88967160,0.01411870,0.02217570,0.52747003,0.00000000,0.36847020,0.07232026,0.69956033,0.02776034
-5.86193097,0.87578059,0.01395832,0.02121060,0.52035862,0.00000000,0.36741156,0.06893017,0.69061996,0.02760072
-5.85592796,0.86493602,0.01377529,0.02035300,0.51513196,0.00000000,0.36714118,0.06608198,0.68441106,0.02746990
-5.84992496,0.85644869,0.01356272,0.01958815,0.51136928,0.00000000,0.36732374,0.06371443,0.68033396,0.02734779
-5.84392196,0.84966325,0.01331464,0.01890362,0.50866704,0.00000000,0.36765045,0.06176466,0.67780336,0.02721570
-5.83791896,0.84398355,0.01302629,0.01828994,0.50665419,0.00000000,0.36784781,0.06017082,0.67626885,0.02705704
-5.83191596,0.83889474,0.01269433,0.01774099,0.50500562,0.00000000,0.36768494,0.05887438,0.67523331,0.02685789
-5.82591296,0.83398136,0.01231699,0.01725440,0.50345339,0.00000000,0.36697932,0.05782219,0.67426848,0.02660747
-5.81990995,0.82894099,0.01189415,0.01683164,0.50179533,0.00000000,0.36560079,0.05696812,0.67302749,0.02629848
-5.81390695,0.82359305,0.01142729,0.01647811,0.49990090,0.00000000,0.36347359,0.05627434,0.67125374,0.02592724
-5.80790395,0.81788256,0.01091946,0.01620296,0.49771407,0.00000000,0.36057666,0.05571216,0.66878617,0.02549382
-5.80190095,0.81187893,0.01037503,0.01601891,0.49525323,0.00000000,0.35694195,0.05526241,0.66556065,0.02500187
-5.79589795,0.80576982,0.00979960,0.01594174,0.49260820,0.00000000,0.35265101,0.05491548,0.66160760,0.02445844
-5.78989495,0.79985039,0.00919964,0.01598986,0.48993441,0.00000000,0.34782993,0.05467091,0.65704600,0.02387365
-5.78389195,0.79450841,0.00858228,0.01618367,0.48744454,0.00000000,0.34264280,0.05453659,0.65207396,0.02326022
-5.77788894,0.79020572,0.00795502,0.01654479,0.48539787,0.00000000,0.33728396,0.05452770,0.64695632,0.02263301
-5.77188594,0.78745671,0.00732542,0.01709536,0.48408781,0.00000000,0.33196926,0.05466529,0.64200967,0.02200839
-5.76588294,0.78680463,0.00670088,0.01785713,0.48382796,0.00000000,0.32692666,0.05497473,0.63758533,0.02140367
-5.75987994,0.78879646,0.00608836,0.01885066,0.48493719,0.00000000,0.32238644,0.05548390,0.63405107,0.02083643
-5.75387694,0.79395730,0.00549423,0.02009440,0.48772435,0.00000000,0.31857144,0.05622141,0.63177201,0.02032391
-5.74787394,0.80276511,0.00492406,0.02160387,0.49247315,0.00000000,0.31568757,0.05721466,0.63109166,0.01988242
-5.74187094,0.81562686,0.00438255,0.02339080,0.49942772,0.00000000,0.31391496,0.05848809,0.63231373,0.01952673
-5.73586793,0.83285680,0.00387347,0.02546243,0.50877946,0.00000000,0.31340007,0.06006149,0.63568543,0.01926958
-5.72986493,0.85465790,0.00339958,0.02782079,0.52065576,0.00000000,0.31424907,0.06194850,0.64138302,0.01912124
-5.72386193,0.88110699,0.00296273,0.03046218,0.53511097,0.00000000,0.31652268,0.06415540,0.64950021,0.01908917
-5.71785893,0.91214452,0.00256381,0.03337670,0.55212010,0.00000000,0.32023272,0.06668020,0.66003992,0.01917773
-5.71185593,0.94756917,0.00220294,0.03654804,0.57157553,0.00000000,0.32534050,0.06951207,0.67290981,0.01938803
-5.70585293,0.98703785,0.00187946,0.03995329,0.59328696,0.00000000,0.33175711,0.07263114,0.68792183,0.01971788
-5.69984992,1.03007101,0.00159211,0.04356312,0.61698460,0.00000000,0.33934564,0.07600873,0.70479592,0.02016180
-5.69384692,1.07606331,0.00133912,0.04734201,0.64232563,0.00000000,0.34792526,0.07960795,0.72316768,0.02071121
-5.68784392,1.12429929,0.00111834,0.05124871,0.66890363,0.00000000,0.35727699,0.08338458,0.74259983,0.02135465
-5.68184092,1.17397345,0.00092733,0.05523696,0.69626069,0.00000000,0.36715089,0.08728840,0.76259695,0.02207812
-5.67583792,1.22421404,0.00076352,0.05925633,0.72390170,0.00000000,0.37727454,0.09126465,0.78262287,0.02286550
-5.66983492,1.27410967,0.00062422,0.06325320,0.75131025,0.00000000,0.38736232,0.09525580,0.80212015,0.02369898
-5.66383192,1.32273760,0.00050679,0.06717197,0.77796553,0.00000000,0.39712517,0.09920331,0.82053058,0.02455963
-5.65782891,1.36919273,0.00040862,0.07095629,0.80335940,0.00000000,0.40628040,0.10304956,0.83731601,0.02542795
-5.65182591,1.41261597,0.00032727,0.07455039,0.82701313,0.00000000,0.41456127,0.10673959,0.85197852,0.02628439
-5.64582291,1.45222097,0.00026045,0.07790038,0.84849291,0.00000000,0.42172581,0.11022282,0.86407914,0.02710995
-5.63981991,1.48731808,0.00020606,0.08095560,0.86742360,0.00000000,0.42756456,0.11345451,0.87325424,0.02788668
-5.63381691,1.51733472,0.00016221,0.08366986,0.88350024,0.00000000,0.43190704,0.11639697,0.87922909,0.02859819
-5.62781391,1.54183132,0.00012722,0.08600249,0.89649678,0.00000000,0.43462661,0.11902050,0.88182789,0.02923008
-5.62181091,1.56051239,0.00009963,0.08791936,0.90627185,0.00000000,0.43564365,0.12130396,0.88098003,0.02977027
-5.61580790,1.57323241,0.00007818,0.08939361,0.91277140,0.00000000,0.43492690,0.12323504,0.87672242,0.03020931
-5.60980490,1.57999652,0.00006180,0.09040616,0.91602819,0.00000000,0.43249311,0.12481018,0.86919786,0.03054057
-5.60380190,1.58095606,0.00004959,0.09094610,0.91615837,0.00000000,0.42840492,0.12603420,0.85864964,0.03076029
-5.59779890,1.57639959,0.00004081,0.09101068,0.91335531,0.00000000,0.42276733,0.12691967,0.84541270,0.03086766
-5.59179590,1.56673967,0.00003487,0.09060515,0.90788115,0.00000000,0.41572281,0.12748607,0.82990186,0.03086466
-5.58579290,1.55249626,0.00003130,0.08974243,0.90005644,0.00000000,0.40744536,0.12775875,0.81259755,0.03075596
-5.57978989,1.53427747,0.00002972,0.08844246,0.89024831,0.00000000,0.39813384,0.12776784,0.79402976,0.03054861
-5.57378689,1.51275835,0.00002984,0.08673149,0.87885777,0.00000000,0.38800487,0.12754702,0.77476077,0.03025180
-5.56778389,1.48865868,0.00003145,0.08464118,0.86630649,0.00000000,0.37728547,0.12713235,0.75536718,0.02987647
-5.56178089,1.46272030,0.00003439,0.08220763,0.85302355,0.00000000,0.36620581,0.12656105,0.73642208,0.02943489
-5.55577789,1.43568482,0.00003855,0.07947038,0.83943248,0.00000000,0.35499230,0.12587041,0.71847751,0.02894027
-5.54977489,1.40827220,0.00004385,0.07647130,0.82593898,0.00000000,0.34386114,0.12509664,0.70204805,0.02840631
-5.54377189,1.38116072,0.00005022,0.07325367,0.81291951,0.00000000,0.33301254,0.12427398,0.68759563,0.02784675
-5.53776888,1.35496868,0.00005762,0.06986113,0.80071098,0.00000000,0.32262569,0.12343369,0.67551603,0.02727492
-5.53176588,1.33023825,0.00006600,0.06633682,0.78960168,0.00000000,0.31285463,0.12260330,0.66612733,0.02670338
-5.52576288,1.30742163,0.00007531,0.06272262,0.77982364,0.00000000,0.30382490,0.12180585,0.65966054,0.02614352
-5.51975988,1.28686984,0.00008551,0.05905844,0.77154643,0.00000000,0.29563123,0.12105924,0.65625242,0.02560519
-5.51375688,1.26882420,0.00009652,0.05538163,0.76487256,0.00000000,0.28833602,0.12037570,0.65594096,0.02509648
-5.50775388,1.25341079,0.00010825,0.05172660,0.75983457,0.00000000,0.28196875,0.11976134,0.65866330,0.02462348
-5.50175088,1.24063791,0.00012060,0.04812445,0.75639393,0.00000000,0.27652629,0.11921588,0.66425639,0.02419010
-5.49574787,1.23039684,0.00013346,0.04460277,0.75444177,0.00000000,0.27197399,0.11873246,0.67246038,0.02379802
-5.48974487,1.22246581,0.00014668,0.04118551,0.75380162,0.00000000,0.26824761,0.11829767,0.68292475,0.02344665
-5.48374187,1.21651736,0.00016010,0.03789298,0.75423406,0.00000000,0.26525601,0.11789181,0.69521716,0.02313324
-5.47773887,1.21212899,0.00017357,0.03474186,0.75544352,0.00000000,0.26288451,0.11748929,0.70883487,0.02285299
-5.47173587,1.20879705,0.00018690,0.03174540,0.75708688,0.00000000,0.26099894,0.11705935,0.72321856,0.02259928
-5.46573287,1.20595349,0.00019994,0.02891353,0.75878404,0.00000000,0.25945017,0.11656696,0.73776824,0.02236397
-5.45972986,1.20298526,0.00021251,0.02625314,0.76012996,0.00000000,0.25807917,0.11597401,0.75186091,0.02213772
-5.45372686,1.19925567,0.00022450,0.02376836,0.76070804,0.00000000,0.25672234,0.11524065,0.76486930,0.02191041
-5.44772386,1.19412722,0.00023580,0.02146084,0.76010435,0.00000000,0.25521703,0.11432687,0.77618140,0.02167152
-5.44172086,1.18698498,0.00024637,0.01933013,0.75792229,0.00000000,0.25340703,0.11319414,0.78521976,0.02141064
-5.43571786,1.17725982,0.00025624,0.01737401,0.75379703,0.00000000,0.25114795,0.11180715,0.79146024,0.02111783
-5.42971486,1.16445045,0.00026550,0.01558891,0.74740927,0.00000000,0.24831220,0.11013552,0.79444914,0.02078409
-5.42371186,1.14814347,0.00027438,0.01397027,0.73849763,0.00000000,0.24479347,0.10815540,0.79381834,0.02040175
-5.41770885,1.12803060,0.00028323,0.01251299,0.72686929,0.00000000,0.24051046,0.10585096,0.78929759,0.01996480
-5.41170585,1.10392231,0.00029255,0.01121178,0.71240818,0.00000000,0.23540988,0.10321557,0.78072364,0.01946913
-5.40570285,1.07575730,0.00030303,0.01006165,0.69508064,0.00000000,0.22946839,0.10025273,0.76804574,0.01891276
-5.39969985,1.04360752,0.00031556,0.00905822,0.67493800,0.00000000,0.22269360,0.09697667,0.75132725,0.01829596
-5.39369685,1.00767853,0.00033127,0.00819819,0.65211627,0.00000000,0.21512409,0.09341253,0.73074352,0.01762123
-5.38769385,0.96830517,0.00035158,0.00747967,0.62683274,0.00000000,0.20682836,0.08959619,0.70657600,0.01689331
-5.38169085,0.92594305,0.00037820,0.00690254,0.59937993,0.00000000,0.19790292,0.08557380,0.67920302,0.01611898
-5.37568784,0.88115617,0.00041317,0.00646876,0.57011697,0.00000000,0.18846951,0.08140084,0.64908767,0.01530690
-5.36968484,0.83460138,0.00045890,0.00618264,0.53945912,0.00000000,0.17867176,0.07714101,0.61676340,0.01446731
