energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,4.18151017,-2.67578105,0.04221309,-0.03526140,0.34804755,-0.12071536,3.17110696,-2.13372270,1.14563077,-0.53030907,1.04279678,-0.71736311,0.45728639,-0.30563490,2.39606035,-1.71599033,0.00000000,-0.00000000
-5.99399700,4.21556253,-2.81525013,0.04201141,-0.03682703,0.36579221,-0.12647308,3.18656735,-2.25418504,1.17647689,-0.55998515,1.04299909,-0.76012013,0.45741814,-0.32237550,2.39415496,-1.80699164,0.00000000,-0.00000000
-5.98799400,4.23011367,-2.95008349,0.04157834,-0.03823262,0.38247000,-0.13310963,3.18728501,-2.37023771,1.20256510,-0.59065080,1.03781843,-0.80116645,0.45514303,-0.33834750,2.38030010,-1.89342651,0.00000000,-0.00000000
-5.98199100,4.22499526,-3.07894344,0.04092152,-0.03945589,0.39779291,-0.14064700,3.17350002,-2.48068263,1.22343353,-0.62212290,1.02739496,-0.84000311,0.45051663,-0.35337014,2.35481182,-1.97430750,0.00000000,-0.00000000
-5.97598799,4.20031853,-3.20056319,0.04005211,-0.04047712,0.41147992,-0.14910645,3.14568005,-2.58438365,1.23868031,-0.65421366,1.01195872,-0.87614496,0.44363439,-0.36726967,2.31819082,-2.04869943,0.00000000,-0.00000000
-5.96998499,4.15647713,-3.31376679,0.03898448,-0.04127963,0.42326530,-0.15850682,3.10450981,-2.68028773,1.24797682,-0.68673105,0.99182454,-0.90913063,0.43462944,-0.37988240,2.27111167,-2.11573643,0.00000000,-0.00000000
-5.96398199,4.09414372,-3.41748573,0.03773589,-0.04185021,0.43290697,-0.16886218,3.05087477,-2.76744401,1.25107979,-0.71947850,0.96738451,-0.93853230,0.42366922,-0.39105764,2.21440755,-2.17463764,0.00000000,-0.00000000
-5.95797899,4.01425987,-3.51077222,0.03632606,-0.04217950,0.44019455,-0.18017882,2.98583953,-2.84502014,1.24784163,-0.75225374,0.93909823,-0.96396506,0.41095117,-0.40066053,2.14905079,-2.22472143,0.00000000,-0.00000000
-5.95197599,3.91801920,-3.59280905,0.03477672,-0.04226223,0.44495680,-0.19245174,2.91062136,-2.91231578,1.23821836,-0.78484700,0.90748115,-0.98509561,0.39669756,-0.40857463,2.07612960,-2.26541771,0.00000000,-0.00000000
-5.94597299,3.80684373,-3.66291635,0.03311110,-0.04209735,0.44706795,-0.20566090,2.82655939,-2.96877299,1.22227472,-0.81703901,0.87309119,-1.00165006,0.38114958,-0.41470428,1.99682181,-2.29627849,0.00000000,-0.00000000
-5.93996998,3.68235388,-3.72055541,0.03135340,-0.04168804,0.44645265,-0.21976735,2.73508061,-3.01398348,1.20018588,-0.84859882,0.83651430,-1.01342061,0.36456103,-0.41897668,1.91236614,-2.31698616,0.00000000,-0.00000000
