energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,2.03960016,-1.18714730,0.00399319,-0.00855476,0.08565483,-0.04754723,1.59342629,-0.98741150,0.43120591,-0.17359434,1.24882690,-0.76917105,0.00000000,-0.00000000,0.59866715,-0.39850279,0.28796094,-0.14831877
-5.99399700,2.09303005,-1.23618415,0.00357219,-0.00771164,0.08955043,-0.04984081,1.64002563,-1.02839516,0.44886197,-0.18417925,1.27922517,-0.79998272,0.00000000,-0.00000000,0.61354690,-0.41035205,0.29707595,-0.15281548
-5.98799400,2.14832728,-1.28680026,0.00322313,-0.00696871,0.09375167,-0.05219843,1.68805419,-1.07091295,0.46753818,-0.19454040,1.31044078,-0.83182287,0.00000000,-0.00000000,0.62940395,-0.42273148,0.30619557,-0.15786379
-5.98199100,2.20441731,-1.33796771,0.00293867,-0.00631760,0.09822901,-0.05458037,1.73643677,-1.11424231,0.48702585,-0.20451962,1.34177625,-0.86403774,0.00000000,-0.00000000,0.64584003,-0.43533275,0.31513184,-0.16334925
-5.97598799,2.26011961,-1.38865290,0.00271173,-0.00574927,0.10294340,-0.05694574,1.78401661,-1.15765948,0.50707043,-0.21396554,1.37247766,-0.89597185,0.00000000,-0.00000000,0.66241971,-0.44785193,0.32368995,-0.16915213
-5.96998499,2.31417644,-1.43785352,0.00253561,-0.00525430,0.10784634,-0.05925370,1.82958979,-1.20046585,0.52737642,-0.22273907,1.40175472,-0.92699201,0.00000000,-0.00000000,0.67868302,-0.46000194,0.33167289,-0.17515218
-5.96398199,2.36528533,-1.48463446,0.00240397,-0.00482326,0.11288025,-0.06146470,1.87194209,-1.24201264,0.54761387,-0.23071878,1.42880292,-0.95651070,0.00000000,-0.00000000,0.69415922,-0.47152410,0.33888635,-0.18123316
-5.95797899,2.41213407,-1.52816139,0.00231084,-0.00444700,0.11797901,-0.06354156,1.90988666,-1.28172315,0.56742622,-0.23780573,1.45282680,-0.98400767,0.00000000,-0.00000000,0.70838111,-0.48219851,0.34514377,-0.18728725
-5.95197599,2.45343708,-1.56773039,0.00225068,-0.00411686,0.12306892,-0.06545059,1.94230113,-1.31911138,0.58643927,-0.24392781,1.47306349,-1.00904901,0.00000000,-0.00000000,0.72089935,-0.49185261,0.35027139,-0.19321898
-5.94597299,2.48797178,-1.60279269,0.00221828,-0.00382489,0.12806989,-0.06716235,1.96816246,-1.35379657,0.60427095,-0.24904311,1.48880573,-1.03130277,0.00000000,-0.00000000,0.73129613,-0.50036772,0.35411306,-0.19894861
-5.93996998,2.51461367,-1.63297316,0.00220886,-0.00356396,0.13289697,-0.06865244,1.98657821,-1.38551281,0.62054172,-0.25314226,1.49942324,-1.05055060,0.00000000,-0.00000000,0.73919776,-0.50768316,0.35653472,-0.20441476
-5.93396698,2.53236876,-1.65808200,0.00221795,-0.00332786,0.13746212,-0.06990189,1.99681294,-1.41411367,0.63488506,-0.25624955,1.50438188,-1.06669472,0.00000000,-0.00000000,0.74428551,-0.51379782,0.35742820,-0.20957626
-5.92796398,2.54040223,-1.67811895,0.00224145,-0.00311135,0.14167628,-0.07089750,1.99830880,-1.43957157,0.64695788,-0.25842285,1.50325952,-1.07976006,0.00000000,-0.00000000,0.74630446,-0.51876914,0.35671437,-0.21441303
-5.92196098,2.53806222,-1.69326995,0.00227556,-0.00291014,0.14545155,-0.07163185,1.99069950,-1.46197209,0.65645035,-0.25975206,1.49575826,-1.08989139,0.00000000,-0.00000000,0.74506990,-0.52270953,0.35434541,-0.21892608
-5.91595798,2.52489785,-1.70389625,0.00231683,-0.00272088,0.14870363,-0.07210314,1.97381742,-1.48150364,0.66309492,-0.26035639,1.48171250,-1.09734552,0.00000000,-0.00000000,0.74047123,-0.52578037,0.35030608,-0.22313649
-5.90995498,2.50067103,-1.71051646,0.00236207,-0.00254107,0.15135415,-0.07231485,1.94769376,-1.49844299,0.66667416,-0.26038031,1.46109248,-1.10247892,0.00000000,-0.00000000,0.73247313,-0.52818391,0.34461405,-0.22708352
-5.90395198,2.46536157,-1.71378227,0.00240841,-0.00236902,0.15333310,-0.07227522,1.91255199,-1.51313730,0.66702714,-0.25998843,1.43400342,-1.10573122,0.00000000,-0.00000000,0.72111428,-0.53015339,0.33731913,-0.23082180
