energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.72575880,-1.03326749,0.00135113,-0.00232192,0.04855438,-0.04166982,2.58505969,-1.60768180,0.62694646,-0.27259503,1.07558801,-0.66764234,0.00000000,-0.00000000
-5.99399700,1.78114720,-1.06857517,0.00131908,-0.00224872,0.04874158,-0.04341112,2.64864956,-1.66264783,0.65133775,-0.28225490,1.11071069,-0.68991533,0.00000000,-0.00000000
-5.98799400,1.83478943,-1.10325228,0.00130135,-0.00218554,0.04883505,-0.04514732,2.70796355,-1.71644094,0.67487052,-0.29187197,1.14475518,-0.71167677,0.00000000,-0.00000000
-5.98199100,1.88541298,-1.13683326,0.00129681,-0.00212906,0.04881555,-0.04685609,2.76142136,-1.76824781,0.69703205,-0.30134837,1.17692357,-0.73262135,0.00000000,-0.00000000
-5.97598799,1.93176009,-1.16893645,0.00130415,-0.00207636,0.04866538,-0.04851657,2.80750318,-1.81736275,0.71731798,-0.31061115,1.20642684,-0.75250019,0.00000000,-0.00000000
-5.96998499,1.97262988,-1.19927963,0.00132187,-0.00202495,0.04836907,-0.05010988,2.84479968,-1.86321478,0.73524910,-0.31961624,1.23251111,-0.77113143,0.00000000,-0.00000000
-5.96398199,2.00691891,-1.22769111,0.00134836,-0.00197280,0.04791396,-0.05161949,2.87205832,-1.90538894,0.75038762,-0.32835124,1.25448290,-0.78840779,0.00000000,-0.00000000
-5.95797899,2.03365863,-1.25411571,0.00138188,-0.00191829,0.04729068,-0.05303140,2.88822399,-1.94364067,0.76235210,-0.33683657,1.27173242,-0.80430092,0.00000000,-0.00000000
-5.95197599,2.05204815,-1.27861513,0.00142064,-0.00186026,0.04649354,-0.05433433,2.89247262,-1.97790267,0.77083059,-0.34512515,1.28375394,-0.81886195,0.00000000,-0.00000000
-5.94597299,2.06148101,-1.30136273,0.00146280,-0.00179792,0.04552070,-0.05551961,2.88423649,-2.00828392,0.77559129,-0.35330035,1.29016244,-0.83221835,0.00000000,-0.00000000
-5.93996998,2.06156491,-1.32263273,0.00150654,-0.00173092,0.04437431,-0.05658105,2.86322045,-2.03506081,0.77649036,-0.36147231,1.29070593,-0.84456712,0.00000000,-0.00000000
-5.93396698,2.05213366,-1.34278448,0.00155008,-0.00165923,0.04306041,-0.05751469,2.82940873,-2.05866107,0.77347645,-0.36977280,1.28527288,-0.85616452,0.00000000,-0.00000000
-5.92796398,2.03325085,-1.36224232,0.00159175,-0.00158316,0.04158882,-0.05831845,2.78306213,-2.07964096,0.76659194,-0.37834869,1.27389457,-0.86731294,0.00000000,-0.00000000
