energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.68721046,-0.85690690,0.00160466,-0.00284748,0.03054643,-0.03823225,0.56865651,-0.63038659,0.06979936,-0.09727231,0.20930717,-0.27072849,0.18091018,-0.17476974,0.39249837,-0.51133319,0.00000000,-0.00000000
-5.99399700,0.72519645,-0.83818584,0.00158100,-0.00266769,0.03174209,-0.03722000,0.59323190,-0.61608911,0.07277618,-0.09307171,0.21992196,-0.26140500,0.19423594,-0.17692504,0.41420859,-0.49978536,0.00000000,-0.00000000
-5.98799400,0.76803556,-0.82319213,0.00158723,-0.00250919,0.03299776,-0.03641609,0.62034215,-0.60378439,0.07641782,-0.08925912,0.23206079,-0.25331484,0.20888952,-0.17993389,0.43887873,-0.49022138,0.00000000,-0.00000000
-5.98199100,0.81529407,-0.81224040,0.00162421,-0.00237037,0.03428267,-0.03582636,0.64959228,-0.59378526,0.08069399,-0.08586047,0.24558709,-0.24657469,0.22479252,-0.18386354,0.46627282,-0.48285120,0.00000000,-0.00000000
-5.97598799,0.86651658,-0.80559281,0.00169273,-0.00225048,0.03556640,-0.03545393,0.68058506,-0.58637423,0.08557441,-0.08289834,0.26035857,-0.24128423,0.24185887,-0.18877026,0.49613991,-0.47785650,0.00000000,-0.00000000
-5.96998499,0.92124046,-0.80345128,0.00179348,-0.00214961,0.03681978,-0.03529879,0.71293452,-0.58179566,0.09103012,-0.08039139,0.27623118,-0.23752455,0.25999832,-0.19469650,0.52822197,-0.47538584,0.00000000,-0.00000000
-5.96398199,0.97900990,-0.80595055,0.00192712,-0.00206855,0.03801570,-0.03535744,0.74627825,-0.58024816,0.09703463,-0.07835390,0.29306288,-0.23535649,0.27911969,-0.20166846,0.56226163,-0.47555025,0.00000000,-0.00000000
-5.95797899,1.03938873,-0.81315227,0.00209425,-0.00200868,0.03912994,-0.03562263,0.78028807,-0.58187757,0.10356488,-0.07679529,0.31071698,-0.23481920,0.29913393,-0.20969435,0.59800931,-0.47841939,0.00000000,-0.00000000
-5.95197599,1.10197127,-0.82504108,0.00229541,-0.00197190,0.04014174,-0.03608312,0.81467832,-0.58677105,0.11060179,-0.07571979,0.32906485,-0.23592892,0.31995653,-0.21876320,0.63522920,-0.48401870,0.00000000,-0.00000000
-5.94597299,1.16639053,-0.84152286,0.00253106,-0.00196050,0.04103437,-0.03672369,0.84921142,-0.59495278,0.11813054,-0.07512621,0.34798798,-0.23867823,0.34150924,-0.22884473,0.67370392,-0.49232784,0.00000000,-0.00000000
-5.93996998,1.23232311,-0.86242569,0.00280155,-0.00197702,0.04179542,-0.03752514,0.88370026,-0.60638150,0.12614029,-0.07500790,0.36737899,-0.24303577,0.36372078,-0.23989003,0.71323725,-0.50328063,0.00000000,-0.00000000
-5.93396698,1.29949030,-0.88750375,0.00310704,-0.00202416,0.04241696,-0.03846462,0.91800713,-0.62095052,0.13462347,-0.07535298,0.38714176,-0.24894671,0.38652650,-0.25183328,0.75365492,-0.51676670,0.00000000,-0.00000000
-5.92796398,1.36765525,-0.91644428,0.00344748,-0.00210466,0.04289549,-0.03951602,0.95203942,-0.63848998,0.14357461,-0.07614470,0.40719039,-0.25633391,0.40986692,-0.26459440,0.79480309,-0.53263486,0.00000000,-0.00000000
