energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.01993752,0.00243329,0.04370854,0.11111198,0.35276806,0.00000000,0.14358867,0.27949852
-5.99399700,0.93442926,0.00207807,0.04049571,0.10441553,0.32398053,0.00000000,0.13334823,0.25372807
-5.98799400,0.85468120,0.00176941,0.03743055,0.09873499,0.29749401,0.00000000,0.12408551,0.22935792
-5.98199100,0.78138652,0.00150450,0.03455220,0.09417984,0.27354904,0.00000000,0.11591675,0.20655214
-5.97598799,0.71512223,0.00128056,0.03189520,0.09084615,0.25234809,0.00000000,0.10894551,0.18543937
-5.96998499,0.65634736,0.00109489,0.02948907,0.08881537,0.23405515,0.00000000,0.10326184,0.16611308
-5.96398199,0.60540380,0.00094505,0.02735795,0.08815319,0.21879606,0.00000000,0.09894173,0.14863282
-5.95797899,0.56251951,0.00082893,0.02552046,0.08890845,0.20665958,0.00000000,0.09604674,0.13302615
-5.95197599,0.52781364,0.00074483,0.02398960,0.09111228,0.19769896,0.00000000,0.09462385,0.11929121
-5.94597299,0.50130345,0.00069154,0.02277285,0.09477731,0.19193399,0.00000000,0.09470551,0.10739980
-5.93996998,0.48291260,0.00066842,0.02187234,0.09989707,0.18935354,0.00000000,0.09630997,0.09730078
-5.93396698,0.47248043,0.00067537,0.02128509,0.10644561,0.18991839,0.00000000,0.09944166,0.08892370
-5.92796398,0.46977210,0.00071292,0.02100340,0.11437739,0.19356430,0.00000000,0.10409192,0.08218252
-5.92196098,0.47448923,0.00078222,0.02101519,0.12362743,0.20020539,0.00000000,0.11023978,0.07697937
-5.91595798,0.48628088,0.00088504,0.02130448,0.13411191,0.20973758,0.00000000,0.11785299,0.07320812
-5.90995498,0.50475463,0.00102374,0.02185186,0.14572907,0.22204221,0.00000000,0.12688920,0.07075783
-5.90395198,0.52948760,0.00120129,0.02263504,0.15836067,0.23698968,0.00000000,0.13729722,0.06951599
-5.89794897,0.56003728,0.00142118,0.02362931,0.17187384,0.25444306,0.00000000,0.14901846,0.06937142
-5.89194597,0.59595192,0.00168739,0.02480814,0.18612331,0.27426166,0.00000000,0.16198839,0.07021688
-5.88594297,0.63678034,0.00200428,0.02614367,0.20095422,0.29630433,0.00000000,0.17613802,0.07195131
-5.87993997,0.68208091,0.00237656,0.02760729,0.21620506,0.32043258,0.00000000,0.19139536,0.07448174
-5.87393697,0.73142951,0.00280911,0.02917012,0.23171103,0.34651320,0.00000000,0.20768673,0.07772472
-5.86793397,0.78442622,0.00330687,0.03080357,0.24730742,0.37442042,0.00000000,0.22493791,0.08160743
-5.86193097,0.84070052,0.00387470,0.03247974,0.26283303,0.40403734,0.00000000,0.24307500,0.08606830
-5.85592796,0.89991469,0.00451722,0.03417192,0.27813348,0.43525670,0.00000000,0.26202501,0.09105717
-5.84992496,0.96176534,0.00523857,0.03585499,0.29306415,0.46798071,0.00000000,0.28171598,0.09653504
-5.84392196,1.02598295,0.00604228,0.03750572,0.30749276,0.50212004,0.00000000,0.30207679,0.10247337
-5.83791896,1.09232921,0.00693100,0.03910313,0.32130144,0.53759186,0.00000000,0.32303647,0.10885292
-5.83191596,1.16059245,0.00790634,0.04062870,0.33438808,0.57431696,0.00000000,0.34452312,0.11566219
-5.82591296,1.23058106,0.00896862,0.04206653,0.34666712,0.61221619,0.00000000,0.36646247,0.12289549
-5.81990995,1.30211545,0.01011669,0.04340352,0.35806959,0.65120610,0.00000000,0.38877616,0.13055076
-5.81390695,1.37501862,0.01134772,0.04462940,0.36854249,0.69119423,0.00000000,0.41137985,0.13862708
-5.80790395,1.44910602,0.01265708,0.04573672,0.37804760,0.73207420,0.00000000,0.43418122,0.14712211
-5.80190095,1.52417524,0.01403817,0.04672086,0.38655979,0.77372078,0.00000000,0.45707814,0.15602950
-5.79589795,1.59999590,0.01548239,0.04757990,0.39406497,0.81598546,0.00000000,0.47995706,0.16533635
-5.78989495,1.67630063,0.01697906,0.04831452,0.40055779,0.85869256,0.00000000,0.50269178,0.17502091
-5.78389195,1.75277744,0.01851546,0.04892782,0.40603937,0.90163637,0.00000000,0.52514276,0.18505060
-5.77788894,1.82906421,0.02007694,0.04942513,0.41051498,0.94457942,0.00000000,0.54715711,0.19538045
-5.77188594,1.90474551,0.02164705,0.04981378,0.41399210,0.98725218,0.00000000,0.56856929,0.20595204
-5.76588294,1.97935215,0.02320779,0.05010286,0.41647875,1.02935416,0.00000000,0.58920258,0.21669307
-5.75987994,2.05236361,0.02473986,0.05030291,0.41798227,1.07055668,0.00000000,0.60887136,0.22751751
-5.75387694,2.12321324,0.02622306,0.05042566,0.41850858,1.11050700,0.00000000,0.62738406,0.23832643
-5.74787394,2.19129613,0.02763669,0.05048365,0.41806202,1.14883392,0.00000000,0.64454680,0.24900945
-5.74187094,2.25597931,0.02895996,0.05048991,0.41664558,1.18515448,0.00000000,0.66016751,0.25944674
-5.73586793,2.31661382,0.03017255,0.05045755,0.41426160,1.21908165,0.00000000,0.67406038,0.26951157
-5.72986493,2.37254819,0.03125507,0.05039938,0.41091287,1.25023258,0.00000000,0.68605044,0.27907319
-5.72386193,2.42314260,0.03218956,0.05032745,0.40660390,1.27823709,0.00000000,0.69597818,0.28800010
-5.71785893,2.46778330,0.03296004,0.05025271,0.40134241,1.30274612,0.00000000,0.70370376,0.29616333
-5.71185593,2.50589653,0.03355289,0.05018452,0.39514071,1.32343978,0.00000000,0.70911096,0.30343983
-5.70585293,2.53696149,0.03395733,0.05013034,0.38801713,1.34003459,0.00000000,0.71211040,0.30971573
-5.69984992,2.56052193,0.03416573,0.05009532,0.37999720,1.35228989,0.00000000,0.71264215,0.31488925
-5.69384692,2.57619602,0.03417387,0.05008209,0.37111447,1.36001297,0.00000000,0.71067746,0.31887342
-5.68784392,2.58368421,0.03398111,0.05009052,0.36141114,1.36306298,0.00000000,0.70621970,0.32159818
-5.68184092,2.58277519,0.03359047,0.05011769,0.35093824,1.36135355,0.00000000,0.69930446,0.32301206
-5.67583792,2.57334974,0.03300860,0.05015791,0.33975548,1.35485405,0.00000000,0.68999893,0.32308336
-5.66983492,2.55538287,0.03224567,0.05020286,0.32793070,1.34358969,0.00000000,0.67840056,0.32180066
-5.66383192,2.52894421,0.03131513,0.05024199,0.31553907,1.32764052,0.00000000,0.66463521,0.31917290
-5.65782891,2.49419720,0.03023341,0.05026297,0.30266202,1.30713953,0.00000000,0.64885488,0.31522893
-5.65182591,2.45139712,0.02901960,0.05025227,0.28938597,1.28227002,0.00000000,0.63123529,0.31001661
-5.64582291,2.40088836,0.02769498,0.05019597,0.27580095,1.25326245,0.00000000,0.61197330,0.30360159
-5.63981991,2.34310120,0.02628258,0.05008061,0.26199923,1.22039094,0.00000000,0.59128443,0.29606577
-5.63381691,2.27854818,0.02480677,0.04989413,0.24807389,1.18396950,0.00000000,0.56940062,0.28750558
-5.62781391,2.20782029,0.02329274,0.04962688,0.23411754,1.14434821,0.00000000,0.54656824,0.27803016
-5.62181091,2.13158288,0.02176613,0.04927263,0.22022120,1.10190935,0.00000000,0.52304645,0.26775938
-5.61580790,2.05057138,0.02025264,0.04882958,0.20647327,1.05706353,0.00000000,0.49910597,0.25682202
-5.60980490,1.96558662,0.01877768,0.04830122,0.19295877,1.01024582,0.00000000,0.47502813,0.24535386
-5.60380190,1.87748968,0.01736614,0.04769721,0.17975869,0.96191180,0.00000000,0.45110423,0.23349593
-5.59779890,1.78719597,0.01604219,0.04703397,0.16694965,0.91253360,0.00000000,0.42763516,0.22139287
-5.59179590,1.69566849,0.01482916,0.04633516,0.15460356,0.86259568,0.00000000,0.40493094,0.20919129
-5.58579290,1.60391000,0.01374950,0.04563189,0.14278757,0.81259047,0.00000000,0.38331027,0.19703836
-5.57978989,1.51295398,0.01282475,0.04496275,0.13156408,0.76301370,0.00000000,0.36309984,0.18508042
-5.57378689,1.42385427,0.01207557,0.04437352,0.12099078,0.71435942,0.00000000,0.34463316,0.17346162
-5.56778389,1.33767343,0.01152182,0.04391660,0.11112079,0.66711472,0.00000000,0.32824886,0.16232270
-5.56178089,1.25546977,0.01118259,0.04365022,0.10200277,0.62175414,0.00000000,0.31428821,0.15179968
-5.55577789,1.17828319,0.01107624,0.04363732,0.09368104,0.57873386,0.00000000,0.30309184,0.14202259
-5.54977489,1.10711999,0.01122037,0.04394421,0.08619557,0.53848570,0.00000000,0.29499546,0.13311421
-5.54377189,1.04293691,0.01163176,0.04463898,0.07958204,0.50141105,0.00000000,0.29032452,0.12518871
-5.53776888,0.98662463,0.01232619,0.04578965,0.07387160,0.46787487,0.00000000,0.28938794,0.11835028
-5.53176588,0.93899105,0.01331820,0.04746229,0.06909078,0.43819982,0.00000000,0.29247076,0.11269168
-5.52576288,0.90074481,0.01462077,0.04971880,0.06526108,0.41266082,0.00000000,0.29982597,0.10829283
-5.51975988,0.87247928,0.01624484,0.05261477,0.06239862,0.39147991,0.00000000,0.31166560,0.10521931
-5.51375688,0.85465762,0.01819881,0.05619726,0.06051362,0.37482191,0.00000000,0.32815140,0.10352094
-5.50775388,0.84759921,0.02048795,0.06050259,0.05960988,0.36279070,0.00000000,0.34938530,0.10323034
-5.50175088,0.85146797,0.02311370,0.06555429,0.05968417,0.35542647,0.00000000,0.37540013,0.10436173
-5.49574787,0.86626303,0.02607310,0.07136121,0.06072565,0.35270401,0.00000000,0.40615096,0.10690974
-5.48974487,0.89181216,0.02935808,0.07791588,0.06271530,0.35453206,0.00000000,0.44150755,0.11084856
-5.48374187,0.92776849,0.03295488,0.08519328,0.06562542,0.36075398,0.00000000,0.48124830,0.11613137
-5.47773887,0.97361077,0.03684361,0.09314994,0.06941928,0.37114975,0.00000000,0.52505631,0.12269004
-5.47173587,1.02864764,0.04099785,0.10172362,0.07405079,0.38543928,0.00000000,0.57251786,0.13043542
-5.46573287,1.09202609,0.04538454,0.11083350,0.07946454,0.40328713,0.00000000,0.62312373,0.13925794
-5.45972986,1.16274413,0.04996399,0.12038095,0.08559589,0.42430862,0.00000000,0.67627362,0.14902879
-5.45372686,1.23966783,0.05469018,0.13025096,0.09237140,0.44807719,0.00000000,0.73128392,0.15960172
-5.44772386,1.32155232,0.05951127,0.14031417,0.09970944,0.47413287,0.00000000,0.78739871,0.17081518
-5.44172086,1.40706658,0.06437042,0.15042947,0.10752113,0.50199175,0.00000000,0.84380399,0.18249522
-5.43571786,1.49482113,0.06920677,0.16044719,0.11571146,0.53115617,0.00000000,0.89964478,0.19445860
-5.42971486,1.58339822,0.07395669,0.17021264,0.12418059,0.56112521,0.00000000,0.95404461,0.20651651
-5.42371186,1.67138321,0.07855521,0.17957008,0.13282544,0.59140539,0.00000000,1.00612689,0.21847838
-5.41770885,1.75739634,0.08293752,0.18836685,0.14154126,0.62152089,0.00000000,1.05503721,0.23015599
-5.41170585,1.84012359,0.08704063,0.19645757,0.15022335,0.65102321,0.00000000,1.09996598,0.24136748
-5.40570285,1.91834546,0.09080494,0.20370816,0.15876873,0.67949966,0.00000000,1.14017026,0.25194133
-5.39969985,1.99096253,0.09417581,0.20999966,0.16707770,0.70658044,0.00000000,1.17499409,0.26171994
-5.39369685,2.05701682,0.09710502,0.21523156,0.17505539,0.73194401,0.00000000,1.20388622,0.27056291
-5.38769385,2.11570792,0.09955192,0.21932456,0.18261291,0.75532057,0.00000000,1.22641467,0.27834963
-5.38169085,2.16640346,0.10148454,0.22222258,0.18966850,0.77649337,0.00000000,1.24227729,0.28498131
-5.37568784,2.20864343,0.10288019,0.22389409,0.19614818,0.79529813,0.00000000,1.25130801,0.29038229
-5.36968484,2.24213842,0.10372594,0.22433242,0.20198634,0.81162033,0.00000000,1.25347836,0.29450051
-5.36368184,2.26676193,0.10401865,0.22355537,0.20712597,0.82539083,0.00000000,1.24889437,0.29730728
-5.35767884,2.28253753,0.10376477,0.22160388,0.21151863,0.83658006,0.00000000,1.23778897,0.29879636
-5.35167584,2.28962164,0.10297977,0.21854000,0.21512434,0.84519111,0.00000000,1.22051030,0.29898238
-5.34567284,2.28828298,0.10168736,0.21444421,0.21791128,0.85125231,0.00000000,1.19750654,0.29789872
-5.33966983,2.27888008,0.09991849,0.20941216,0.21985539,0.85480961,0.00000000,1.16930810,0.29559501
-5.33366683,2.26183812,0.09771017,0.20355113,0.22094003,0.85591940,0.00000000,1.13650793,0.29213444
-5.32766383,2.23762626,0.09510419,0.19697630,0.22115569,0.85464219,0.00000000,1.09974097,0.28759086
-5.32166083,2.20673697,0.09214583,0.18980689,0.22049967,0.85103742,0.00000000,1.05966364,0.28204603
-5.31565783,2.16966804,0.08888255,0.18216265,0.21897602,0.84515984,0.00000000,1.01693434,0.27558696
-5.30965483,2.12690834,0.08536279,0.17416048,0.21659556,0.83705755,0.00000000,0.97219555,0.26830363
-5.30365183,2.07892765,0.08163486,0.16591157,0.21337596,0.82677181,0.00000000,0.92605853,0.26028693
-5.29764882,2.02617081,0.07774598,0.15751901,0.20934196,0.81433852,0.00000000,0.87909066,0.25162714
-5.29164582,1.96905615,0.07374150,0.14907604,0.20452565,0.79979117,0.00000000,0.83180617,0.24241277
-5.28564282,1.90797764,0.06966430,0.14066486,0.19896672,0.78316505,0.00000000,0.78466001,0.23272977
-5.27963982,1.84331025,0.06555437,0.13235607,0.19271261,0.76450226,0.00000000,0.73804496,0.22266116
-5.27363682,1.77541765,0.06144854,0.12420861,0.18581856,0.74385714,0.00000000,0.69229174,0.21228697
-5.26763382,1.70466135,0.05738039,0.11627032,0.17834746,0.72130171,0.00000000,0.64767168,0.20168434
-5.26163082,1.63141022,0.05338026,0.10857871,0.17036951,0.69693059,0.00000000,0.60440148,0.19092783
-5.25562781,1.55604952,0.04947539,0.10116227,0.16196151,0.67086515,0.00000000,0.56264963,0.18008972
-5.24962481,1.47898864,0.04569006,0.09404179,0.15320601,0.64325644,0.00000000,0.52254381,0.16924040
-5.24362181,1.40066677,0.04204591,0.08723186,0.14419011,0.61428668,0.00000000,0.48417871,0.15844856
-5.23761881,1.32155606,0.03856210,0.08074243,0.13500405,0.58416929,0.00000000,0.44762399,0.14778133
-5.23161581,1.24216199,0.03525564,0.07458018,0.12573970,0.55314727,0.00000000,0.41293163,0.13730428
-5.22561281,1.16302093,0.03214159,0.06874980,0.11648883,0.52149010,0.00000000,0.38014257,0.12708115
-5.21960980,1.08469499,0.02923328,0.06325512,0.10734143,0.48948924,0.00000000,0.34929236,0.11717359
-5.21360680,1.00776449,0.02654248,0.05809990,0.09838407,0.45745261,0.00000000,0.32041553,0.10764060
-5.20760380,0.93281856,0.02407956,0.05328850,0.08969831,0.42569815,0.00000000,0.29354875,0.09853798
-5.20160080,0.86044441,0.02185353,0.04882624,0.08135946,0.39454692,0.00000000,0.26873281,0.08991768
-5.19559780,0.79121578,0.01987215,0.04471954,0.07343542,0.36431602,0.00000000,0.24601342,0.08182708
-5.18959480,0.72568138,0.01814190,0.04097589,0.06598596,0.33531170,0.00000000,0.22544101,0.07430839
-5.18359180,0.66435362,0.01666794,0.03760363,0.05906226,0.30782279,0.00000000,0.20706969,0.06739801
-5.17758879,0.60769830,0.01545408,0.03461163,0.05270675,0.28211493,0.00000000,0.19095552,0.06112602
-5.17158579,0.55612553,0.01450267,0.03200881,0.04695339,0.25842553,0.00000000,0.17715435,0.05551575
-5.16558279,0.50998220,0.01381442,0.02980369,0.04182804,0.23695978,0.00000000,0.16571925,0.05058350
-5.15957979,0.46954610,0.01338830,0.02800382,0.03734925,0.21788760,0.00000000,0.15669781,0.04633829
-5.15357679,0.43502182,0.01322131,0.02661527,0.03352910,0.20134172,0.00000000,0.15012939,0.04278185
-5.14757379,0.40653829,0.01330829,0.02564211,0.03037421,0.18741660,0.00000000,0.14604239,0.03990860
-5.14157079,0.38414796,0.01364172,0.02508594,0.02788676,0.17616833,0.00000000,0.14445166,0.03770578
-5.13556778,0.36782741,0.01421149,0.02494543,0.02606550,0.16761534,0.00000000,0.14535618,0.03615365
-5.12956478,0.35747928,0.01500475,0.02521600,0.02490668,0.16173975,0.00000000,0.14873697,0.03522580
-5.12356178,0.35293533,0.01600573,0.02588952,0.02440484,0.15848925,0.00000000,0.15455531,0.03488945
-5.11755878,0.35396055,0.01719567,0.02695407,0.02455341,0.15777959,0.00000000,0.16275141,0.03510591
-5.11155578,0.36025813,0.01855278,0.02839383,0.02534512,0.15949728,0.00000000,0.17324350,0.03583106
-5.10555278,0.37147534,0.02005234,0.03018906,0.02677228,0.16350279,0.00000000,0.18592738,0.03701588
-5.09954977,0.38721016,0.02166686,0.03231616,0.02882674,0.16963387,0.00000000,0.20067663,0.03860718
-5.09354677,0.40701873,0.02336640,0.03474783,0.03149979,0.17770922,0.00000000,0.21734326,0.04054827
-5.08754377,0.43042357,0.02511903,0.03745335,0.03478190,0.18753236,0.00000000,0.23575915,0.04277981
-5.08154077,0.45692248,0.02689137,0.04039897,0.03866242,0.19889573,0.00000000,0.25573806,0.04524080
-5.07553777,0.48599828,0.02864928,0.04354837,0.04312921,0.21158494,0.00000000,0.27707827,0.04786955
-5.06953477,0.51712901,0.03035871,0.04686324,0.04816836,0.22538323,0.00000000,0.29956593,0.05060487
-5.06353177,0.54979868,0.03198654,0.05030394,0.05376407,0.24007607,0.00000000,0.32297883,0.05338718
-5.05752876,0.58350826,0.03350161,0.05383020,0.05989866,0.25545575,0.00000000,0.34709074,0.05615980
-5.05152576,0.61778673,0.03487563,0.05740191,0.06655276,0.27132597,0.00000000,0.37167602,0.05887015
-5.04552276,0.65220172,0.03608418,0.06097984,0.07370588,0.28750632,0.00000000,0.39651438,0.06147093
-5.03951976,0.68636956,0.03710762,0.06452644,0.08133714,0.30383637,0.00000000,0.42139567,0.06392123
-5.03351676,0.71996424,0.03793190,0.06800655,0.08942629,0.32017940,0.00000000,0.44612441,0.06618751
-5.02751376,0.75272491,0.03854918,0.07138805,0.09795492,0.33642551,0.00000000,0.47052391,0.06824437
-5.02151076,0.78446153,0.03895833,0.07464237,0.10690783,0.35249399,0.00000000,0.49443976,0.07007512
-5.01550775,0.81505836,0.03916520,0.07774493,0.11627444,0.36833475,0.00000000,0.51774253,0.07167208
-5.00950475,0.84447497,0.03918263,0.08067545,0.12605009,0.38392877,0.00000000,0.54032948,0.07303662
-5.00350175,0.87274458,0.03903019,0.08341799,0.13623717,0.39928741,0.00000000,0.56212524,0.07417884
-4.99749875,0.89996971,0.03873376,0.08596096,0.14684584,0.41445058,0.00000000,0.58308129,0.07511701
-4.99149575,0.92631508,0.03832477,0.08829688,0.15789429,0.42948372,0.00000000,0.60317437,0.07587669
-4.98549275,0.95199794,0.03783925,0.09042208,0.16940837,0.44447368,0.00000000,0.62240368,0.07648957
-4.97948974,0.97727619,0.03731670,0.09233614,0.18142042,0.45952357,0.00000000,0.64078717,0.07699214
-4.97348674,1.00243452,0.03679878,0.09404137,0.19396739,0.47474675,0.00000000,0.65835696,0.07742412
-4.96748374,1.02776924,0.03632794,0.09554214,0.20708801,0.49026020,0.00000000,0.67515412,0.07782685
-4.96148074,1.05357229,0.03594590,0.09684420,0.22081932,0.50617745,0.00000000,0.69122310,0.07824152
-4.95547774,1.08011506,0.03569222,0.09795399,0.23519232,0.52260138,0.00000000,0.70660603,0.07870756
-4.94947474,1.10763272,0.03560285,0.09887804,0.25022729,0.53961722,0.00000000,0.72133719,0.07926099
-4.94347174,1.13630975,0.03570883,0.09962237,0.26592862,0.55728602,0.00000000,0.73543802,0.07993299
-4.93746873,1.16626727,0.03603508,0.10019207,0.28227971,0.57563884,0.00000000,0.74891278,0.08074867
-4.93146573,1.19755267,0.03659946,0.10059097,0.29923808,0.59467205,0.00000000,0.76174518,0.08172607
-4.92546273,1.23013222,0.03741199,0.10082142,0.31673112,0.61434384,0.00000000,0.77389622,0.08287546
-4.91945973,1.26388674,0.03847439,0.10088430,0.33465274,0.63457225,0.00000000,0.78530322,0.08419894
-4.91345673,1.29861072,0.03977983,0.10077910,0.35286133,0.65523467,0.00000000,0.79588021,0.08569043
-4.90745373,1.33401496,0.04131302,0.10050415,0.37117910,0.67616908,0.00000000,0.80551962,0.08733585
-4.90145073,1.36973246,0.04305060,0.10005696,0.38939331,0.69717676,0.00000000,0.81409519,0.08911371
-4.89544772,1.40532753,0.04496173,0.09943463,0.40725915,0.71802657,0.00000000,0.82146596,0.09099591
-4.88944472,1.44030758,0.04700902,0.09863433,0.42450463,0.73846057,0.00000000,0.82748115,0.09294876
-4.88344172,1.47413713,0.04914960,0.09765378,0.44083705,0.75820064,0.00000000,0.83198568,0.09493421
-4.87743872,1.50625349,0.05133643,0.09649169,0.45595114,0.77695605,0.00000000,0.83482597,0.09691113
-4.87143572,1.53608337,0.05351972,0.09514819,0.46953839,0.79443146,0.00000000,0.83585594,0.09883671
-4.86543272,1.56305979,0.05564841,0.09362518,0.48129725,0.81033516,0.00000000,0.83494270,0.10066785
-4.85942971,1.58663858,0.05767171,0.09192654,0.49094368,0.82438717,0.00000000,0.83197184,0.10236243
-4.85342671,1.60631396,0.05954059,0.09005829,0.49822164,0.83632690,0.00000000,0.82685197,0.10388060
-4.84742371,1.62163242,0.06120918,0.08802860,0.50291294,0.84592009,0.00000000,0.81951846,0.10518581
-4.84142071,1.63220465,0.06263605,0.08584770,0.50484594,0.85296483,0.00000000,0.80993616,0.10624572
-4.83541771,1.63771514,0.06378530,0.08352769,0.50390277,0.85729646,0.00000000,0.79810106,0.10703290
-4.82941471,1.63792907,0.06462743,0.08108231,0.50002451,0.85879122,0.00000000,0.78404094,0.10752534
-4.82341171,1.63269667,0.06514003,0.07852653,0.49321426,0.85736861,0.00000000,0.76781489,0.10770674
-4.81740870,1.62195488,0.06530813,0.07587627,0.48353786,0.85299245,0.00000000,0.74951207,0.10756660
