energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.71107173,0.03027438,0.01480728,0.15478505,0.27428318,0.28945035,0.00000000,0.20288642,0.08368294
-5.99399700,0.76063927,0.03215292,0.01702622,0.16534787,0.28956864,0.30888700,0.00000000,0.22202105,0.08938021
-5.98799400,0.81187173,0.03398744,0.01945741,0.17629949,0.30468786,0.32886375,0.00000000,0.24204167,0.09541219
-5.98199100,0.86444666,0.03576225,0.02209674,0.18754203,0.31956638,0.34924900,0.00000000,0.26286731,0.10171835
-5.97598799,0.91804057,0.03746265,0.02493518,0.19897482,0.33415485,0.36991392,0.00000000,0.28439785,0.10823415
-5.96998499,0.97233260,0.03907534,0.02795835,0.21049560,0.34843121,0.39073410,0.00000000,0.30651311,0.11489179
-5.96398199,1.02700720,0.04058870,0.03114618,0.22200170,0.36240168,0.41159068,0.00000000,0.32907232,0.12162093
-5.95797899,1.08175558,0.04199307,0.03447283,0.23339095,0.37610024,0.43237084,0.00000000,0.35191410,0.12834948
-5.95197599,1.13627629,0.04328098,0.03790670,0.24456254,0.38958668,0.45296776,0.00000000,0.37485707,0.13500447
-5.94597299,1.19027490,0.04444726,0.04141070,0.25541785,0.40294325,0.47328015,0.00000000,0.39770105,0.14151289
-5.93996998,1.24346305,0.04548911,0.04494272,0.26586107,0.41626995,0.49321133,0.00000000,0.42022909,0.14780260
-5.93396698,1.29555715,0.04640613,0.04845632,0.27579989,0.42967875,0.51266815,0.00000000,0.44221026,0.15380334
-5.92796398,1.34627691,0.04720012,0.05190164,0.28514619,0.44328693,0.53155964,0.00000000,0.46340319,0.15944772
-5.92196098,1.39534409,0.04787500,0.05522652,0.29381673,0.45720984,0.54979587,0.00000000,0.48356037,0.16467221
-5.91595798,1.44248158,0.04843646,0.05837772,0.30173387,0.47155350,0.56728679,0.00000000,0.50243308,0.16941822
-5.90995498,1.48741312,0.04889165,0.06130233,0.30882636,0.48640729,0.58394145,0.00000000,0.51977676,0.17363304
-5.90395198,1.52986370,0.04924878,0.06394924,0.31503019,0.50183713,0.59966756,0.00000000,0.53535685,0.17727074
-5.89794897,1.56956088,0.04951667,0.06627059,0.32028945,0.51787957,0.61437145,0.00000000,0.54895457,0.18029302
-5.89194597,1.60623688,0.04970425,0.06822324,0.32455716,0.53453694,0.62795852,0.00000000,0.56037270,0.18266986
-5.88594297,1.63963141,0.04982011,0.06977005,0.32779609,0.55177385,0.64033416,0.00000000,0.56944099,0.18438000
-5.87993997,1.66949524,0.04987200,0.07088112,0.32997950,0.56951525,0.65140498,0.00000000,0.57602098,0.18541125
-5.87393697,1.69559412,0.04986644,0.07153473,0.33109171,0.58764614,0.66108054,0.00000000,0.58001002,0.18576057
-5.86793397,1.71771310,0.04980832,0.07171804,0.33112853,0.60601279,0.66927513,0.00000000,0.58134437,0.18543395
-5.86193097,1.73566073,0.04970068,0.07142753,0.33009746,0.62442563,0.67590984,0.00000000,0.58000109,0.18444602
-5.85592796,1.74927317,0.04954448,0.07066913,0.32801768,0.64266352,0.68091455,0.00000000,0.57599890,0.18281953
-5.84992496,1.75841789,0.04933863,0.06945803,0.32491976,0.66047925,0.68422988,0.00000000,0.56939767,0.18058461
-5.84392196,1.76299681,0.04908006,0.06781816,0.32084516,0.67760603,0.68580891,0.00000000,0.56029686,0.17777785
-5.83791896,1.76294883,0.04876397,0.06578147,0.31584552,0.69376470,0.68561867,0.00000000,0.54883279,0.17444139
-5.83191596,1.75825165,0.04838419,0.06338691,0.30998174,0.70867142,0.68364131,0.00000000,0.53517509,0.17062186
-5.82591296,1.74892295,0.04793372,0.06067921,0.30332298,0.72204543,0.67987497,0.00000000,0.51952226,0.16636936
-5.81990995,1.73502100,0.04740529,0.05770758,0.29594557,0.73361686,0.67433427,0.00000000,0.50209680,0.16173646
-5.81390695,1.71664479,0.04679213,0.05452426,0.28793186,0.74313403,0.66705058,0.00000000,0.48314000,0.15677736
-5.80790395,1.69393392,0.04608866,0.05118311,0.27936930,0.75037038,0.65807211,0.00000000,0.46290662,0.15154708
-5.80190095,1.66706834,0.04529129,0.04773818,0.27034942,0.75513052,0.64746370,0.00000000,0.44165979,0.14610085
-5.79589795,1.63626812,0.04439915,0.04424247,0.26096716,0.75725566,0.63530671,0.00000000,0.41966620,0.14049372
-5.78989495,1.60179352,0.04341486,0.04074671,0.25132035,0.75662792,0.62169878,0.00000000,0.39719174,0.13478025
-5.78389195,1.56394520,0.04234505,0.03729844,0.24150935,0.75317381,0.60675372,0.00000000,0.37449792,0.12901445
-5.77788894,1.52306484,0.04120093,0.03394120,0.23163704,0.74686667,0.59060141,0.00000000,0.35183884,0.12324983
-5.77188594,1.47953603,0.03999862,0.03071401,0.22180888,0.73772810,0.57338788,0.00000000,0.32945898,0.11753963
-5.76588294,1.43378529,0.03875931,0.02765105,0.21213323,0.72582844,0.55527540,0.00000000,0.30759168,0.11193706
-5.75987994,1.38628306,0.03750933,0.02478154,0.20272167,0.71128624,0.53644264,0.00000000,0.28645833,0.10649565
-5.75387694,1.33754439,0.03627987,0.02212987,0.19368942,0.69426681,0.51708471,0.00000000,0.26626813,0.10126956
-5.74787394,1.28812903,0.03510670,0.01971584,0.18515559,0.67497988,0.49741313,0.00000000,0.24721825,0.09631389
-5.74187094,1.23864049,0.03402956,0.01755510,0.17724335,0.65367629,0.47765540,0.00000000,0.22949440,0.09168481
-5.73586793,1.18972375,0.03309142,0.01565965,0.17007971,0.63064394,0.45805424,0.00000000,0.21327149,0.08743958
-5.72986493,1.14206132,0.03233763,0.01403841,0.16379504,0.60620282,0.43886618,0.00000000,0.19871435,0.08363640
-5.72386193,1.09636715,0.03181483,0.01269783,0.15852201,0.58069937,0.42035951,0.00000000,0.18597820,0.08033398
-5.71785893,1.05337832,0.03156983,0.01164246,0.15439411,0.55450007,0.40281143,0.00000000,0.17520889,0.07759088
-5.71185593,1.01384422,0.03164830,0.01087543,0.15154346,0.52798449,0.38650429,0.00000000,0.16654259,0.07546460
-5.70585293,0.97851320,0.03209347,0.01039891,0.15009815,0.50153770,0.37172092,0.00000000,0.16010503,0.07401031
-5.69984992,0.94811679,0.03294469,0.01021438,0.15017891,0.47554246,0.35873911,0.00000000,0.15601000,0.07327947
-5.69384692,0.92335174,0.03423607,0.01032281,0.15189521,0.45037101,0.34782515,0.00000000,0.15435716,0.07331808
-5.68784392,0.90486014,0.03599503,0.01072464,0.15534103,0.42637696,0.33922678,0.00000000,0.15522924,0.07416480
