energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,1.74389837,0.02407600,0.03426251,0.39447228,1.15915130,0.00000000,0.36254892,0.20212071
-5.99399700,1.74774459,0.02377320,0.03398300,0.39594850,1.16337031,0.00000000,0.36595866,0.20261389
-5.98799400,1.74822191,0.02342370,0.03362035,0.39690930,1.16537281,0.00000000,0.36970099,0.20256970
-5.98199100,1.74609016,0.02304164,0.03319303,0.39755113,1.16564367,0.00000000,0.37402606,0.20206376
-5.97598799,1.74219109,0.02264137,0.03272110,0.39809433,1.16472422,0.00000000,0.37919175,0.20118389
-5.96998499,1.73742617,0.02223712,0.03222581,0.39877813,1.16319755,0.00000000,0.38545581,0.20002811
-5.96398199,1.73273169,0.02184256,0.03172920,0.39985496,1.16167199,0.00000000,0.39306770,0.19870231
-5.95797899,1.72905158,0.02147036,0.03125370,0.40158401,1.16076287,0.00000000,0.40225997,0.19731752
-5.95197599,1.72730872,0.02113186,0.03082163,0.40422431,1.16107310,0.00000000,0.41323980,0.19598686
-5.94597299,1.72837550,0.02083673,0.03045483,0.40802735,1.16317319,0.00000000,0.42618059,0.19482234
-5.93996998,1.73304448,0.02059262,0.03017414,0.41322951,1.16758125,0.00000000,0.44121416,0.19393144
-5.93396698,1.74200016,0.02040498,0.02999900,0.42004430,1.17474367,0.00000000,0.45842354,0.19341371
-5.92796398,1.75579285,0.02027684,0.02994695,0.42865490,1.18501722,0.00000000,0.47783692,0.19335743
-5.92196098,1.77481567,0.02020873,0.03003330,0.43920691,1.19865324,0.00000000,0.49942277,0.19383655
-5.91595798,1.79928564,0.02019862,0.03027064,0.45180179,1.21578474,0.00000000,0.52308648,0.19490781
-5.90995498,1.82922964,0.02024204,0.03066854,0.46649105,1.23641672,0.00000000,0.54866873,0.19660847
-5.90395198,1.86447604,0.02033216,0.03123319,0.48327147,1.26042061,0.00000000,0.57594564,0.19895446
-5.89794897,1.90465248,0.02046007,0.03196718,0.50208155,1.28753279,0.00000000,0.60463093,0.20193917
