energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,2.43278096,0.02122821,0.15050073,1.08587893,0.21301925,0.98746496,1.25963732,0.85718832,0.00000000
-5.99399700,2.45204200,0.02167109,0.15301542,1.09236233,0.21970111,0.97303851,1.26750396,0.86316526,0.00000000
-5.98799400,2.46594998,0.02210211,0.15560754,1.09735785,0.22648790,0.95976506,1.27083294,0.86751126,0.00000000
-5.98199100,2.47535043,0.02251767,0.15832867,1.10139937,0.23348274,0.94828649,1.27003966,0.87056165,0.00000000
-5.97598799,2.48131977,0.02291581,0.16124089,1.10512510,0.24080993,0.93927618,1.26567643,0.87273360,0.00000000
-5.96998499,2.48513246,0.02329622,0.16441487,1.10926137,0.24861161,0.93342417,1.25841392,0.87451531,0.00000000
-5.96398199,2.48821933,0.02366005,0.16792728,1.11460180,0.25704346,0.93142022,1.24901783,0.87645199,0.00000000
-5.95797899,2.49211856,0.02400968,0.17185773,1.12198254,0.26626958,0.93393508,1.23832183,0.87912892,0.00000000
-5.95197599,2.49842099,0.02434850,0.17628537,1.13225422,0.27645665,0.94160030,1.22719765,0.88315227,0.00000000
-5.94597299,2.50871168,0.02468055,0.18128506,1.14625145,0.28776754,0.95498698,1.21652372,0.88912803,0.00000000
-5.93996998,2.52450990,0.02501019,0.18692350,1.16476081,0.30035467,0.97458417,1.20715356,0.89764002,0.00000000
-5.93396698,2.54720981,0.02534175,0.19325528,1.18848848,0.31435313,1.00077755,1.19988497,0.90922738,0.00000000
-5.92796398,2.57802384,0.02567920,0.20031909,1.21802867,0.32987403,1.03382911,1.19543152,0.92436272,0.00000000
-5.92196098,2.61793118,0.02602579,0.20813432,1.25383407,0.34699819,1.07385868,1.19439714,0.94343136,0.00000000
-5.91595798,2.66763306,0.02638380,0.21669802,1.29618934,0.36577043,1.12082811,1.19725486,0.96671265,0.00000000
-5.90995498,2.72751666,0.02675427,0.22598265,1.34518906,0.38619472,1.17452893,1.20433039,0.99436412,0.00000000
-5.90395198,2.79762912,0.02713685,0.23593450,1.40072094,0.40823040,1.23457429,1.21579111,1.02640897,0.00000000
-5.89794897,2.87766262,0.02752964,0.24647309,1.46245519,0.43178966,1.30039573,1.23164070,1.06272755,0.00000000
-5.89194597,2.96695131,0.02792918,0.25749158,1.52984093,0.45673635,1.37124544,1.25171971,1.10305336,0.00000000
-5.88594297,3.06448042,0.02833044,0.26885810,1.60210990,0.48288645,1.44620431,1.27571166,1.14697374,0.00000000
-5.87993997,3.16890742,0.02872693,0.28041832,1.67828785,0.51000993,1.52419583,1.30315470,1.19393547,0.00000000
-5.87393697,3.27859479,0.02911082,0.29199886,1.75721348,0.53783436,1.60400599,1.33345814,1.24325534,0.00000000
-5.86793397,3.39165340,0.02947318,0.30341176,1.83756458,0.56604994,1.68430861,1.36592325,1.29413537,0.00000000
-5.86193097,3.50599536,0.02980423,0.31445963,1.91789078,0.59431602,1.76369564,1.39976770,1.34568244,0.00000000
-5.85592796,3.61939456,0.03009361,0.32494152,1.99665182,0.62226887,1.84071164,1.43415264,1.39693178,0.00000000
-5.84992496,3.72955319,0.03033075,0.33465910,2.07226041,0.64953053,1.91389136,1.46821162,1.44687351,0.00000000
-5.84392196,3.83417182,0.03050517,0.34342310,2.14312788,0.67571840,1.98179916,1.50108034,1.49448159,0.00000000
-5.83791896,3.93102102,0.03060688,0.35105953,2.20771139,0.70045544,2.04306913,1.53192631,1.53874401,0.00000000
-5.83191596,4.01801180,0.03062666,0.35741563,2.26456069,0.72338039,2.09644417,1.55997744,1.57869339,0.00000000
-5.82591296,4.09326274,0.03055640,0.36236518,2.31236281,0.74415796,2.14081285,1.58454876,1.61343665,0.00000000
-5.81990995,4.15516120,0.03038939,0.36581287,2.34998295,0.76248835,2.17524256,1.60506633,1.64218295,0.00000000
-5.81390695,4.20241671,0.03012059,0.36769773,2.37649994,0.77811600,2.19900768,1.62108773,1.66426858,0.00000000
-5.80790395,4.23410432,0.02974675,0.36799522,2.39123486,0.79083700,2.21161163,1.63231847,1.67917800,0.00000000
-5.80190095,4.24969664,0.02926661,0.36671806,2.39377178,0.80050514,2.21280201,1.63862378,1.68656021,0.00000000
-5.79589795,4.24908316,0.02868097,0.36391569,2.38396957,0.80703607,2.20257818,1.64003559,1.68623969,0.00000000
-5.78989495,4.23257618,0.02799266,0.35967235,2.36196468,0.81040964,2.18119098,1.63675428,1.67822160,0.00000000
-5.78389195,4.20090310,0.02720654,0.35410391,2.32816451,0.81067008,2.14913464,1.62914536,1.66269089,0.00000000
-5.77788894,4.15518525,0.02632937,0.34735364,2.28323186,0.80792417,2.10713109,1.61773098,1.64000553,0.00000000
-5.77188594,4.09690404,0.02536964,0.33958692,2.22806115,0.80233732,2.05610749,1.60317662,1.61068389,0.00000000
-5.76588294,4.02785549,0.02433735,0.33098541,2.16374742,0.79412769,1.99716761,1.58627331,1.57538706,0.00000000
-5.75987994,3.95009483,0.02324379,0.32174066,2.09154945,0.78355863,1.93155830,1.56791585,1.53489652,0.00000000
-5.75387694,3.86587291,0.02210122,0.31204764,2.01284854,0.77092959,1.86063230,1.54907764,1.49008828,0.00000000
-5.74787394,3.77756686,0.02092257,0.30209834,1.92910463,0.75656595,1.78580866,1.53078279,1.44190439,0.00000000
-5.74187094,3.68760712,0.01972111,0.29207570,1.84181147,0.74080810,1.70853220,1.51407641,1.39132299,0.00000000
-5.73586793,3.59840351,0.01851017,0.28214828,1.75245260,0.72400013,1.63023348,1.49999374,1.33932797,0.00000000
-5.72986493,3.51227273,0.01730277,0.27246554,1.66245967,0.70647878,1.55229044,1.48952910,1.28687945,0.00000000
-5.72386193,3.43136967,0.01611136,0.26315424,1.57317472,0.68856278,1.47599302,1.48360560,1.23488611,0.00000000
-5.71785893,3.35762490,0.01494756,0.25431572,1.48581737,0.67054328,1.40251180,1.48304635,1.18418036,0.00000000
-5.71185593,3.29269016,0.01382188,0.24602442,1.40145810,0.65267557,1.33287138,1.48854813,1.13549719,0.00000000
-5.70585293,3.23789364,0.01274361,0.23832741,1.32099826,0.63517249,1.26792933,1.50065827,1.08945726,0.00000000
-5.69984992,3.19420634,0.01172057,0.23124497,1.24515701,0.61819978,1.20836095,1.51975556,1.04655486,0.00000000
-5.69384692,3.16222050,0.01075910,0.22477212,1.17446540,0.60187341,1.15465016,1.54603562,1.00715080,0.00000000
-5.68784392,3.14214047,0.00986393,0.21888101,1.10926738,0.58625919,1.10708651,1.57950141,0.97147044,0.00000000
-5.68184092,3.13378625,0.00903825,0.21352396,1.04972712,0.57137434,1.06576806,1.61995924,0.93960659,0.00000000
-5.67583792,3.13660918,0.00828368,0.20863700,0.99584205,0.55719116,1.03060981,1.66702032,0.91152705,0.00000000
-5.66983492,3.14971927,0.00760040,0.20414379,0.94746081,0.54364242,1.00135709,1.72010817,0.88708616,0.00000000
-5.66383192,3.17192270,0.00698721,0.19995964,0.90430493,0.53062822,0.97760342,1.77847146,0.86603983,0.00000000
-5.65782891,3.20176839,0.00644177,0.19599563,0.86599335,0.51802397,0.95881186,1.84120226,0.84806324,0.00000000
-5.65182591,3.23760161,0.00596068,0.19216252,0.83206858,0.50568913,0.94433928,1.90725908,0.83277042,0.00000000
-5.64582291,3.27762293,0.00553973,0.18837442,0.80202348,0.49347620,0.93346257,1.97549399,0.81973489,0.00000000
-5.63981991,3.31995018,0.00517408,0.18455209,0.77532753,0.48123962,0.92540584,2.04468321,0.80851037,0.00000000
-5.63381691,3.36268154,0.00485849,0.18062579,0.75145177,0.46884412,0.91936801,2.11356013,0.79865102,0.00000000
-5.62781391,3.40395732,0.00458750,0.17653762,0.72989149,0.45617222,0.91454960,2.18084969,0.78973010,0.00000000
-5.62181091,3.44201864,0.00435563,0.17224333,0.71018608,0.44313049,0.91017822,2.24530311,0.78135668,0.00000000
-5.61580790,3.47526078,0.00415760,0.16771358,0.69193543,0.42965438,0.90553193,2.30573183,0.77318979,0.00000000
-5.60980490,3.50227988,0.00398844,0.16293463,0.67481256,0.41571155,0.89995982,2.36103936,0.76494944,0.00000000
-5.60380190,3.52191113,0.00384365,0.15790855,0.65857235,0.40130340,0.89289932,2.41025022,0.75642448,0.00000000
-5.59779890,3.53325781,0.00371936,0.15265291,0.64305625,0.38646510,0.88388990,2.45253473,0.74747697,0.00000000
-5.59179590,3.53571000,0.00361234,0.14720000,0.62819306,0.37126400,0.87258280,2.48722894,0.73804328,0.00000000
-5.58579290,3.52895300,0.00352010,0.14159569,0.61399625,0.35579668,0.85874673,2.51384901,0.72813191,0.00000000
-5.57978989,3.51296531,0.00344095,0.13589795,0.60055794,0.34018482,0.84226948,2.53209944,0.71781843,0.00000000
-5.57378689,3.48800658,0.00337393,0.13017501,0.58804014,0.32457024,0.82315569,2.54187517,0.70723788,0.00000000
