energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,3.39484605,0.01902601,0.31758062,1.99887736,1.82428836,1.14845402,0.00000000,0.79426837,0.32683507
-5.99399700,3.42809592,0.01905077,0.31979001,2.02849242,1.83354614,1.16503288,0.00000000,0.81234050,0.33232589
-5.98799400,3.45358179,0.01900455,0.32150395,2.05346336,1.83877904,1.17855508,0.00000000,0.82840774,0.33701703
-5.98199100,3.47171166,0.01889362,0.32275353,2.07359218,1.84032914,1.18910801,0.00000000,0.84241984,0.34095231
-5.97598799,3.48299707,0.01872634,0.32357006,2.08873407,1.83858202,1.19682903,0.00000000,0.85436126,0.34419234
-5.96998499,3.48803853,0.01851290,0.32398478,2.09880637,1.83395456,1.20190131,0.00000000,0.86425163,0.34681298
-5.96398199,3.48750946,0.01826509,0.32402860,2.10379708,1.82688247,1.20454858,0.00000000,0.87214539,0.34890341
-5.95797899,3.48213872,0.01799600,0.32373192,2.10377217,1.81780777,1.20502905,0.00000000,0.87813027,0.35056379
-5.95197599,3.47269202,0.01771968,0.32312434,2.09888080,1.80716654,1.20362832,0.00000000,0.88232482,0.35190256
-5.94597299,3.45995208,0.01745083,0.32223425,2.08935804,1.79537684,1.20065171,0.00000000,0.88487478,0.35303345
-5.93996998,3.44469818,0.01720440,0.32108832,2.07552436,1.78282742,1.19641578,0.00000000,0.88594845,0.35407222
-5.93396698,3.42768541,0.01699526,0.31971085,2.05778180,1.76986730,1.19123967,0.00000000,0.88573125,0.35513328
-5.92796398,3.40962441,0.01683782,0.31812301,2.03660665,1.75679665,1.18543623,0.00000000,0.88441953,0.35632626
-5.92196098,3.39116231,0.01674568,0.31634208,2.01253903,1.74385945,1.17930339,0.00000000,0.88221420,0.35775261
-5.91595798,3.37286575,0.01673130,0.31438068,1.98616967,1.73123823,1.17311612,0.00000000,0.87931414,0.35950246
-5.90995498,3.35520699,0.01680572,0.31224623,1.95812453,1.71905133,1.16711931,0.00000000,0.87591004,0.36165169
-5.90395198,3.33855368,0.01697820,0.30994058,1.92904824,1.70735302,1.16152187,0.00000000,0.87217881,0.36425946
-5.89794897,3.32316334,0.01725604,0.30745999,1.89958695,1.69613664,1.15649241,0.00000000,0.86827896,0.36736620
-5.89194597,3.30918275,0.01764434,0.30479552,1.87037168,1.68534083,1.15215663,0.00000000,0.86434715,0.37099224
-5.88594297,3.29665254,0.01814580,0.30193385,1.84200286,1.67485879,1.14859660,0.00000000,0.86049608,0.37513697
-5.87993997,3.28551702,0.01876059,0.29885851,1.81503692,1.66455017,1.14585194,0.00000000,0.85681378,0.37977871
-5.87393697,3.27563861,0.01948629,0.29555150,1.78997526,1.65425525,1.14392285,0.00000000,0.85336434,0.38487522
-5.86793397,3.26681633,0.02031782,0.29199525,1.76725618,1.64381051,1.14277470,0.00000000,0.85018982,0.39036484
-5.86193097,3.25880718,0.02124748,0.28817474,1.74724978,1.63306506,1.14234401,0.00000000,0.84731329,0.39616823
-5.85592796,3.25134932,0.02226501,0.28407965,1.73025580,1.62189674,1.14254543,0.00000000,0.84474263,0.40219054
-5.84992496,3.24418558,0.02335779,0.27970647,1.71650421,1.61022713,1.14327928,0.00000000,0.84247476,0.40832415
-5.84392196,3.23708600,0.02451100,0.27506025,1.70615810,1.59803439,1.14443929,0.00000000,0.84049999,0.41445169
-5.83791896,3.22986801,0.02570795,0.27015595,1.69931839,1.58536323,1.14592001,0.00000000,0.83880621,0.42044929
-5.83191596,3.22241308,0.02693044,0.26501927,1.69602987,1.57233114,1.14762367,0.00000000,0.83738246,0.42619006
-5.82591296,3.21467894,0.02815920,0.25968674,1.69628787,1.55913045,1.14946597,0.00000000,0.83622180,0.43154762
-5.81990995,3.20670659,0.02937440,0.25420519,1.70004516,1.54602598,1.15138071,0.00000000,0.83532329,0.43639960
-5.81390695,3.19862186,0.03055616,0.24863044,1.70721845,1.53334820,1.15332300,0.00000000,0.83469285,0.44063100
-5.80790395,3.19063151,0.03168522,0.24302538,1.71769433,1.52148212,1.15527092,0.00000000,0.83434318,0.44413745
-5.80190095,3.18301409,0.03274350,0.23745743,1.73133414,1.51085252,1.15722576,0.00000000,0.83429273,0.44682803
-5.79589795,3.17610626,0.03371475,0.23199563,1.74797774,1.50190611,1.15921088,0.00000000,0.83456387,0.44862792
-5.78989495,3.17028536,0.03458513,0.22670739,1.76744621,1.49509154,1.16126915,0.00000000,0.83518043,0.44948039
-5.78389195,3.16594922,0.03534373,0.22165529,1.78954326,1.49083829,1.16345952,0.00000000,0.83616492,0.44934848
-5.77788894,3.16349431,0.03598307,0.21689385,1.81405581,1.48953549,1.16585250,0.00000000,0.83753557,0.44821593
-5.77188594,3.16329337,0.03649942,0.21246675,1.84075361,1.49151166,1.16852520,0.00000000,0.83930356,0.44608759
-5.76588294,3.16567358,0.03689303,0.20840449,1.86938836,1.49701641,1.17155587,0.00000000,0.84147039,0.44298905
-5.75987994,3.17089626,0.03716818,0.20472266,1.89969233,1.50620503,1.17501827,0.00000000,0.84402590,0.43896567
-5.75387694,3.17913894,0.03733310,0.20142094,1.93137691,1.51912657,1.17897612,0.00000000,0.84694670,0.43408085
-5.74787394,3.19048052,0.03739966,0.19848290,1.96413115,1.53571589,1.18347778,0.00000000,0.85019534,0.42841367
-5.74187094,3.20488997,0.03738295,0.19587661,1.99762057,1.55579023,1.18855130,0.00000000,0.85372008,0.42205598
-5.73586793,3.22221900,0.03730066,0.19355593,2.03148632,1.57905006,1.19420002,0.00000000,0.85745522,0.41510893
-5.72986493,3.24219873,0.03717230,0.19146251,2.06534498,1.60508437,1.20039896,0.00000000,0.86132206,0.40767923
-5.72386193,3.26444049,0.03701839,0.18952838,2.09878896,1.63337991,1.20709188,0.00000000,0.86523022,0.39987513
-5.71785893,3.28844057,0.03685945,0.18767883,2.13138774,1.66333400,1.21418942,0.00000000,0.86907935,0.39180245
-5.71185593,3.31358872,0.03671509,0.18583564,2.16269005,1.69427037,1.22156818,0.00000000,0.87276104,0.38356070
-5.70585293,3.33918011,0.03660300,0.18392031,2.19222695,1.72545719,1.22907097,0.00000000,0.87616095,0.37523957
-5.69984992,3.36443037,0.03653807,0.18185726,2.21951614,1.75612672,1.23650824,0.00000000,0.87916100,0.36691596
-5.69384692,3.38849327,0.03653161,0.17957671,2.24406726,1.78549581,1.24366081,0.00000000,0.88164158,0.35865163
-5.68784392,3.41048068,0.03659067,0.17701726,2.26538848,1.81278645,1.25028381,0.00000000,0.88348387,0.35049167
-5.68184092,3.42948418,0.03671762,0.17412799,2.28299419,1.83724581,1.25611184,0.00000000,0.88457217,0.34246378
-5.67583792,3.44459794,0.03690986,0.17086998,2.29641381,1.85816513,1.26086542,0.00000000,0.88479618,0.33457852
-5.66983492,3.45494213,0.03715987,0.16721731,2.30520157,1.87489688,1.26425831,0.00000000,0.88405345,0.32683037
-5.66383192,3.45968651,0.03745536,0.16315747,2.30894706,1.88686997,1.26600581,0.00000000,0.88225181,0.31919959
-5.65782891,3.45807333,0.03777979,0.15869125,2.30728624,1.89360241,1.26583362,0.00000000,0.87931181,0.31165485
-5.65182591,3.44943898,0.03811297,0.15383206,2.29991261,1.89471147,1.26348692,0.00000000,0.87516920,0.30415634
-5.64582291,3.43323381,0.03843191,0.14860495,2.28658805,1.88992101,1.25873954,0.00000000,0.86977723,0.29665921
-5.63981991,3.40903922,0.03871183,0.14304515,2.26715282,1.87906595,1.25140255,0.00000000,0.86310887,0.28911728
-5.63381691,3.37658167,0.03892718,0.13719654,2.24153432,1.86209399,1.24133213,0.00000000,0.85515861,0.28148659
-5.62781391,3.33574271,0.03905277,0.13110977,2.20975395,1.83906452,1.22843617,0.00000000,0.84594388,0.27372876
-5.62181091,3.28656485,0.03906487,0.12484048,2.17193170,1.81014490,1.21267925,0.00000000,0.83550580,0.26581394
-5.61580790,3.22925258,0.03894219,0.11844741,2.12828793,1.77560426,1.19408586,0.00000000,0.82390928,0.25772311
-5.60980490,3.16416862,0.03866685,0.11199066,2.07914220,1.73580507,1.17274139,0.00000000,0.81124216,0.24944975
-5.60380190,3.09182516,0.03822508,0.10553004,2.02490877,1.69119268,1.14879094,0.00000000,0.79761352,0.24100070
-5.59779890,3.01287035,0.03760782,0.09912361,1.96608889,1.64228317,1.12243587,0.00000000,0.78315100,0.23239624
-5.59179590,2.92807045,0.03681105,0.09282638,1.90325998,1.58964985,1.09392811,0.00000000,0.76799717,0.22366942
-5.58579290,2.83828815,0.03583593,0.08668926,1.83706204,1.53390874,1.06356258,0.00000000,0.75230520,0.21486463
-5.57978989,2.74445804,0.03468870,0.08075818,1.76818174,1.47570349,1.03166784,0.00000000,0.73623374,0.20603560
-5.57378689,2.64756000,0.03338042,0.07507345,1.69733488,1.41569020,0.99859565,0.00000000,0.71994145,0.19724293
-5.56778389,2.54859168,0.03192645,0.06966926,1.62524799,1.35452253,0.96470958,0.00000000,0.70358139,0.18855132
-5.56178089,2.44854131,0.03034584,0.06457346,1.55263974,1.29283761,0.93037349,0.00000000,0.68729543,0.18002662
-5.55577789,2.34836190,0.02866058,0.05980741,1.48020318,1.23124319,0.89594031,0.00000000,0.67120924,0.17173295
-5.54977489,2.24894796,0.02689480,0.05538605,1.40858955,1.17030645,0.86174163,0.00000000,0.65542787,0.16372998
-5.54377189,2.15111584,0.02507388,0.05131810,1.33839439,1.11054488,0.82807864,0.00000000,0.64003246,0.15607053
-5.53776888,2.05558840,0.02322364,0.04760638,1.27014653,1.05241942,0.79521482,0.00000000,0.62507811,0.14879868
-5.53176588,1.96298475,0.02136955,0.04424826,1.20430055,0.99633020,0.76337070,0.00000000,0.61059311,0.14194834
-5.52576288,1.87381526,0.01953597,0.04123626,1.14123282,0.94261487,0.73272092,0.00000000,0.59657974,0.13554248
-5.51975988,1.78848210,0.01774562,0.03855865,1.08124138,0.89154966,0.70339361,0.00000000,0.58301641,0.12959294
-5.51375688,1.70728496,0.01601900,0.03620022,1.02454933,0.84335286,0.67547219,0.00000000,0.56986127,0.12410086
-5.50775388,1.63043155,0.01437412,0.03414311,0.97131166,0.79819066,0.64899922,0.00000000,0.55705699,0.11905762
-5.50175088,1.55805218,0.01282623,0.03236768,0.92162478,0.75618486,0.62398219,0.00000000,0.54453649,0.11444630
-5.49574787,1.49021739,0.01138774,0.03085334,0.87553832,0.71742208,0.60040084,0.00000000,0.53222945,0.11024354
