energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up
-6.00000000,1.14395195,0.07479310,0.08062314,0.85376339,0.15752468,0.61233851,0.00000000,0.51168248,0.00000000
-5.99399700,1.10148641,0.07165918,0.07759430,0.82023316,0.15129152,0.58463110,0.00000000,0.49562502,0.00000000
-5.98799400,1.05454807,0.06829865,0.07416811,0.78300011,0.14445551,0.55486115,0.00000000,0.47752809,0.00000000
-5.98199100,1.00404222,0.06476462,0.07041139,0.74274391,0.13715497,0.52355943,0.00000000,0.45775723,0.00000000
-5.97598799,0.95089836,0.06110897,0.06639476,0.70016678,0.12953182,0.49125421,0.00000000,0.43669223,0.00000000
-5.96998499,0.89604411,0.05738117,0.06219042,0.65597367,0.12172749,0.45845748,0.00000000,0.41471628,0.00000000
-5.96398199,0.84038063,0.05362732,0.05787015,0.61085360,0.11387901,0.42565259,0.00000000,0.39220563,0.00000000
-5.95797899,0.78476024,0.04988940,0.05350329,0.56546274,0.10611542,0.39328372,0.00000000,0.36952003,0.00000000
-5.95197599,0.72996712,0.04620478,0.04915501,0.52040988,0.09855461,0.36174744,0.00000000,0.34699432,0.00000000
-5.94597299,0.67670138,0.04260589,0.04488486,0.47624461,0.09130072,0.33138652,0.00000000,0.32493125,0.00000000
-5.93996998,0.62556695,0.03912009,0.04074556,0.43344833,0.08444208,0.30248594,0.00000000,0.30359595,0.00000000
-5.93396698,0.57706345,0.03576977,0.03678212,0.39242842,0.07804985,0.27527109,0.00000000,0.28321179,0.00000000
-5.92796398,0.53158183,0.03257254,0.03303137,0.35351519,0.07217720,0.24990804,0.00000000,0.26395795,0.00000000
-5.92196098,0.48940380,0.02954158,0.02952172,0.31696174,0.06685918,0.22650554,0.00000000,0.24596841,0.00000000
-5.91595798,0.45070469,0.02668601,0.02627326,0.28294612,0.06211320,0.20511867,0.00000000,0.22933252,0.00000000
-5.90995498,0.41555921,0.02401138,0.02329812,0.25157574,0.05793994,0.18575360,0.00000000,0.21409674,0.00000000
-5.90395198,0.38394985,0.02152014,0.02060108,0.22289334,0.05432479,0.16837339,0.00000000,0.20026757,0.00000000
-5.89794897,0.35577725,0.01921214,0.01818027,0.19688430,0.05123969,0.15290439,0.00000000,0.18781545,0.00000000
-5.89194597,0.33087208,0.01708505,0.01602812,0.17348473,0.04864514,0.13924297,0.00000000,0.17667940,0.00000000
-5.88594297,0.30900790,0.01513489,0.01413229,0.15259004,0.04649259,0.12726239,0.00000000,0.16677212,0.00000000
-5.87993997,0.28991455,0.01335633,0.01247664,0.13406347,0.04472672,0.11681949,0.00000000,0.15798560,0.00000000
-5.87393697,0.27329149,0.01174314,0.01104227,0.11774451,0.04328796,0.10776112,0.00000000,0.15019670,0.00000000
-5.86793397,0.25882080,0.01028845,0.00980844,0.10345669,0.04211480,0.09993013,0.00000000,0.14327284,0.00000000
-5.86193097,0.24617951,0.00898506,0.00875340,0.09101476,0.04114605,0.09317070,0.00000000,0.13707741,0.00000000
-5.85592796,0.23505078,0.00782572,0.00785522,0.08023101,0.04032288,0.08733317,0.00000000,0.13147490,0.00000000
-5.84992496,0.22513388,0.00680327,0.00709240,0.07092068,0.03959064,0.08227809,0.00000000,0.12633553,0.00000000
-5.84392196,0.21615276,0.00591092,0.00644447,0.06290647,0.03890039,0.07787959,0.00000000,0.12153933,0.00000000
-5.83791896,0.20786302,0.00514238,0.00589236,0.05602207,0.03821011,0.07402807,0.00000000,0.11697956,0.00000000
-5.83191596,0.20005724,0.00449205,0.00541877,0.05011490,0.03748564,0.07063221,0.00000000,0.11256551,0.00000000
-5.82591296,0.19256877,0.00395511,0.00500835,0.04504798,0.03670118,0.06762029,0.00000000,0.10822446,0.00000000
-5.81990995,0.18527387,0.00352771,0.00464778,0.04070109,0.03583962,0.06494090,0.00000000,0.10390305,0.00000000
-5.81390695,0.17809240,0.00320704,0.00432587,0.03697137,0.03489242,0.06256317,0.00000000,0.09956792,0.00000000
-5.80790395,0.17098716,0.00299145,0.00403342,0.03377337,0.03385930,0.06047638,0.00000000,0.09520563,0.00000000
-5.80190095,0.16396202,0.00288047,0.00376320,0.03103870,0.03274764,0.05868919,0.00000000,0.09082217,0.00000000
-5.79589795,0.15705906,0.00287489,0.00350975,0.02871539,0.03157166,0.05722844,0.00000000,0.08644184,0.00000000
-5.78989495,0.15035490,0.00297677,0.00326925,0.02676703,0.03035151,0.05613767,0.00000000,0.08210587,0.00000000
-5.78389195,0.14395644,0.00318937,0.00303932,0.02517181,0.02911210,0.05547524,0.00000000,0.07787066,0.00000000
-5.77788894,0.13799623,0.00351706,0.00281885,0.02392149,0.02788203,0.05531239,0.00000000,0.07380589,0.00000000
-5.77188594,0.13262763,0.00396528,0.00260785,0.02302039,0.02669228,0.05573098,0.00000000,0.06999261,0.00000000
-5.76588294,0.12802005,0.00454026,0.00240728,0.02248444,0.02557514,0.05682117,0.00000000,0.06652125,0.00000000
-5.75987994,0.12435425,0.00524891,0.00221895,0.02234036,0.02456298,0.05867901,0.00000000,0.06348981,0.00000000
-5.75387694,0.12181807,0.00609846,0.00204548,0.02262493,0.02368725,0.06140400,0.00000000,0.06100211,0.00000000
-5.74787394,0.12060249,0.00709623,0.00189024,0.02338450,0.02297753,0.06509666,0.00000000,0.05916635,0.00000000
-5.74187094,0.12089817,0.00824926,0.00175741,0.02467453,0.02246071,0.06985610,0.00000000,0.05809372,0.00000000
-5.73586793,0.12289265,0.00956400,0.00165203,0.02655942,0.02216037,0.07577772,0.00000000,0.05789734,0.00000000
-5.72986493,0.12676795,0.01104589,0.00158019,0.02911240,0.02209624,0.08295105,0.00000000,0.05869129,0.00000000
-5.72386193,0.13269888,0.01269904,0.00154917,0.03241565,0.02228393,0.09145774,0.00000000,0.06058981,0.00000000
