energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up
-6.00000000,1.03903269,0.02243409,0.05460116,0.44512146,0.09395682,0.57668755,0.25796309,0.50010118,0.00000000
-5.99399700,1.07537372,0.02263013,0.05899767,0.47107907,0.09908422,0.59853773,0.25966290,0.51369391,0.00000000
-5.98799400,1.11072047,0.02279004,0.06333351,0.49698360,0.10399987,0.62013840,0.26132207,0.52706979,0.00000000
-5.98199100,1.14435344,0.02290410,0.06754571,0.52244158,0.10861536,0.64109336,0.26284291,0.53993468,0.00000000
-5.97598799,1.17551148,0.02296219,0.07156950,0.54703125,0.11284236,0.66097467,0.26411058,0.55196634,0.00000000
-5.96998499,1.20341790,0.02295432,0.07533995,0.57031380,0.11659539,0.67933623,0.26499856,0.56282602,0.00000000
-5.96398199,1.22730853,0.02287110,0.07879360,0.59184583,0.11979460,0.69572885,0.26537486,0.57217123,0.00000000
-5.95797899,1.24646014,0.02270423,0.08187034,0.61119266,0.12236841,0.70971594,0.26510845,0.57966909,0.00000000
-5.95197599,1.26021816,0.02244700,0.08451505,0.62794190,0.12425604,0.72088918,0.26407582,0.58500953,0.00000000
-5.94597299,1.26802222,0.02209461,0.08667926,0.64171674,0.12540958,0.72888354,0.26216700,0.58791785,0.00000000
-5.93996998,1.26942832,0.02164452,0.08832265,0.65218837,0.12579573,0.73339078,0.25929110,0.58816589,0.00000000
-5.93396698,1.26412669,0.02109660,0.08941429,0.65908710,0.12539699,0.73417106,0.25538077,0.58558147,0.00000000
-5.92796398,1.25195449,0.02045327,0.08993363,0.66221157,0.12421231,0.73106200,0.25039562,0.58005551,0.00000000
-5.92196098,1.23290286,0.01971940,0.08987118,0.66143581,0.12225716,0.72398488,0.24432430,0.57154674,0.00000000
-5.91595798,1.20711818,0.01890222,0.08922880,0.65671378,0.11956298,0.71294781,0.23718535,0.56008366,0.00000000
-5.90995498,1.17489748,0.01801106,0.08801974,0.64808127,0.11617612,0.69804575,0.22902666,0.54576394,0.00000000
-5.90395198,1.13667863,0.01705702,0.08626820,0.63565512,0.11215632,0.67945741,0.21992373,0.52875118,0.00000000
-5.89794897,1.09302559,0.01605261,0.08400871,0.61962982,0.10757468,0.65743940,0.20997686,0.50926943,0.00000000
-5.89194597,1.04460998,0.01501130,0.08128509,0.60027171,0.10251144,0.63231787,0.19930744,0.48759581,0.00000000
-5.88594297,0.99218958,0.01394708,0.07814920,0.57791106,0.09705345,0.60447811,0.18805364,0.46405149,0.00000000
-5.87993997,0.93658508,0.01287403,0.07465960,0.55293252,0.09129161,0.57435267,0.17636561,0.43899176,0.00000000
-5.87393697,0.87865616,0.01180588,0.07087990,0.52576423,0.08531835,0.54240855,0.16440059,0.41279553,0.00000000
-5.86793397,0.81927788,0.01075568,0.06687722,0.49686621,0.07922512,0.50913403,0.15231809,0.38585472,0.00000000
-5.86193097,0.75931844,0.00973543,0.06272059,0.46671855,0.07310025,0.47502572,0.14027543,0.35856421,0.00000000
-5.85592796,0.69961918,0.00875588,0.05847937,0.43580976,0.06702696,0.44057633,0.12842367,0.33131251,0.00000000
-5.84992496,0.64097742,0.00782633,0.05422193,0.40462580,0.06108178,0.40626355,0.11690427,0.30447362,0.00000000
-5.84392196,0.58413261,0.00695454,0.05001432,0.37364028,0.05533335,0.37254054,0.10584642,0.27840032,0.00000000
-5.83791896,0.52975609,0.00614672,0.04591935,0.34330586,0.04984158,0.33982806,0.09536520,0.25341898,0.00000000
-5.83191596,0.47844453,0.00540754,0.04199568,0.31404732,0.04465719,0.30850856,0.08556044,0.22982594,0.00000000
-5.82591296,0.43071672,0.00474021,0.03829734,0.28625625,0.03982167,0.27892218,0.07651635,0.20788550,0.00000000
-5.81990995,0.38701358,0.00414669,0.03487327,0.26028742,0.03536745,0.25136458,0.06830182,0.18782929,0.00000000
-5.81390695,0.34770083,0.00362777,0.03176725,0.23645667,0.03131845,0.22608644,0.06097115,0.16985682,0.00000000
-5.80790395,0.31307368,0.00318333,0.02901787,0.21504024,0.02769074,0.20329445,0.05456534,0.15413700,0.00000000
-5.80190095,0.28336294,0.00281250,0.02665865,0.19627516,0.02449342,0.18315335,0.04911348,0.14081035,0.00000000
-5.79589795,0.25874190,0.00251386,0.02471828,0.18036052,0.02172956,0.16578890,0.04463438,0.12999143,0.00000000
-5.78989495,0.23933322,0.00228563,0.02322085,0.16745922,0.01939710,0.15129120,0.04113813,0.12177140,0.00000000
-5.78389195,0.22521531,0.00212581,0.02218608,0.15769980,0.01748984,0.13971819,0.03862752,0.11622017,0.00000000
-5.77788894,0.21642755,0.00203232,0.02162951,0.15117823,0.01599822,0.13109897,0.03709918,0.11338814,0.00000000
-5.77188594,0.21297409,0.00200310,0.02156252,0.14795919,0.01491009,0.12543661,0.03654449,0.11330706,0.00000000
-5.76588294,0.21482582,0.00203617,0.02199233,0.14807666,0.01421126,0.12271043,0.03695001,0.11599008,0.00000000
-5.75987994,0.22192045,0.00212968,0.02292178,0.15153382,0.01388596,0.12287732,0.03829754,0.12143087,0.00000000
-5.75387694,0.23416073,0.00228193,0.02434902,0.15830204,0.01391708,0.12587240,0.04056387,0.12960178,0.00000000
-5.74787394,0.25141099,0.00249133,0.02626702,0.16831907,0.01428637,0.13160877,0.04372009,0.14045121,0.00000000
-5.74187094,0.27349233,0.00275641,0.02866306,0.18148665,0.01497438,0.13997667,0.04773068,0.15390038,0.00000000
-5.73586793,0.30017702,0.00307577,0.03151810,0.19766759,0.01596043,0.15084199,0.05255241,0.16983968,0.00000000
-5.72986493,0.33118250,0.00344807,0.03480618,0.21668282,0.01722242,0.16404470,0.05813319,0.18812505,0.00000000
-5.72386193,0.36616589,0.00387201,0.03849385,0.23830862,0.01873670,0.17939718,0.06441096,0.20857456,0.00000000
-5.71785893,0.40471941,0.00434631,0.04253976,0.26227447,0.02047789,0.19668295,0.07131273,0.23096581,0.00000000
-5.71185593,0.44636763,0.00486977,0.04689440,0.28826197,0.02241879,0.21565602,0.07875404,0.25503418,0.00000000
-5.70585293,0.49056697,0.00544126,0.05150009,0.31590515,0.02453039,0.23604118,0.08663867,0.28047270,0.00000000
-5.69984992,0.53670805,0.00605988,0.05629130,0.34479241,0.02678194,0.25753553,0.09485906,0.30693333,0.00000000
-5.69384692,0.58412126,0.00672499,0.06119526,0.37447055,0.02914124,0.27981130,0.10329713,0.33403034,0.00000000
-5.68784392,0.63208566,0.00743640,0.06613299,0.40445080,0.03157503,0.30252021,0.11182582,0.36134551,0.00000000
-5.68184092,0.67984132,0.00819451,0.07102058,0.43421698,0.03404953,0.32529921,0.12031122,0.38843537,0.00000000
-5.67583792,0.72660474,0.00900044,0.07577093,0.46323570,0.03653113,0.34777771,0.12861529,0.41484023,0.00000000
-5.66983492,0.77158700,0.00985623,0.08029569,0.49096821,0.03898716,0.36958581,0.13659897,0.44009490,0.00000000
-5.66383192,0.81401390,0.01076495,0.08450749,0.51688364,0.04138677,0.39036355,0.14412583,0.46374048,0.00000000
-5.65782891,0.85314738,0.01173084,0.08832228,0.54047312,0.04370180,0.40977049,0.15106576,0.48533708,0.00000000
-5.65182591,0.88830709,0.01275932,0.09166173,0.56126411,0.04590769,0.42749538,0.15729887,0.50447660,0.00000000
-5.64582291,0.91889130,0.01385698,0.09445556,0.57883437,0.04798418,0.44326535,0.16271913,0.52079526,0.00000000
-5.63981991,0.94439584,0.01503150,0.09664376,0.59282491,0.04991604,0.45685413,0.16723779,0.53398512,0.00000000
-5.63381691,0.96443031,0.01629145,0.09817850,0.60295125,0.05169352,0.46808886,0.17078623,0.54380400,0.00000000
-5.62781391,0.97873046,0.01764597,0.09902562,0.60901244,0.05331254,0.47685504,0.17331816,0.55008341,0.00000000
-5.62181091,0.98716613,0.01910438,0.09916584,0.61089732,0.05477477,0.48309936,0.17481104,0.55273395,0.00000000
-5.61580790,0.98974427,0.02067568,0.09859526,0.60858776,0.05608724,0.48683011,0.17526663,0.55174788,0.00000000
-5.60980490,0.98660664,0.02236795,0.09732553,0.60215857,0.05726186,0.48811523,0.17471059,0.54719877,0.00000000
-5.60380190,0.97802244,0.02418771,0.09538329,0.59177416,0.05831456,0.48707784,0.17319115,0.53923816,0.00000000
-5.59779890,0.96437603,0.02613920,0.09280927,0.57768204,0.05926423,0.48388971,0.17077696,0.52808935,0.00000000
-5.59179590,0.94615038,0.02822371,0.08965673,0.56020341,0.06013152,0.47876270,0.16755413,0.51403875,0.00000000
-5.58579290,0.92390703,0.03043885,0.08598969,0.53972147,0.06093748,0.47193884,0.16362266,0.49742495,0.00000000
-5.57978989,0.89826359,0.03277801,0.08188067,0.51666780,0.06170215,0.46367946,0.15909249,0.47862636,0.00000000
-5.57378689,0.86986989,0.03522980,0.07740835,0.49150754,0.06244325,0.45425384,0.15407918,0.45804777,0.00000000
-5.56778389,0.83938390,0.03777771,0.07265503,0.46472411,0.06317486,0.44392813,0.14869968,0.43610652,0.00000000
-5.56178089,0.80744859,0.04040000,0.06770417,0.43680403,0.06390638,0.43295502,0.14306820,0.41321899,0.00000000
-5.55577789,0.77467082,0.04306965,0.06263798,0.40822262,0.06464169,0.42156463,0.13729241,0.38978791,0.00000000
-5.54977489,0.74160316,0.04575471,0.05753524,0.37943102,0.06537862,0.40995706,0.13147022,0.36619105,0.00000000
-5.54377189,0.70872933,0.04841878,0.05246941,0.35084508,0.06610871,0.39829703,0.12568719,0.34277170,0.00000000
