energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,0.81807904,0.03960441,0.03589597,0.33389233,0.10470358,0.28248062,0.18075955,0.34292007,0.00000000
-5.99399700,0.86584331,0.04176794,0.03809523,0.35367594,0.10940718,0.29775456,0.19519898,0.36278381,0.00000000
-5.98799400,0.91539500,0.04393659,0.04043255,0.37437375,0.11409096,0.31343556,0.21064923,0.38353488,0.00000000
-5.98199100,0.96680226,0.04609890,0.04292279,0.39605496,0.11875381,0.32954109,0.22713385,0.40524126,0.00000000
-5.97598799,1.02007190,0.04824089,0.04557810,0.41876528,0.12339103,0.34607159,0.24465054,0.42794547,0.00000000
-5.96998499,1.07513112,0.05034581,0.04840672,0.44251810,0.12799280,0.36300484,0.26316561,0.45165526,0.00000000
-5.96398199,1.13181105,0.05239403,0.05141172,0.46728611,0.13254276,0.38029081,0.28260914,0.47633495,0.00000000
-5.95797899,1.18983331,0.05436311,0.05458985,0.49299394,0.13701695,0.39784752,0.30287117,0.50189797,0.00000000
-5.95197599,1.24880069,0.05622808,0.05793057,0.51951232,0.14138307,0.41555805,0.32379921,0.52820104,0.00000000
-5.94597299,1.30819291,0.05796183,0.06141532,0.54665430,0.14560027,0.43326921,0.34519739,0.55504069,0.00000000
-5.93996998,1.36736816,0.05953579,0.06501704,0.57417378,0.14961938,0.45079190,0.36682747,0.58215236,0.00000000
-5.93396698,1.42557091,0.06092068,0.06870014,0.60176678,0.15338373,0.46790344,0.38841184,0.60921243,0.00000000
-5.92796398,1.48194602,0.06208754,0.07242072,0.62907548,0.15683053,0.48435181,0.40963860,0.63584330,0.00000000
-5.92196098,1.53555900,0.06300869,0.07612729,0.65569521,0.15989268,0.49986172,0.43016854,0.66162149,0.00000000
-5.91595798,1.58542174,0.06365891,0.07976183,0.68118402,0.16250104,0.51414235,0.44964394,0.68608857,0.00000000
-5.90995498,1.63052280,0.06401653,0.08326126,0.70507471,0.16458702,0.52689649,0.46769890,0.70876451,0.00000000
-5.90395198,1.66986098,0.06406448,0.08655917,0.72688888,0.16608535,0.53783061,0.48397069,0.72916299,0.00000000
-5.89794897,1.70248076,0.06379125,0.08958786,0.74615226,0.16693691,0.54666542,0.49811188,0.74680798,0.00000000
-5.89194597,1.72750798,0.06319166,0.09228054,0.76241088,0.16709148,0.55314660,0.50980242,0.76125082,0.00000000
-5.88594297,1.74418400,0.06226746,0.09457359,0.77524723,0.16651027,0.55705489,0.51876150,0.77208708,0.00000000
-5.87993997,1.75189684,0.06102768,0.09640877,0.78429569,0.16516808,0.55821532,0.52475827,0.77897233,0.00000000
-5.87393697,1.75020778,0.05948869,0.09773540,0.78925658,0.16305503,0.55650500,0.52762129,0.78163613,0.00000000
-5.86793397,1.73887198,0.05767409,0.09851221,0.78990803,0.16017768,0.55185912,0.52724594,0.77989349,0.00000000
-5.86193097,1.71785243,0.05561422,0.09870892,0.78611531,0.15655960,0.54427481,0.52359978,0.77365333,0.00000000
-5.85592796,1.68732636,0.05334553,0.09830743,0.77783696,0.15224128,0.53381284,0.51672533,0.76292349,0.00000000
-5.84992496,1.64768400,0.05090977,0.09730256,0.76512762,0.14727942,0.52059689,0.50674042,0.74781212,0.00000000
-5.84392196,1.59951979,0.04835289,0.09570231,0.74813737,0.14174564,0.50481057,0.49383608,0.72852539,0.00000000
-5.83791896,1.54361656,0.04572399,0.09352763,0.72710763,0.13572471,0.48669234,0.47827202,0.70536171,0.00000000
-5.83191596,1.48092359,0.04307407,0.09081173,0.70236384,0.12931227,0.46652847,0.46037014,0.67870276,0.00000000
-5.82591296,1.41252956,0.04045484,0.08759897,0.67430532,0.12261228,0.44464456,0.44050637,0.64900185,0.00000000
-5.81990995,1.33963185,0.03791752,0.08394332,0.64339277,0.11573426,0.42139587,0.41910127,0.61677016,0.00000000
