energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,1.50632964,0.00363067,0.16745142,0.30221068,0.73228808,0.00000000,0.69166422,0.48572387
-5.99399700,1.47202490,0.00341855,0.16091078,0.30713765,0.71911815,0.00000000,0.64970552,0.47352861
-5.98799400,1.44101107,0.00323968,0.15541062,0.31111532,0.70646704,0.00000000,0.61295891,0.46262284
-5.98199100,1.41262652,0.00309191,0.15079788,0.31403608,0.69416369,0.00000000,0.58089523,0.45276983
-5.97598799,1.38628153,0.00297303,0.14692763,0.31582212,0.68207158,0.00000000,0.55299327,0.44375487
-5.96998499,1.36148346,0.00288084,0.14366821,0.31642877,0.67009638,0.00000000,0.52876048,0.43539410
-5.96398199,1.33785451,0.00281328,0.14090522,0.31584639,0.65819080,0.00000000,0.50774906,0.42754076
-5.95797899,1.31514138,0.00276846,0.13854418,0.31410088,0.64635633,0.00000000,0.48956752,0.42008886
-5.95197599,1.29321698,0.00274467,0.13651179,0.31125265,0.63464186,0.00000000,0.47388766,0.41297403
-5.94597299,1.27207434,0.00274042,0.13475603,0.30739416,0.62313942,0.00000000,0.46044701,0.40617183
-5.93996998,1.25181336,0.00275438,0.13324510,0.30264598,0.61197709,0.00000000,0.44904741,0.39969372
-5.93396698,1.23262162,0.00278538,0.13196529,0.29715179,0.60130968,0.00000000,0.43955001,0.39358085
-5.92796398,1.21475036,0.00283233,0.13091814,0.29107231,0.59130762,0.00000000,0.43186761,0.38789637
-5.92196098,1.19848721,0.00289417,0.13011703,0.28457860,0.58214475,0.00000000,0.42595480,0.38271659
-5.91595798,1.18412748,0.00296979,0.12958334,0.27784504,0.57398567,0.00000000,0.42179689,0.37812161
-5.90995498,1.17194544,0.00305798,0.12934256,0.27104233,0.56697338,0.00000000,0.41939821,0.37418592
-5.90395198,1.16216752,0.00315734,0.12942052,0.26433081,0.56121800,0.00000000,0.41877058,0.37096969
-5.89794897,1.15494877,0.00326627,0.12983988,0.25785446,0.55678711,0.00000000,0.41992251,0.36851101
-5.89194597,1.15035398,0.00338294,0.13061712,0.25173597,0.55369830,0.00000000,0.42284977,0.36681973
-5.88594297,1.14834435,0.00350524,0.13176010,0.24607285,0.55191443,0.00000000,0.42752752,0.36587313
-5.87993997,1.14877051,0.00363085,0.13326636,0.24093502,0.55134183,0.00000000,0.43390454,0.36561362
-5.87393697,1.15137206,0.00375725,0.13512210,0.23636377,0.55183148,0.00000000,0.44189942,0.36594866
-5.86793397,1.15578361,0.00388180,0.13730194,0.23237216,0.55318325,0.00000000,0.45139897,0.36675278
-5.86193097,1.16154677,0.00400182,0.13976929,0.22894687,0.55515287,0.00000000,0.46225853,0.36787157
-5.85592796,1.16812740,0.00411469,0.14247744,0.22605113,0.55746118,0.00000000,0.47430409,0.36912742
-5.84992496,1.17493696,0.00421801,0.14537104,0.22362884,0.55980538,0.00000000,0.48733583,0.37032662
-5.84392196,1.18135678,0.00430971,0.14838803,0.22160937,0.56187133,0.00000000,0.50113287,0.37126734
-5.83791896,1.18676379,0.00438819,0.15146181,0.21991290,0.56334660,0.00000000,0.51545876,0.37174813
-5.83191596,1.19055633,0.00445247,0.15452351,0.21845605,0.56393328,0.00000000,0.53006738,0.37157647
-5.82591296,1.19217876,0.00450234,0.15750423,0.21715744,0.56336011,0.00000000,0.54470895,0.37057675
-5.81990995,1.19114352,0.00453843,0.16033719,0.21594294,0.56139325,0.00000000,0.55913593,0.36859745
-5.81390695,1.18704975,0.00456240,0.16295969,0.21475048,0.55784519,0.00000000,0.57310848,0.36551716
-5.80790395,1.17959773,0.00457695,0.16531476,0.21353414,0.55258155,0.00000000,0.58639946,0.36124902
-5.80190095,1.16859846,0.00458590,0.16735252,0.21226739,0.54552544,0.00000000,0.59879883,0.35574364
-5.79589795,1.15397853,0.00459421,0.16903123,0.21094548,0.53665922,0.00000000,0.61011754,0.34899023
-5.78989495,1.13578002,0.00460798,0.17031804,0.20958684,0.52602402,0.00000000,0.62019074,0.34101618
-5.78389195,1.11415606,0.00463439,0.17118942,0.20823349,0.51371679,0.00000000,0.62888068,0.33188500
-5.77788894,1.08936239,0.00468162,0.17163138,0.20695056,0.49988557,0.00000000,0.63607906,0.32169300
-5.77188594,1.06174577,0.00475869,0.17163945,0.20582492,0.48472295,0.00000000,0.64170913,0.31056486
-5.76588294,1.03172989,0.00487537,0.17121851,0.20496293,0.46845853,0.00000000,0.64572745,0.29864835
-5.75987994,0.99979972,0.00504187,0.17038247,0.20448750,0.45135048,0.00000000,0.64812536,0.28610867
-5.75387694,0.96648505,0.00526867,0.16915382,0.20453450,0.43367678,0.00000000,0.64893015,0.27312246
-5.74787394,0.93234390,0.00556622,0.16756313,0.20524854,0.41572662,0.00000000,0.64820573,0.25987205
-5.74187094,0.89794657,0.00594462,0.16564835,0.20677832,0.39779205,0.00000000,0.64605291,0.24653988
-5.73586793,0.86386068,0.00641327,0.16345415,0.20927161,0.38016045,0.00000000,0.64260889,0.23330355
-5.72986493,0.83063776,0.00698052,0.16103100,0.21286986,0.36310781,0.00000000,0.63804612,0.22033153
-5.72386193,0.79880151,0.00765330,0.15843420,0.21770278,0.34689311,0.00000000,0.63257014,0.20777959
-5.71785893,0.76883788,0.00843675,0.15572281,0.22388282,0.33175378,0.00000000,0.62641657,0.19578812
-5.71185593,0.74118720,0.00933385,0.15295837,0.23149974,0.31790236,0.00000000,0.61984705,0.18448017
-5.70585293,0.71623814,0.01034507,0.15020352,0.24061562,0.30552424,0.00000000,0.61314427,0.17396039
-5.69984992,0.69432351,0.01146813,0.14752060,0.25126021,0.29477648,0.00000000,0.60660619,0.16431461
-5.69384692,0.67571794,0.01269771,0.14497011,0.26342713,0.28578765,0.00000000,0.60053959,0.15561010
-5.68784392,0.66063713,0.01402533,0.14260920,0.27707091,0.27865852,0.00000000,0.59525325,0.14789643
-5.68184092,0.64923876,0.01543930,0.14049026,0.29210516,0.27346357,0.00000000,0.59105101,0.14120672
-5.67583792,0.64162490,0.01692471,0.13865957,0.30840211,0.27025316,0.00000000,0.58822495,0.13555940
-5.66983492,0.63784570,0.01846365,0.13715622,0.32579353,0.26905631,0.00000000,0.58704917,0.13096013
-5.66383192,0.63790447,0.02003546,0.13601126,0.34407326,0.26988389,0.00000000,0.58777414,0.12740405
-5.65782891,0.64176377,0.02161713,0.13524713,0.36300130,0.27273212,0.00000000,0.59062219,0.12487815
-5.65182591,0.64935244,0.02318384,0.13487747,0.38230945,0.27758628,0.00000000,0.59578391,0.12336370
-5.64582291,0.66057332,0.02470959,0.13490730,0.40170828,0.28442447,0.00000000,0.60341579,0.12283870
-5.63981991,0.67531129,0.02616790,0.13533347,0.42089541,0.29322114,0.00000000,0.61363894,0.12328028
-5.63381691,0.69344139,0.02753259,0.13614544,0.43956450,0.30395041,0.00000000,0.62653871,0.12466696
-5.62781391,0.71483651,0.02877860,0.13732638,0.45741488,0.31658880,0.00000000,0.64216517,0.12698071
-5.62181091,0.73937437,0.02988282,0.13885432,0.47416125,0.33111734,0.00000000,0.66053401,0.13020871
-5.61580790,0.76694329,0.03082487,0.14070348,0.48954297,0.34752278,0.00000000,0.68162772,0.13434484
-5.60980490,0.79744642,0.03158776,0.14284560,0.50333262,0.36579790,0.00000000,0.70539675,0.13939069
-5.60380190,0.83080416,0.03215858,0.14525112,0.51534332,0.38594062,0.00000000,0.73176032,0.14535613
-5.59779890,0.86695443,0.03252892,0.14789029,0.52543444,0.40795210,0.00000000,0.76060685,0.15225938
-5.59179590,0.90585089,0.03269521,0.15073401,0.53351550,0.43183369,0.00000000,0.79179386,0.16012659
-5.58579290,0.94745896,0.03265885,0.15375443,0.53954789,0.45758289,0.00000000,0.82514727,0.16899088
-5.57978989,0.99175003,0.03242622,0.15692530,0.54354462,0.48518852,0.00000000,0.86046038,0.17889085
-5.57378689,1.03869398,0.03200839,0.16022203,0.54556777,0.51462529,0.00000000,0.89749263,0.18986875
-5.56778389,1.08825072,0.03142080,0.16362157,0.54572413,0.54584808,0.00000000,0.93596847,0.20196820
-5.56178089,1.14036111,0.03068269,0.16710205,0.54415904,0.57878646,0.00000000,0.97557674,0.21523166
-5.55577789,1.19493808,0.02981642,0.17064239,0.54104898,0.61333957,0.00000000,1.01597086,0.22969782
-5.54977489,1.25185851,0.02884674,0.17422177,0.53659315,0.64937201,0.00000000,1.05677033,0.24539888
-5.54377189,1.31095657,0.02779998,0.17781925,0.53100461,0.68671098,0.00000000,1.09756373,0.26235796
-5.53776888,1.37201916,0.02670317,0.18141340,0.52450140,0.72514510,0.00000000,1.13791360,0.28058680
-5.53176588,1.43478382,0.02558324,0.18498213,0.51729813,0.76442513,0.00000000,1.17736321,0.30008367
-5.52576288,1.49893952,0.02446629,0.18850267,0.50959839,0.80426668,0.00000000,1.21544534,0.32083186
-5.51975988,1.56413046,0.02337683,0.19195185,0.50158838,0.84435517,0.00000000,1.25169278,0.34279851
-5.51375688,1.62996274,0.02233728,0.19530647,0.49343200,0.88435268,0.00000000,1.28565035,0.36593412
-5.50775388,1.69601376,0.02136744,0.19854393,0.48526755,0.92390672,0.00000000,1.31688796,0.39017246
-5.50175088,1.76184377,0.02048420,0.20164299,0.47720611,0.96266043,0.00000000,1.34501408,0.41543113
-5.49574787,1.82700907,0.01970137,0.20458456,0.46933160,1.00026372,0.00000000,1.36968908,0.44161243
-5.48974487,1.89107596,0.01902954,0.20735258,0.46170235,1.03638494,0.00000000,1.39063761,0.46860471
-5.48374187,1.95363468,0.01847620,0.20993476,0.45435396,1.07072229,0.00000000,1.40765937,0.49628398
-5.47773887,2.01431242,0.01804583,0.21232327,0.44730332,1.10301437,0.00000000,1.42063761,0.52451565
-5.47173587,2.07278455,0.01774016,0.21451517,0.44055321,1.13304924,0.00000000,1.42954469,0.55315632
-5.46573287,2.12878332,0.01755838,0.21651267,0.43409749,1.16067140,0.00000000,1.43444435,0.58205559
-5.45972986,2.18210332,0.01749747,0.21832304,0.42792618,1.18578610,0.00000000,1.43549023,0.61105761
-5.45372686,2.23260328,0.01755252,0.21995828,0.42203035,1.20836073,0.00000000,1.43292068,0.64000248
