energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,2.90782841,0.59469353,2.21199826,0.01617784,0.02860256,0.21963733,0.49218925,0.00000000
-5.99399700,3.04433624,0.63437668,2.30499385,0.01790768,0.02928307,0.22847621,0.52475483,0.00000000
-5.98799400,3.17706952,0.67457453,2.39358884,0.01969587,0.02992648,0.23725138,0.55802617,0.00000000
-5.98199100,3.30403419,0.71473632,2.47631263,0.02152099,0.03051374,0.24578217,0.59161613,0.00000000
-5.97598799,3.42332026,0.75429147,2.55179651,0.02335889,0.03102767,0.25389320,0.62511794,0.00000000
-5.96998499,3.53314408,0.79266158,2.61880505,0.02518314,0.03145336,0.26141891,0.65811307,0.00000000
-5.96398199,3.63188767,0.82927318,2.67626411,0.02696561,0.03177844,0.26820756,0.69017979,0.00000000
-5.95797899,3.71813447,0.86357100,2.72328476,0.02867716,0.03199334,0.27412491,0.72090225,0.00000000
-5.95197599,3.79070063,0.89503127,2.75918278,0.03028842,0.03209135,0.27905713,0.74987984,0.00000000
-5.94597299,3.84866110,0.92317472,2.78349329,0.03177061,0.03206873,0.28291308,0.77673660,0.00000000
-5.93996998,3.89136979,0.94757884,2.79598022,0.03309640,0.03192463,0.28562590,0.80113029,0.00000000
-5.93396698,3.91847339,0.96788885,2.79664036,0.03424080,0.03166091,0.28715374,0.82276080,0.00000000
-5.92796398,3.92991814,0.98382713,2.78570202,0.03518192,0.03128204,0.28747976,0.84137765,0.00000000
-5.92196098,3.92594941,0.99520053,2.76361819,0.03590177,0.03079474,0.28661137,0.85678611,0.00000000
-5.91595798,3.90710381,1.00190532,2.73105430,0.03638680,0.03020774,0.28457883,0.86885187,0.00000000
-5.90995498,3.87419397,1.00392962,2.68887094,0.03662843,0.02953143,0.28143321,0.87750390,0.00000000
-5.90395198,3.82828613,1.00135307,2.63810167,0.03662335,0.02877747,0.27724389,0.88273540,0.00000000
-5.89794897,3.77067112,0.99434370,2.57992663,0.03637361,0.02795843,0.27209572,0.88460285,0.00000000
-5.89194597,3.70282939,0.98315229,2.51564242,0.03588662,0.02708745,0.26608590,0.88322314,0.00000000
-5.88594297,3.62639105,0.96810416,2.44662897,0.03517483,0.02617786,0.25932084,0.87876890,0.00000000
-5.87993997,3.54309200,0.94958896,2.37431436,0.03425538,0.02524286,0.25191302,0.87146222,0.00000000
-5.87393697,3.45472755,0.92804866,2.30013842,0.03314945,0.02429526,0.24397796,0.86156715,0.00000000
-5.86793397,3.36310482,0.90396437,2.22551612,0.03188161,0.02334719,0.23563152,0.84938104,0.00000000
-5.86193097,3.26999549,0.87784238,2.15180184,0.03047901,0.02240989,0.22698744,0.83522545,0.00000000
-5.85592796,3.17709031,0.85020000,2.08025564,0.02897051,0.02149360,0.21815525,0.81943656,0.00000000
-5.84992496,3.08595687,0.82155168,2.01201227,0.02738577,0.02060736,0.20923861,0.80235583,0.00000000
-5.84392196,2.99800188,0.79239594,1.94805427,0.02575444,0.01975901,0.20033389,0.78432100,0.00000000
-5.83791896,2.91443917,0.76320345,1.88918962,0.02410529,0.01895508,0.19152925,0.76565778,0.00000000
-5.83191596,2.83626435,0.73440663,1.83603484,0.02246548,0.01820083,0.18290391,0.74667255,0.00000000
-5.82591296,2.76423674,0.70639108,1.78900407,0.02085993,0.01750022,0.17452770,0.72764615,0.00000000
-5.81990995,2.69886926,0.67948892,1.74830433,0.01931079,0.01685599,0.16646083,0.70882897,0.00000000
-5.81390695,2.64042621,0.65397430,1.71393724,0.01783705,0.01626969,0.15875377,0.69043737,0.00000000
-5.80790395,2.58892907,0.63006084,1.68570702,0.01645431,0.01574175,0.15144729,0.67265145,0.00000000
-5.80190095,2.54416985,0.60790116,1.66323454,0.01517463,0.01527156,0.14457256,0.65561421,0.00000000
-5.79589795,2.50573157,0.58758832,1.64597689,0.01400661,0.01485759,0.13815124,0.63943198,0.00000000
-5.78989495,2.47301500,0.56915891,1.63325191,0.01295544,0.01449741,0.13219580,0.62417600,0.00000000
-5.78389195,2.44527083,0.55259764,1.62426671,0.01202321,0.01418786,0.12670973,0.60988516,0.00000000
-5.77788894,2.42163608,0.53784329,1.61814939,0.01120917,0.01392515,0.12168801,0.59656970,0.00000000
-5.77188594,2.40117370,0.52479553,1.61398281,0.01051015,0.01370494,0.11711761,0.58421565,0.00000000
-5.76588294,2.38291388,0.51332264,1.61083940,0.00992093,0.01352254,0.11297822,0.57279004,0.00000000
-5.75987994,2.36589607,0.50326955,1.60781574,0.00943471,0.01337299,0.10924308,0.56224658,0.00000000
-5.75387694,2.34921006,0.49446625,1.60406602,0.00904354,0.01325128,0.10588015,0.55253164,0.00000000
-5.74787394,2.33203502,0.48673602,1.59883305,0.00873874,0.01315247,0.10285332,0.54359038,0.00000000
-5.74187094,2.31367517,0.47990351,1.59147599,0.00851132,0.01307189,0.10012397,0.53537283,0.00000000
-5.73586793,2.29359096,0.47380218,1.58149390,0.00835231,0.01300532,0.09765259,0.52783969,0.00000000
-5.72986493,2.27142469,0.46828110,1.56854436,0.00825315,0.01294916,0.09540052,0.52096760,0.00000000
-5.72386193,2.24701968,0.46321079,1.55245647,0.00820586,0.01290063,0.09333184,0.51475366,0.00000000
-5.71785893,2.22043237,0.45848800,1.53323809,0.00820335,0.01285788,0.09141506,0.50921916,0.00000000
-5.71185593,2.19193680,0.45403931,1.51107690,0.00823957,0.01282013,0.08962487,0.50441199,0.00000000
-5.70585293,2.16202126,0.44982341,1.48633539,0.00830961,0.01278779,0.08794358,0.50040792,0.00000000
-5.69984992,2.13137722,0.44583211,1.45953995,0.00840983,0.01276249,0.08636233,0.49731044,0.00000000
-5.69384692,2.10088063,0.44208997,1.43136456,0.00853785,0.01274710,0.08488195,0.49524910,0.00000000
-5.68784392,2.07156640,0.43865274,1.40260953,0.00869262,0.01274568,0.08351337,0.49437641,0.00000000
-5.68184092,2.04459658,0.43560454,1.37417604,0.00887434,0.01276342,0.08227767,0.49486332,0.00000000
-5.67583792,2.02122343,0.43305406,1.34703744,0.00908446,0.01280644,0.08120553,0.49689341,0.00000000
-5.66983492,2.00274848,0.43112985,1.32220815,0.00932563,0.01288167,0.08033640,0.50065600,0.00000000
-5.66383192,1.99047895,0.42997497,1.30071111,0.00960154,0.01299657,0.07971705,0.50633835,0.00000000
-5.65782891,1.98568290,0.42974108,1.28354494,0.00991690,0.01315885,0.07939986,0.51411741,0.00000000
-5.65182591,1.98954454,0.43058241,1.27165167,0.01027729,0.01337621,0.07944077,0.52415118,0.00000000
-5.64582291,2.00312125,0.43264951,1.26588609,0.01068899,0.01365603,0.07989698,0.53657035,0.00000000
-5.63981991,2.02730353,0.43608334,1.26698749,0.01115888,0.01400498,0.08082445,0.55147028,0.00000000
-5.63381691,2.06277922,0.44100950,1.27555464,0.01169423,0.01442882,0.08227552,0.56890382,0.00000000
-5.62781391,2.11000302,0.44753307,1.29202465,0.01230250,0.01493198,0.08429633,0.58887522,0.00000000
-5.62181091,2.16917231,0.45573398,1.31665619,0.01299112,0.01551739,0.08692465,0.61133534,0.00000000
-5.61580790,2.24020991,0.46566308,1.34951751,0.01376727,0.01618618,0.09018770,0.63617846,0.00000000
-5.60980490,2.32275415,0.47733898,1.39047951,0.01463759,0.01693752,0.09410041,0.66324079,0.00000000
-5.60380190,2.41615684,0.49074563,1.43921389,0.01560789,0.01776847,0.09866400,0.69230061,0.00000000
-5.59779890,2.51948874,0.50583074,1.49519656,0.01668291,0.01867392,0.10386493,0.72308039,0.00000000
-5.59179590,2.63155279,0.52250504,1.55771588,0.01786596,0.01964651,0.10967433,0.75525045,0.00000000
-5.58579290,2.75090440,0.54064235,1.62588587,0.01915870,0.02067675,0.11604783,0.78843432,0.00000000
-5.57978989,2.87587852,0.56008043,1.69866367,0.02056082,0.02175306,0.12292589,0.82221559,0.00000000
-5.57378689,3.00462271,0.58062273,1.77487111,0.02206982,0.02286197,0.13023452,0.85614600,0.00000000
-5.56778389,3.13513542,0.60204098,1.85321975,0.02368083,0.02398836,0.13788641,0.88975457,0.00000000
-5.56178089,3.26530864,0.62407853,1.93233882,0.02538645,0.02511571,0.14578250,0.92255765,0.00000000
-5.55577789,3.39297381,0.64645470,2.01080552,0.02717669,0.02622648,0.15381383,0.95406940,0.00000000
-5.54977489,3.51595012,0.66886978,2.08717686,0.02903900,0.02730250,0.16186371,0.98381273,0.00000000
-5.54377189,3.63209386,0.69101104,2.16002247,0.03095838,0.02832536,0.16981013,1.01133011,0.00000000
-5.53776888,3.73934784,0.71255932,2.22795746,0.03291751,0.02927693,0.17752839,1.03619435,0.00000000
-5.53176588,3.83578957,0.73319637,2.28967475,0.03489714,0.03013977,0.18489380,1.05801869,0.00000000
-5.52576288,3.91967704,0.75261271,2.34397583,0.03687636,0.03089767,0.19178450,1.07646630,0.00000000
-5.51975988,3.98949091,0.77051578,2.38979933,0.03883316,0.03153608,0.19808422,1.09125869,0.00000000
-5.51375688,4.04397184,0.78663817,2.42624664,0.04074488,0.03204254,0.20368506,1.10218285,0.00000000
-5.50775388,4.08215198,0.80074567,2.45260360,0.04258880,0.03240712,0.20849004,1.10909703,0.00000000
-5.50175088,4.10337942,0.81264483,2.46835790,0.04434280,0.03262272,0.21241549,1.11193465,0.00000000
-5.49574787,4.10733483,0.82218957,2.47321130,0.04598588,0.03268535,0.21539311,1.11070650,0.00000000
-5.48974487,4.09403944,0.82928663,2.46708641,0.04749882,0.03259428,0.21737176,1.10550084,0.00000000
-5.48374187,4.06385395,0.83389944,2.45012742,0.04886470,0.03235214,0.21831879,1.09648139,0.00000000
-5.47773887,4.01746796,0.83605021,2.42269493,0.05006940,0.03196486,0.21822088,1.08388323,0.00000000
-5.47173587,3.95588018,0.83581986,2.38535457,0.05110197,0.03144158,0.21708449,1.06800657,0.00000000
-5.46573287,3.88036954,0.83334579,2.33885981,0.05195495,0.03079433,0.21493570,1.04920850,0.00000000
-5.45972986,3.79245811,0.82881749,2.28412935,0.05262456,0.03003772,0.21181954,1.02789302,0.00000000
-5.45372686,3.69386678,0.82246986,2.22221975,0.05311073,0.02918852,0.20779890,1.00449949,0.00000000
-5.44772386,3.58646518,0.81457467,2.15429413,0.05341712,0.02826510,0.20295285,0.97949000,0.00000000
-5.44172086,3.47221747,0.80543047,2.08158803,0.05355090,0.02728690,0.19737460,0.95333596,0.00000000
-5.43571786,3.35312592,0.79535118,2.00537366,0.05352257,0.02627381,0.19116915,0.92650447,0.00000000
-5.42971486,3.23117443,0.78465416,1.92692371,0.05334557,0.02524554,0.18445064,0.89944501,0.00000000
-5.42371186,3.10827409,0.77364819,1.84747622,0.05303597,0.02422110,0.17733951,0.87257692,0.00000000
-5.41770885,2.98621278,0.76262192,1.76820179,0.05261200,0.02321817,0.16995972,0.84627818,0.00000000
-5.41170585,2.86661099,0.75183356,1.69017427,0.05209365,0.02225266,0.16243589,0.82087603,0.00000000
-5.40570285,2.75088527,0.74150220,1.61434616,0.05150224,0.02133827,0.15489065,0.79663973,0.00000000
-5.39969985,2.64022092,0.73180124,1.54152951,0.05086002,0.02048624,0.14744229,0.77377583,0.00000000
-5.39369685,2.53555451,0.72285433,1.47238294,0.05018979,0.01970510,0.14020256,0.75242608,0.00000000
-5.38769385,2.43756691,0.71473392,1.40740511,0.04951458,0.01900061,0.13327495,0.73266803,0.00000000
-5.38169085,2.34668650,0.70746250,1.34693462,0.04885734,0.01837581,0.12675332,0.71451824,0.00000000
-5.37568784,2.26310204,0.70101632,1.29115594,0.04824069,0.01783112,0.12072083,0.69793783,0.00000000
-5.36968484,2.18678399,0.69533137,1.24011091,0.04768667,0.01736464,0.11524939,0.68284006,0.00000000
-5.36368184,2.11751276,0.69031115,1.19371475,0.04721652,0.01697240,0.11039922,0.66909945,0.00000000
-5.35767884,2.05491215,0.68583564,1.15177556,0.04685041,0.01664880,0.10621885,0.65656189,0.00000000
-5.35167584,1.99848570,0.68177094,1.11401611,0.04660718,0.01638703,0.10274520,0.64505514,0.00000000
-5.34567284,1.94765408,0.67797890,1.08009657,0.04650403,0.01617950,0.10000388,0.63439925,0.00000000
-5.33966983,1.90179131,0.67432613,1.04963701,0.04655619,0.01601833,0.09800944,0.62441618,0.00000000
-5.33366683,1.86025797,0.67069189,1.02223847,0.04677645,0.01589576,0.09676575,0.61493823,0.00000000
-5.32766383,1.82242997,0.66697436,0.99750152,0.04717475,0.01580459,0.09626624,0.60581488,0.00000000
-5.32166083,1.78772158,0.66309506,0.97504179,0.04775768,0.01573853,0.09649424,0.59691779,0.00000000
-5.31565783,1.75560220,0.65900123,0.95450173,0.04852793,0.01569252,0.09742311,0.58814378,0.00000000
-5.30965483,1.72560658,0.65466630,0.93555857,0.04948386,0.01566300,0.09901649,0.57941585,0.00000000
-5.30365183,1.69733880,0.65008845,0.91792847,0.05061896,0.01564815,0.10122856,0.57068242,0.00000000
-5.29764882,1.67047074,0.64528785,0.90136724,0.05192160,0.01564804,0.10400431,0.56191505,0.00000000
-5.29164582,1.64473621,0.64030279,0.88566818,0.05337468,0.01566477,0.10728013,0.55310495,0.00000000
-5.28564282,1.61992182,0.63518541,0.87065769,0.05495567,0.01570260,0.11098449,0.54425889,0.00000000
-5.27963982,1.59585637,0.62999735,0.85618970,0.05663668,0.01576804,0.11503903,0.53539478,0.00000000
-5.27363682,1.57240001,0.62480615,0.84213937,0.05838483,0.01586997,0.11935997,0.52653755,0.00000000
-5.26763382,1.54943460,0.61968246,0.82839729,0.06016286,0.01601973,0.12385988,0.51771561,0.00000000
-5.26163082,1.52685639,0.61469876,0.81486459,0.06192999,0.01623120,0.12844989,0.50895835,0.00000000
-5.25562781,1.50457186,0.60992954,0.80144949,0.06364294,0.01652100,0.13304222,0.50029473,0.00000000
-5.24962481,1.48249713,0.60545301,0.78806589,0.06525724,0.01690849,0.13755297,0.49175324,0.00000000
-5.24362181,1.46056096,0.60135431,0.77463372,0.06672857,0.01741595,0.14190513,0.48336302,0.00000000
-5.23761881,1.43871098,0.59772970,0.76108135,0.06801433,0.01806857,0.14603158,0.47515612,0.00000000
-5.23161581,1.41692247,0.59469144,0.74734941,0.06907511,0.01889448,0.14987803,0.46717050,0.00000000
-5.22561281,1.39520855,0.59237271,0.73339576,0.06987620,0.01992458,0.15340561,0.45945343,0.00000000
-5.21960980,1.37363060,0.59093189,0.71920098,0.07038886,0.02119230,0.15659306,0.45206493,0.00000000
-5.21360680,1.35230764,0.59055558,0.70477363,0.07059156,0.02273321,0.15943817,0.44508065,0.00000000
-5.20760380,1.33142316,0.59145975,0.69015467,0.07047079,0.02458437,0.16195859,0.43859389,0.00000000
-5.20160080,1.31122849,0.59388844,0.67542042,0.07002164,0.02678351,0.16419161,0.43271630,0.00000000
-5.19559780,1.29204147,0.59810955,0.66068351,0.06924804,0.02936800,0.16619299,0.42757686,0.00000000
-5.18959480,1.27424000,0.60440770,0.64609148,0.06816257,0.03237351,0.16803483,0.42331920,0.00000000
-5.18359180,1.25825016,0.61307392,0.63182276,0.06678600,0.03583256,0.16980247,0.42009698,0.00000000
-5.17758879,1.24452896,0.62439255,0.61808020,0.06514636,0.03977278,0.17159043,0.41806743,0.00000000
-5.17158579,1.23354256,0.63862575,0.60508214,0.06327785,0.04421516,0.17349775,0.41738347,0.00000000
-5.16558279,1.22574064,0.65599628,0.59305166,0.06121939,0.04917216,0.17562267,0.41818454,0.00000000
-5.15957979,1.22152847,0.67666946,0.58220434,0.05901309,0.05464582,0.17805713,0.42058683,0.00000000
-5.15357679,1.22123815,0.70073526,0.57273540,0.05670253,0.06062608,0.18088120,0.42467328,0.00000000
-5.14757379,1.22510076,0.72819164,0.56480695,0.05433115,0.06708924,0.18415771,0.43048415,0.00000000
-5.14157079,1.23322119,0.75893025,0.55853603,0.05194060,0.07399682,0.18792761,0.43800868,0.00000000
-5.13556778,1.24555743,0.79272555,0.55398441,0.04956928,0.08129477,0.19220595,0.44717845,0.00000000
-5.12956478,1.26190569,0.82922829,0.55115065,0.04725112,0.08891332,0.19697909,0.45786307,0.00000000
-5.12356178,1.28189274,0.86796420,0.54996510,0.04501461,0.09676734,0.20220307,0.46986843,0.00000000
-5.11755878,1.30497632,0.90833831,0.55028826,0.04288208,0.10475744,0.20780342,0.48293805,0.00000000
-5.11155578,1.33045387,0.94964521,0.55191262,0.04086936,0.11277171,0.21367639,0.49675744,0.00000000
-5.10555278,1.35747985,0.99108523,0.55456815,0.03898573,0.12068817,0.21969164,0.51096164,0.00000000
-5.09954977,1.38509091,1.03178604,0.55793104,0.03723421,0.12837782,0.22569628,0.52514548,0.00000000
-5.09354677,1.41223798,1.07082904,0.56163557,0.03561204,0.13570824,0.23152013,0.53887649,0.00000000
-5.08754377,1.43782402,1.10727957,0.56528836,0.03411150,0.14254768,0.23698187,0.55170958,0.00000000
-5.08154077,1.46074562,1.14021959,0.56848436,0.03272080,0.14876933,0.24189600,0.56320323,0.00000000
-5.07553777,1.47993654,1.16878153,0.57082388,0.03142515,0.15425580,0.24608006,0.57293609,0.00000000
-5.06953477,1.49441112,1.19218166,0.57192970,0.03020788,0.15890345,0.24936191,0.58052347,0.00000000
-5.06353177,1.50330549,1.20975158,0.57146350,0.02905153,0.16262647,0.25158673,0.58563284,0.00000000
-5.05752876,1.50591462,1.22096614,0.56914077,0.02793890,0.16536046,0.25262330,0.58799754,0.00000000
-5.05152576,1.50172337,1.22546668,0.56474351,0.02685398,0.16706547,0.25236942,0.58742825,0.00000000
-5.04552276,1.49043011,1.22307823,0.55813013,0.02578275,0.16772811,0.25075604,0.58382136,0.00000000
-5.03951976,1.47196188,1.21381998,0.54924207,0.02471381,0.16736285,0.24775009,0.57716418,0.00000000
-5.03351676,1.44648027,1.19790844,0.53810691,0.02363879,0.16601230,0.24335584,0.56753650,0.00000000
-5.02751376,1.41437795,1.17575303,0.52483785,0.02255261,0.16374647,0.23761462,0.55510860,0.00000000
-5.02151076,1.37626608,1.14794445,0.50962970,0.02145350,0.16066101,0.23060324,0.54013571,0.00000000
-5.01550775,1.33295311,1.11523613,0.49275152,0.02034291,0.15687452,0.22243090,0.52294933,0.00000000
-5.00950475,1.28541620,1.07851967,0.47453637,0.01922518,0.15252502,0.21323498,0.50394564,0.00000000
-5.00350175,1.23476635,1.03879531,0.45536868,0.01810720,0.14776563,0.20317590,0.48357172,0.00000000
-4.99749875,1.18220910,0.99713857,0.43566982,0.01699786,0.14275979,0.19243120,0.46231006,0.00000000
-4.99149575,1.12900212,0.95466462,0.41588245,0.01590753,0.13767597,0.18118933,0.44066205,0.00000000
-4.98549275,1.07641175,0.91249153,0.39645435,0.01484746,0.13268238,0.16964321,0.41913117,0.00000000
-4.97948974,1.02566998,0.87170397,0.37782247,0.01382925,0.12794146,0.15798402,0.39820644,0.00000000
-4.97348674,0.97793357,0.83331866,0.36039759,0.01286426,0.12360478,0.14639541,0.37834688,0.00000000
-4.96748374,0.93424673,0.79825266,0.34455031,0.01196315,0.11980817,0.13504824,0.35996738,0.00000000
-4.96148074,0.89550850,0.76729573,0.33059879,0.01113550,0.11666745,0.12409623,0.34342650,0.00000000
-4.95547774,0.86244602,0.74108739,0.31879857,0.01038948,0.11427484,0.11367244,0.32901664,0.00000000
-4.94947474,0.83559416,0.72009950,0.30933480,0.00973162,0.11269612,0.10388677,0.31695667,0.00000000
-4.94347174,0.81528226,0.70462476,0.30231701,0.00916676,0.11196865,0.09482445,0.30738733,0.00000000
