energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.45997161,0.36713215,1.03405612,0.00576273,0.01303388,0.21142038,0.05737034,0.30419636,0.00000000
-5.99399700,1.42615153,0.36087788,1.00330582,0.00563226,0.01298298,0.21205746,0.05696455,0.30231782,0.00000000
-5.98799400,1.39433938,0.35400370,0.97511032,0.00548424,0.01294435,0.21218169,0.05647963,0.29997045,0.00000000
-5.98199100,1.36452758,0.34645935,0.94963868,0.00531889,0.01291011,0.21167508,0.05589032,0.29702022,0.00000000
-5.97598799,1.33673220,0.33822596,0.92703318,0.00513760,0.01287385,0.21044971,0.05517926,0.29336916,0.00000000
-5.96998499,1.31099725,0.32931601,0.90741096,0.00494282,0.01283087,0.20844893,0.05433704,0.28895717,0.00000000
-5.96398199,1.28739795,0.31977236,0.89086604,0.00473786,0.01277839,0.20564786,0.05336204,0.28376278,0.00000000
-5.95797899,1.26604264,0.30966635,0.87747161,0.00452682,0.01271566,0.20205299,0.05226014,0.27780275,0.00000000
-5.95197599,1.24707313,0.29909511,0.86728234,0.00431433,0.01264400,0.19770087,0.05104419,0.27113062,0.00000000
-5.94597299,1.23066357,0.28817808,0.86033676,0.00410545,0.01256677,0.19265596,0.04973331,0.26383412,0.00000000
-5.93996998,1.21701772,0.27705284,0.85665950,0.00390544,0.01248921,0.18700775,0.04835207,0.25603157,0.00000000
-5.93396698,1.20636461,0.26587056,0.85626330,0.00371965,0.01241825,0.18086715,0.04692949,0.24786742,0.00000000
-5.92796398,1.19895290,0.25479103,0.85915083,0.00355332,0.01236219,0.17436229,0.04549796,0.23950700,0.00000000
-5.92196098,1.19504385,0.24397756,0.86531599,0.00341145,0.01233031,0.16763396,0.04409206,0.23113079,0.00000000
-5.91595798,1.19490323,0.23359194,0.87474474,0.00329869,0.01233244,0.16083079,0.04274732,0.22292827,0.00000000
-5.90995498,1.19879219,0.22378954,0.88741526,0.00321920,0.01237849,0.15410431,0.04149907,0.21509170,0.00000000
-5.90395198,1.20695741,0.21471473,0.90329738,0.00317662,0.01247792,0.14760411,0.04038116,0.20780989,0.00000000
-5.89794897,1.21962066,0.20649684,0.92235111,0.00317391,0.01263929,0.14147327,0.03942493,0.20126234,0.00000000
-5.89194597,1.23696794,0.19924661,0.94452425,0.00321337,0.01286972,0.13584412,0.03865813,0.19561372,0.00000000
-5.88594297,1.25913853,0.19305336,0.96974901,0.00329658,0.01317452,0.13083455,0.03810405,0.19100900,0.00000000
-5.87993997,1.28621408,0.18798285,0.99793786,0.00342437,0.01355674,0.12654485,0.03778079,0.18756933,0.00000000
-5.87393697,1.31820818,0.18407591,1.02897840,0.00359679,0.01401695,0.12305537,0.03770069,0.18538869,0.00000000
