energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,2.02950438,0.76706773,1.36853600,0.05011465,0.02293629,0.25697229,0.09565228,0.22097263,0.00000000
-5.99399700,1.92959292,0.72672677,1.30106475,0.04901842,0.02278534,0.25036749,0.08903884,0.21284961,0.00000000
-5.98799400,1.83240466,0.68935840,1.23381183,0.04785655,0.02290996,0.24592789,0.08287928,0.20557013,0.00000000
-5.98199100,1.73870309,0.65544245,1.16711579,0.04665141,0.02333623,0.24387628,0.07723500,0.19927249,0.00000000
-5.97598799,1.64919456,0.62539997,1.10130746,0.04542682,0.02408759,0.24441137,0.07215561,0.19408419,0.00000000
-5.96998499,1.56452556,0.59958831,1.03671149,0.04420762,0.02518424,0.24770324,0.06767906,0.19011969,0.00000000
-5.96398199,1.48527824,0.57829617,0.97364625,0.04301899,0.02664235,0.25388798,0.06383186,0.18747784,0.00000000
-5.95797899,1.41196410,0.56173870,0.91242195,0.04188585,0.02847324,0.26306194,0.06062944,0.18623915,0.00000000
-5.95197599,1.34501581,0.55005271,0.85333709,0.04083201,0.03068252,0.27527556,0.05807653,0.18646267,0.00000000
-5.94597299,1.28477761,0.54329193,0.79667341,0.03987933,0.03326922,0.29052714,0.05616762,0.18818300,0.00000000
-5.93996998,1.23149482,0.54142288,0.74268982,0.03904687,0.03622497,0.30875690,0.05488737,0.19140718,0.00000000
-5.93396698,1.18530329,0.54432133,0.69161555,0.03835008,0.03953326,0.32984162,0.05421108,0.19611202,0.00000000
-5.92796398,1.14621966,0.55177009,0.64364323,0.03780001,0.04316889,0.35359049,0.05410510,0.20224173,0.00000000
-5.92196098,1.11413343,0.56345827,0.59892239,0.03740277,0.04709754,0.37974243,0.05452735,0.20970642,0.00000000
-5.91595798,1.08880176,0.57898266,0.55755380,0.03715900,0.05127573,0.40796540,0.05542786,0.21838133,0.00000000
-5.90995498,1.06984780,0.59785148,0.51958525,0.03706366,0.05565095,0.43785804,0.05674948,0.22810724,0.00000000
-5.90395198,1.05676325,0.61949090,0.48500896,0.03710602,0.06016225,0.46895387,0.05842858,0.23869206,0.00000000
-5.89794897,1.04891563,0.64325435,0.45376103,0.03726980,0.06474112,0.50072833,0.06039607,0.24991364,0.00000000
-5.89194597,1.04556028,0.66843487,0.42572298,0.03753369,0.06931275,0.53260841,0.06257851,0.26152397,0.00000000
-5.88594297,1.04585712,0.69428018,0.40072527,0.03787197,0.07379761,0.56398512,0.06489937,0.27325456,0.00000000
-5.87993997,1.04889173,0.72001015,0.37855292,0.03825539,0.07811340,0.59422806,0.06728051,0.28482292,0.00000000
-5.87393697,1.05369993,0.74483636,0.35895268,0.03865222,0.08217715,0.62270199,0.06964375,0.29593997,0.00000000
-5.86793397,1.05929511,0.76798292,0.34164159,0.03902938,0.08590758,0.64878460,0.07191258,0.30631809,0.00000000
-5.86193097,1.06469709,0.78870777,0.32631652,0.03935368,0.08922743,0.67188490,0.07401387,0.31567942,0.00000000
-5.85592796,1.06896130,0.80632381,0.31266411,0.03959301,0.09206589,0.69146129,0.07587959,0.32376424,0.00000000
-5.84992496,1.07120701,0.82021873,0.30037079,0.03971760,0.09436077,0.70703875,0.07744841,0.33033888,0.00000000
-5.84392196,1.07064337,0.82987284,0.28913234,0.03970103,0.09606055,0.71822417,0.07866717,0.33520290,0.00000000
-5.83791896,1.06659211,0.83487395,0.27866261,0.03952122,0.09712604,0.72471908,0.07949213,0.33819525,0.00000000
-5.83191596,1.05850588,0.83492877,0.26870105,0.03916117,0.09753164,0.72632938,0.07988992,0.33919903,0.00000000
-5.82591296,1.04598159,0.82987021,0.25901882,0.03860950,0.09726617,0.72297136,0.07983819,0.33814470,0.00000000
-5.81990995,1.02876810,0.81966025,0.24942323,0.03786076,0.09633315,0.71467381,0.07932592,0.33501167,0.00000000
-5.81390695,1.00676826,0.80438832,0.23976050,0.03691546,0.09475056,0.70157619,0.07835334,0.32982800,0.00000000
-5.80790395,0.98003520,0.78426530,0.22991678,0.03577993,0.09255016,0.68392285,0.07693152,0.32266858,0.00000000
-5.80190095,0.94876331,0.75961344,0.21981759,0.03446585,0.08977626,0.66205367,0.07508157,0.31365154,0.00000000
-5.79589795,0.91327465,0.73085270,0.20942573,0.03298975,0.08648413,0.63639152,0.07283368,0.30293337,0.00000000
-5.78989495,0.87400130,0.69848426,0.19873799,0.03137217,0.08273802,0.60742724,0.07022574,0.29070291,0.00000000
-5.78389195,0.83146496,0.66307201,0.18778090,0.02963684,0.07860906,0.57570280,0.06730193,0.27717439,0.00000000
-5.77788894,0.78625455,0.62522271,0.17660573,0.02780971,0.07417287,0.54179341,0.06411108,0.26258009,0.00000000
-5.77188594,0.73900310,0.58556598,0.16528307,0.02591800,0.06950728,0.50628945,0.06070510,0.24716272,0.00000000
-5.76588294,0.69036480,0.54473472,0.15389737,0.02398927,0.06468999,0.46977887,0.05713730,0.23116802,0.00000000
-5.75987994,0.64099325,0.50334693,0.14254149,0.02205049,0.05979647,0.43283089,0.05346093,0.21483774,0.00000000
-5.75387694,0.59152166,0.46198942,0.13131168,0.02012730,0.05489808,0.39598152,0.04972774,0.19840334,0.00000000
-5.74787394,0.54254573,0.42120411,0.12030302,0.01824326,0.05006040,0.35972127,0.04598681,0.18208060,0.00000000
-5.74187094,0.49460955,0.38147711,0.10960559,0.01641938,0.04534202,0.32448561,0.04228353,0.16606525,0.00000000
-5.73586793,0.44819485,0.34323088,0.09930133,0.01467371,0.04079361,0.29064813,0.03865885,0.15052967,0.00000000
-5.72986493,0.40371375,0.30681952,0.08946168,0.01302108,0.03645731,0.25851646,0.03514871,0.13562082,0.00000000
-5.72386193,0.36150475,0.27252698,0.08014599,0.01147300,0.03236656,0.22833091,0.03178380,0.12145917,0.00000000
-5.71785893,0.32183194,0.24056805,0.07140073,0.01003773,0.02854621,0.20026557,0.02858944,0.10813875,0.00000000
-5.71185593,0.28488691,0.21109174,0.06325924,0.00872042,0.02501282,0.17443151,0.02558571,0.09572797,0.00000000
-5.70585293,0.25079303,0.18418664,0.05574219,0.00752335,0.02177534,0.15088170,0.02278771,0.08427134,0.00000000
-5.69984992,0.21961159,0.15988783,0.04885836,0.00644626,0.01883584,0.12961736,0.02020601,0.07379171,0.00000000
-5.69384692,0.19134933,0.13818494,0.04260594,0.00548673,0.01619042,0.11059514,0.01784716,0.06429291,0.00000000
-5.68784392,0.16596688,0.11903070,0.03697399,0.00464061,0.01383019,0.09373482,0.01571428,0.05576279,0.00000000
-5.68184092,0.14338760,0.10234980,0.03194404,0.00390242,0.01174219,0.07892718,0.01380771,0.04817622,0.00000000
-5.67583792,0.12350653,0.08804755,0.02749185,0.00326581,0.00991047,0.06604165,0.01212567,0.04149822,0.00000000
-5.66983492,0.10619898,0.07601804,0.02358908,0.00272391,0.00831687,0.05493352,0.01066487,0.03568692,0.00000000
-5.66383192,0.09132865,0.06615149,0.02020494,0.00226979,0.00694196,0.04545055,0.00942111,0.03069625,0.00000000
-5.65782891,0.07875489,0.05834074,0.01730768,0.00189674,0.00576570,0.03743869,0.00838989,0.02647844,0.00000000
-5.65182591,0.06833909,0.05248658,0.01486597,0.00159861,0.00476812,0.03074704,0.00756682,0.02298615,0.00000000
-5.64582291,0.05995009,0.04850191,0.01285011,0.00137008,0.00392976,0.02523187,0.00694804,0.02017424,0.00000000
-5.63981991,0.05346850,0.04631464,0.01123300,0.00120689,0.00323213,0.02075978,0.00653058,0.01800119,0.00000000
-5.63381691,0.04878998,0.04586946,0.00999102,0.00110601,0.00265798,0.01721005,0.00631252,0.01643015,0.00000000
-5.62781391,0.04582756,0.04712831,0.00910460,0.00106583,0.00219149,0.01447619,0.00629314,0.01542960,0.00000000
-5.62181091,0.04451291,0.05006983,0.00855875,0.00108621,0.00181839,0.01246692,0.00647297,0.01497377,0.00000000
-5.61580790,0.04479671,0.05468768,0.00834330,0.00116865,0.00152599,0.01110647,0.00685370,0.01504259,0.00000000
-5.60980490,0.04664825,0.06098796,0.00845305,0.00131623,0.00130318,0.01033450,0.00743800,0.01562156,0.00000000
-5.60380190,0.05005418,0.06898588,0.00888769,0.00153367,0.00114038,0.01010556,0.00822934,0.01670119,0.00000000
-5.59779890,0.05501659,0.07870164,0.00965162,0.00182730,0.00102942,0.01038823,0.00923158,0.01827629,0.00000000
-5.59179590,0.06155051,0.09015590,0.01075362,0.00220490,0.00096342,0.01116402,0.01044868,0.02034514,0.00000000
-5.58579290,0.06968085,0.10336484,0.01220632,0.00267563,0.00093672,0.01242601,0.01188419,0.02290839,0.00000000
-5.57978989,0.07943888,0.11833506,0.01402558,0.00324978,0.00094468,0.01417735,0.01354081,0.02596793,0.00000000
-5.57378689,0.09085845,0.13505855,0.01622968,0.00393855,0.00098362,0.01642955,0.01541988,0.02952564,0.00000000
